country_code,country_name,n_participants,es_iat_sex_age_order_explicit_resid,es_iat_sex_age_order_implicit_resid,median_country_age,per_women_stem_2012_2017,language_name,family,language_code,lang_es_sub,lang_es_wiki,mean_prop_distinct_occs,subt_occu_semantics_fm,wiki_occu_semantics_fm
AE,United Arab Emirates,581,0.37042204790141237,-0.025488311990359933,30.3,18.175216666666667,Arabic,Afro-Asiatic,ar,-0.24156040854373365,0.6401106934261812,0,-0.01179077082554974,-0.02017098090260551
AF,Afghanistan,863,0.049844864762140124,-0.020319208107144795,18.8,NA,Persian,Indo-European,fa,0.4418009470980321,0.49883581163000396,0,0.006264368761100263,0.026195312519066555
AR,Argentina,531,-0.18468091275752327,-0.011498493755402076,31.7,11.48179,Spanish,Indo-European,es,0.2671657876925714,0.22224175277361607,0.85,0.025112497156056856,0.023132613424980752
AT,Austria,715,0.25460600584569004,0.02681552081330119,44,14.070693333333333,German,Indo-European,de,0.992986925106306,0.6739625897709844,0.8875,0.050113805464056416,0.08955255222132665
AU,Australia,13537,-0.05040634148897909,-6.658024779997891e-4,38.7,9.36934,English,Indo-European,en,0.6024799736072142,0.6318636760358308,0.15000000000000002,0.004274526291251299,0.03524272066776357
BE,Belgium,1285,0.1621379299387601,0.0351078423700635,41.4,7.519704,Dutch,Indo-European,nl,0.5579296515199147,0.8091716142918051,0.4625,0.027641147447256084,0.06455589109445999
BR,Brazil,1431,-0.14380917724491626,0.03221032239677631,32,8.6388475,Portuguese,Indo-European,pt,0.5348206706205818,0.40094139264450024,0.9,0.02571579450880754,0.056676163018312416
CA,Canada,21670,-0.10379045636713327,-0.009377546053027843,42.2,11.349274999999999,English,Indo-European,en,0.6024799736072142,0.6318636760358308,0.15000000000000002,0.004274526291251299,0.03524272066776357
CH,Switzerland,2178,0.28120959741304047,0.012061109952287794,42.4,10.8424,German,Indo-European,de,0.992986925106306,0.6739625897709844,0.8875,0.050113805464056416,0.08955255222132665
CN,China,3010,0.13908561855172782,0.011589285507841628,37.4,NA,Chinese,Sino-Tibetan,zh,NA,0.5351155194480434,0.052631578947368474,NA,0.0032344095940268257
CO,Colombia,457,-0.04592982048049982,-0.049774528887970244,30,14.126292,Spanish,Indo-European,es,0.2671657876925714,0.22224175277361607,0.85,0.025112497156056856,0.023132613424980752
DE,Germany,4602,0.26947145188930166,0.019921716387100556,47.1,NA,German,Indo-European,de,0.992986925106306,0.6739625897709844,0.8875,0.050113805464056416,0.08955255222132665
DK,Denmark,1036,-0.015130537944125909,0.0275685054556807,42.2,12.480726,Danish,Indo-European,da,1.2042953172398156,0.8529126320382712,0.36250000000000004,0.025935585729905817,0.04679907435383114
ES,Spain,1149,-0.18664395704266068,-0.00871723867680852,42.7,13.012664000000001,Spanish,Indo-European,es,0.2671657876925714,0.22224175277361607,0.85,0.025112497156056856,0.023132613424980752
FI,Finland,1145,-0.19517772426574545,-0.0012318740502568653,42.5,12.957786,Finnish,Uralic,fi,0.5106173735150114,0.18935989962689492,0.050000000000000044,0.006596813016982348,0.010088448612508644
FR,France,2705,0.05082979535342962,-0.006405966233272553,41.4,13.687458,French,Indo-European,fr,0.3365737916402037,0.3378306029011467,0.5,0.05892392415175281,0.03861718829521181
GB,UK,23726,-0.03786222110033495,0.003509909731479227,40.5,16.043052,English,Indo-European,en,0.6024799736072142,0.6318636760358308,0.15000000000000002,0.004274526291251299,0.03524272066776357
HR,Croatia,603,-0.33669347123245175,0.006843921634415922,43,14.6808725,Croatian,Indo-European,hr,NA,0.05715559112046045,0.7125,NA,0.022980491678730505
ID,Indonesia,401,0.08529998258308912,-0.053660942824779304,30.2,13.529744999999998,Indonesian,Austronesian,id,0.5408289970801315,-0.12378950346358272,0,-0.002039495716808129,0.003590874485632489
IE,Ireland,2812,-0.02858104783207869,-0.009714483725814158,36.8,12.278812,English,Indo-European,en,0.6024799736072142,0.6318636760358308,0.15000000000000002,0.004274526291251299,0.03524272066776357
IL,Israel,758,0.14392612489767995,0.023339602498192974,29.9,NA,Hebrew,Afro-Asiatic,he,0.7519501953937823,0.4704146073229067,0.85,0.06479704948957996,0.07163904382774816
IN,India,4341,0.035288648338090214,-0.059543297161397744,27.9,25.875145,Hindi,Indo-European,hi,NA,0.42007754201856345,0.050000000000000044,NA,0.04190928947411779
IT,Italy,1114,0.24977244067426868,0.02312918217578112,45.5,15.902095999999998,Italian,Indo-European,it,0.12446168054688916,0.6633728072961491,0.6,0.031198867152881633,0.06721375673437703
JP,Japan,1240,-0.057305103416553434,0.01837221713385687,47.3,NA,Japanese,Japonic,ja,NA,0.0643881856540085,0.09999999999999998,NA,-3.256586612354617e-5
KR,Republic of Korea,854,-0.1451239665484513,-0.0068116016621206435,41.8,15.241724999999999,Korean,Koreanic,ko,0.31419020750652094,0.26179782290171394,0.052631578947368474,0.0065827239339696555,0.037423372627676615
MX,Mexico,1029,-9.180351399869968e-5,-0.024581332208243555,28.3,16.129925,Spanish,Indo-European,es,0.2671657876925714,0.22224175277361607,0.85,0.025112497156056856,0.023132613424980752
MY,Malaysia,887,-0.013323080043276023,-0.03734987682721718,28.5,21.699205,Malay,Austronesian,ms,-0.2960500480216925,0.009029411441934046,0,-0.03364673567722739,0.0038008002450194713
NL,Netherlands,3773,0.14799188854229173,0.04020139645042484,42.6,6.1556049999999995,Dutch,Indo-European,nl,0.5579296515199147,0.8091716142918051,0.4625,0.027641147447256084,0.06455589109445999
NO,Norway,1357,-0.28215741330358574,-0.02489874767198652,39.2,9.210424,Norwegian,Indo-European,no,0.9063098524567017,0.5910439521647035,0.19166666666666665,-0.006871358796833143,-0.0057175530445946155
NZ,New Zealand,2937,0.05898834715316348,-0.001794557100982362,37.9,11.63959,English,Indo-European,en,0.6024799736072142,0.6318636760358308,0.15000000000000002,0.004274526291251299,0.03524272066776357
PH,Philippines,961,-0.11953410677977583,-0.054758919631812696,23.5,17.77721,Tagalog,Austronesian,tl,NA,-0.01629925562621509,0,NA,-0.010432916881999373
PL,Poland,670,-0.017376997111489767,-0.01842782150885679,40.7,13.254754,Polish,Indo-European,pl,-0.09698227604102083,-0.07770125423896067,0.8,0.028124402947521616,0.055200149133936977
RO,Romania,481,0.04663752647595598,0.007978577268914502,41.1,19.675815,Romanian,Indo-European,ro,0.6639642204315502,0.585753239505771,0.95,0.021569010220192145,0.03974095539716892
SE,Sweden,2169,-0.25519413020373233,-0.02060511444003361,41.2,14.3675675,Swedish,Indo-European,sv,0.3929363517259634,0.8219340280695795,0.32499999999999996,0.016338114099926377,0.04643593165180826
SG,Singapore,2683,0.23031316729195958,-0.010433998796516089,34.6,22.29334,Chinese,Sino-Tibetan,zh,NA,0.5351155194480434,0.052631578947368474,NA,0.0032344095940268257
TR,Turkey,681,-0.2134528589827861,-0.02918063525166718,30.9,14.919405000000001,Turkish,Turkic,tr,-0.0484223078192629,0.0952475823070029,0.03749999999999998,0.0026285982331292713,0.007735539584278855
TW,Taiwan,591,-0.2827799711242087,-0.012636066471611597,40.7,NA,Chinese,Sino-Tibetan,zh,NA,0.5351155194480434,0.052631578947368474,NA,0.0032344095940268257
US,United States of America,545673,0.0024526378795176494,5.37563470806575e-4,38.1,9.207398,English,Indo-European,en,0.6024799736072142,0.6318636760358308,0.15000000000000002,0.004274526291251299,0.03524272066776357
ZA,South Africa,699,0.19032982989638644,-0.023579779074975743,27.1,13.145153333333333,Zulu,Niger-Congo,zu,NA,NA,NA,NA,NA
