country_code,country_name,n_participants,es_iat_sex_age_order_explicit_resid,es_iat_sex_age_order_implicit_resid,median_country_age,per_women_stem_2012_2017
AE,United Arab Emirates,581,0.37042204790141237,-0.025488311990359933,30.3,18.175216666666667
AF,Afghanistan,863,0.049844864762140124,-0.020319208107144795,18.8,NA
AR,Argentina,531,-0.18468091275752327,-0.011498493755402076,31.7,11.48179
AT,Austria,715,0.25460600584569004,0.02681552081330119,44,14.070693333333333
AU,Australia,13537,-0.05040634148897909,-6.658024779997891e-4,38.7,9.36934
BE,Belgium,1285,0.1621379299387601,0.0351078423700635,41.4,7.519704
BR,Brazil,1431,-0.14380917724491626,0.03221032239677631,32,8.6388475
CA,Canada,21670,-0.10379045636713327,-0.009377546053027843,42.2,11.349274999999999
CH,Switzerland,2178,0.28120959741304047,0.012061109952287794,42.4,10.8424
CN,China,3010,0.13908561855172782,0.011589285507841628,37.4,NA
CO,Colombia,457,-0.04592982048049982,-0.049774528887970244,30,14.126292
DE,Germany,4602,0.26947145188930166,0.019921716387100556,47.1,NA
DK,Denmark,1036,-0.015130537944125909,0.0275685054556807,42.2,12.480726
ES,Spain,1149,-0.18664395704266068,-0.00871723867680852,42.7,13.012664000000001
FI,Finland,1145,-0.19517772426574545,-0.0012318740502568653,42.5,12.957786
FR,France,2705,0.05082979535342962,-0.006405966233272553,41.4,13.687458
GB,UK,23726,-0.03786222110033495,0.003509909731479227,40.5,16.043052
HR,Croatia,603,-0.33669347123245175,0.006843921634415922,43,14.6808725
ID,Indonesia,401,0.08529998258308912,-0.053660942824779304,30.2,13.529744999999998
IE,Ireland,2812,-0.02858104783207869,-0.009714483725814158,36.8,12.278812
IL,Israel,758,0.14392612489767995,0.023339602498192974,29.9,NA
IN,India,4341,0.035288648338090214,-0.059543297161397744,27.9,25.875145
IT,Italy,1114,0.24977244067426868,0.02312918217578112,45.5,15.902095999999998
JP,Japan,1240,-0.057305103416553434,0.01837221713385687,47.3,NA
KR,Republic of Korea,854,-0.1451239665484513,-0.0068116016621206435,41.8,15.241724999999999
MX,Mexico,1029,-9.180351399869968e-5,-0.024581332208243555,28.3,16.129925
MY,Malaysia,887,-0.013323080043276023,-0.03734987682721718,28.5,21.699205
NL,Netherlands,3773,0.14799188854229173,0.04020139645042484,42.6,6.1556049999999995
NO,Norway,1357,-0.28215741330358574,-0.02489874767198652,39.2,9.210424
NZ,New Zealand,2937,0.05898834715316348,-0.001794557100982362,37.9,11.63959
PH,Philippines,961,-0.11953410677977583,-0.054758919631812696,23.5,17.77721
PL,Poland,670,-0.017376997111489767,-0.01842782150885679,40.7,13.254754
RO,Romania,481,0.04663752647595598,0.007978577268914502,41.1,19.675815
SE,Sweden,2169,-0.25519413020373233,-0.02060511444003361,41.2,14.3675675
SG,Singapore,2683,0.23031316729195958,-0.010433998796516089,34.6,22.29334
TR,Turkey,681,-0.2134528589827861,-0.02918063525166718,30.9,14.919405000000001
TW,Taiwan,591,-0.2827799711242087,-0.012636066471611597,40.7,NA
US,United States of America,545673,0.0024526378795176494,5.37563470806575e-4,38.1,9.207398
ZA,South Africa,699,0.19032982989638644,-0.023579779074975743,27.1,13.145153333333333
