country,country_code,n_participants,explicit_resid,implicit_resid,median_country_age,women_stem,language_name,family,language_code,lang_es_sub,lang_es_wiki,mean_prop_distinct_occs,subt_occu_semantics_fm,wiki_occu_semantics_fm,gdp.2013,gini,Religiosity,GenderInequalityIndexValue,HDIValue
Ireland,IE,2812,-0.028581047832079,-0.009714483725814,36.800000000000000,12.278812000000000,English,Indo-European,en,0.602479973607214,0.631863676035830,0.150000000000000,0.004274526291251,0.035242720667764,47399.9,34.28,0.57,0.121,0.916
Israel,IL,758,0.143926124897679,0.023339602498193,29.900000000000000,,Hebrew,Afro-Asiatic,he,0.751950195393782,0.470414607322906,0.850000000000000,0.064797049489580,0.071639043827748,36151.2,39.20,0.48,0.144,0.900
Italy,IT,1114,0.249772440674268,0.023129182175781,45.500000000000000,15.902095999999900,Italian,Indo-European,it,0.124461680546889,0.663372807296149,0.600000000000000,0.031198867152882,0.067213756734377,34619.2,36.03,0.73,0.094,0.881
Japan,JP,1240,-0.057305103416553,0.018372217133857,47.300000000000000,,Japanese,Japonic,ja,,0.064388185654009,0.100000000000000,,-0.000032565866124,38492.1,24.85,0.26,0.131,0.912
Malaysia,MY,887,-0.013323080043276,-0.037349876827217,28.500000000000000,21.699205000000000,Malay,Austronesian,ms,-0.296050048021692,0.009029411441934,0.000000000000000,-0.033646735677227,0.003800800245019,10513.7,46.36,0.89,0.256,0.769
Mexico,MX,1029,-0.000091803513999,-0.024581332208244,28.300000000000000,16.129925000000000,Spanish,Indo-European,es,0.267165787692571,0.222241752773616,0.850000000000000,0.025112497156057,0.023132613424981,10307.3,49.09,0.68,0.382,0.775
Netherlands,NL,3773,0.147991888542291,0.040201396450425,42.600000000000000,6.155604999999990,Dutch,Indo-European,nl,0.557929651519914,0.809171614291805,0.462500000000000,0.027641147447256,0.064555891094460,47617.4,30.90,0.33,0.045,0.921
New Zealand,NZ,2937,0.058988347153163,-0.001794557100982,37.900000000000000,11.639590000000000,English,Indo-European,en,0.602479973607214,0.631863676035830,0.150000000000000,0.004274526291251,0.035242720667764,40841.6,36.17,0.35,0.164,0.919
Norway,NO,1357,-0.282157413303585,-0.024898747671987,39.200000000000000,9.210424000000000,Norwegian,Indo-European,no,0.906309852456701,0.591043952164703,0.191666666666666,-0.006871358796833,-0.005717553044595,100818.5,25.79,0.22,0.065,0.954
Philippines,PH,961,-0.119534106779775,-0.054758919631813,23.500000000000000,17.777210000000000,Tagalog,Austronesian,tl,,-0.016299255626215,0.000000000000000,,-0.010432916881999,2764.6,43.57,0.96,0.418,0.654
Poland,PL,670,-0.017376997111490,-0.018427821508857,40.700000000000000,13.254754000000000,Polish,Indo-European,pl,-0.096982276041021,-0.077701254238961,0.800000000000000,0.028124402947522,0.055200149133937,13432.0,32.04,0.75,0.140,0.820
Republic of Korea,KR,854,-0.145123966548451,-0.006811601662121,41.800000000000000,15.241724999999900,Korean,Koreanic,ko,0.314190207506520,0.261797822901713,0.052631578947368,0.006582723933970,0.037423372627677,,,0.42,0.153,0.909
Romania,RO,481,0.046637526475956,0.007978577268915,41.100000000000000,19.675815000000000,Romanian,Indo-European,ro,0.663964220431550,0.585753239505771,0.950000000000000,0.021569010220192,0.039740955397169,9499.2,29.38,0.84,0.327,0.786
Singapore,SG,2683,0.230313167291959,-0.010433998796516,34.600000000000000,22.293340000000000,Chinese,Sino-Tibetan,zh,,0.535115519448043,0.052631578947368,,0.003234409594027,55182.5,42.48,0.60,0.101,0.895
South Africa,ZA,699,0.190329829896386,-0.023579779074976,27.100000000000000,13.145153333333300,Zulu,Niger-Congo,zu,,,,,,6617.9,60.85,0.85,0.462,0.629
Spain,ES,1149,-0.186643957042660,-0.008717238676809,42.700000000000000,13.012664000000000,Spanish,Indo-European,es,0.267165787692571,0.222241752773616,0.850000000000000,0.025112497156057,0.023132613424981,29117.6,34.66,0.43,0.103,0.885
Sweden,SE,2169,-0.255194130203732,-0.020605114440034,41.200000000000000,14.367567500000000,Swedish,Indo-European,sv,0.392936351725963,0.821934028069579,0.324999999999999,0.016338114099926,0.046435931651808,58163.7,25.00,0.16,0.055,0.916
Switzerland,CH,2178,0.281209597413040,0.012061109952288,42.400000000000000,10.842400000000000,German,Indo-European,de,0.992986925106306,0.673962589770984,0.887500000000000,0.050113805464056,0.089552552221327,80527.5,33.68,0.43,0.057,0.913
Taiwan,TW,591,-0.282779971124208,-0.012636066471612,40.700000000000000,,Chinese,Sino-Tibetan,zh,,0.535115519448043,0.052631578947368,,0.003234409594027,,,0.44,,
Turkey,TR,681,-0.213452858982786,-0.029180635251667,30.900000000000000,14.919405000000000,Turkish,Turkic,tr,-0.048422307819263,0.095247582307003,0.037500000000000,0.002628598233129,0.007735539584279,10945.9,41.25,0.82,0.366,0.721
United Arab Emirates,AE,581,0.370422047901412,-0.025488311990360,30.300000000000000,18.175216666666600,Arabic,Afro-Asiatic,ar,-0.241560408543733,0.640110693426181,0.000000000000000,-0.011790770825550,-0.020170980902606,,,0.96,0.241,0.817
United Kingdom,GB,23726,-0.037862221100335,0.003509909731479,40.500000000000000,16.043052000000000,English,Indo-European,en,0.602479973607214,0.631863676035830,0.150000000000000,0.004274526291251,0.035242720667764,39350.6,35.97,0.30,0.205,0.875
United States,US,545673,0.002452637879518,0.000537563470807,38.100000000000000,9.207398000000000,English,Indo-European,en,0.602479973607214,0.631863676035830,0.150000000000000,0.004274526291251,0.035242720667764,53142.9,40.81,0.66,0.256,0.937
