country,country_code,n_participants,explicit_resid,implicit_resid,median_country_age,women_stem,language_name,family,language_code,lang_es_sub,lang_es_wiki,mean_prop_distinct_occs,subt_occu_semantics_fm,wiki_occu_semantics_fm,gdp.2013,gini,Religiosity,GenderInequalityIndexValue,HDIValue
Afghanistan,AF,863,0.049844864762140,-0.020319208107145,18.800000000000000,,Persian,Indo-European,fa,0.441800947098032,0.498835811630003,0.000000000000000,0.006264368761100,0.026195312519067,678.3,27.82,0.98,0.712,0.374
Argentina,AR,531,-0.184680912757523,-0.011498493755402,31.700000000000000,11.481790000000000,Spanish,Indo-European,es,0.267165787692571,0.222241752773616,0.850000000000000,0.025112497156057,0.023132613424981,14760.2,48.34,0.64,0.380,0.811
Australia,AU,13537,-0.050406341488979,-0.000665802478000,38.700000000000000,9.369340000000000,English,Indo-European,en,0.602479973607214,0.631863676035830,0.150000000000000,0.004274526291251,0.035242720667764,67468.1,35.19,0.32,0.115,0.937
Austria,AT,715,0.254606005845690,0.026815520813301,44.000000000000000,14.070693333333300,German,Indo-European,de,0.992986925106306,0.673962589770984,0.887500000000000,0.050113805464056,0.089552552221327,49074.2,29.15,0.53,0.102,0.895
Belgium,BE,1285,0.162137929938760,0.035107842370064,41.400000000000000,7.519704000000000,Dutch,Indo-European,nl,0.557929651519914,0.809171614291805,0.462500000000000,0.027641147447256,0.064555891094460,45387.2,32.97,0.39,0.098,0.897
Brazil,BR,1431,-0.143809177244916,0.032210322396776,32.000000000000000,8.638847500000000,Portuguese,Indo-European,pt,0.534820670620581,0.400941392644500,0.900000000000000,0.025715794508808,0.056676163018312,11208.1,58.67,0.88,0.447,0.730
Canada,CA,21670,-0.103790456367133,-0.009377546053028,42.200000000000000,11.349274999999900,English,Indo-European,en,0.602479973607214,0.631863676035830,0.150000000000000,0.004274526291251,0.035242720667764,51910.8,32.56,0.45,0.119,0.911
China,CN,3010,0.139085618551727,0.011589285507842,37.400000000000000,,Chinese,Sino-Tibetan,zh,,0.535115519448043,0.052631578947368,,0.003234409594027,,,,,
Colombia,CO,457,-0.045929820480500,-0.049774528887970,30.000000000000000,14.126292000000000,Spanish,Indo-European,es,0.267165787692571,0.222241752773616,0.850000000000000,0.025112497156057,0.023132613424981,7825.7,56.60,0.85,0.459,0.718
Croatia,HR,603,-0.336693471232451,0.006843921634416,43.000000000000000,14.680872500000000,Croatian,Indo-European,hr,,0.057155591120460,0.712500000000000,,0.022980491678731,13529.9,28.91,0.69,0.179,0.805
Denmark,DK,1036,-0.015130537944126,0.027568505455681,42.200000000000000,12.480726000000000,Danish,Indo-European,da,1.204295317239810,0.852912632038271,0.362500000000000,0.025935585729906,0.046799074353831,58929.6,24.70,0.19,0.057,0.901
Finland,FI,1145,-0.195177724265745,-0.001231874050257,42.500000000000000,12.957786000000000,Finnish,Uralic,fi,0.510617373515011,0.189359899626894,0.050000000000000,0.006596813016982,0.010088448612509,47218.8,26.88,0.28,0.075,0.892
France,FR,2705,0.050829795353430,-0.006405966233273,41.400000000000000,13.687458000000000,French,Indo-European,fr,0.336573791640203,0.337830602901146,0.500000000000000,0.058923924151753,0.038617188295212,41420.8,32.74,0.27,0.083,0.893
Germany,DE,4602,0.269471451889301,0.019921716387101,47.100000000000000,,German,Indo-European,de,0.992986925106306,0.673962589770984,0.887500000000000,0.050113805464056,0.089552552221327,45084.9,28.31,0.41,0.075,0.920
India,IN,4341,0.035288648338090,-0.059543297161398,27.900000000000000,25.875145000000000,Hindi,Indo-European,hi,,0.420077542018563,0.050000000000000,,0.041909289474118,1498.9,32.22,0.85,0.610,0.554
Indonesia,ID,401,0.085299982583089,-0.053660942824779,30.200000000000000,13.529744999999900,Indonesian,Austronesian,id,0.540828997080131,-0.123789503463582,0.000000000000000,-0.002039495716808,0.003590874485632,3475.3,31.83,0.98,0.494,0.629
