country,country_code,n_participants,explicit_resid,implicit_resid,median_country_age,women_stem,language_name,family,language_code,lang_es_sub,lang_es_wiki,mean_prop_distinct_occs,subt_occu_semantics_fm,wiki_occu_semantics_fm,gdp_2013,gini,religiosity,gender_inequality_index_value,hdi_value,gdp_2017
Afghanistan,AF,863,0.04984486476214,-0.020319208107145,18.8,NA,Persian,Indo-European,fa,0.441800947098032,0.498835811630003,0,0.0062643687611,0.026195312519067,678.3,27.82,0.98,0.712,0.374,550.068458763852
Argentina,AR,531,-0.184680912757523,-0.011498493755402,31.7,11.48179,Spanish,Indo-European,es,0.267165787692571,0.222241752773616,0.85,0.025112497156057,0.023132613424981,14760.2,48.34,0.64,0.38,0.811,14398.3587709055
Australia,AU,13537,-0.050406341488979003,-6.65802478e-4,38.7,9.36934,English,Indo-European,en,0.602479973607214,0.63186367603583,0.15,0.004274526291251,0.035242720667764,67468.1,35.19,0.32,0.115,0.937,53799.9380899599
Austria,AT,715,0.25460600584569,0.026815520813301,44,14.0706933333333,German,Indo-European,de,0.992986925106306,0.673962589770984,0.8875,0.050113805464056,0.089552552221327,49074.2,29.15,0.53,0.102,0.895,47290.9116498316
Belgium,BE,1285,0.16213792993876,0.035107842370064,41.4,7.519704,Dutch,Indo-European,nl,0.557929651519914,0.809171614291805,0.4625,0.027641147447256,0.06455589109446,45387.2,32.97,0.39,0.098,0.897,43323.8073364711
Brazil,BR,1431,-0.143809177244916,0.032210322396776,32,8.6388475,Portuguese,Indo-European,pt,0.534820670620581,0.4009413926445,0.9,0.025715794508808,0.056676163018312,11208.1,58.67,0.88,0.447,0.73,9821.40768641008
Canada,CA,21670,-0.103790456367133,-0.009377546053028,42.2,11.3492749999999,English,Indo-European,en,0.602479973607214,0.63186367603583,0.15,0.004274526291251,0.035242720667764,51910.8,32.56,0.45,0.119,0.911,45032.1199081697
China,CN,3010,0.139085618551727,0.011589285507842,37.4,NA,Chinese,Sino-Tibetan,zh,NA,0.535115519448043,0.052631578947368,NA,0.003234409594027,NA,NA,NA,NA,NA,8826.99409574835
Colombia,CO,457,-0.0459298204805,-0.04977452888797,30,14.126292,Spanish,Indo-European,es,0.267165787692571,0.222241752773616,0.85,0.025112497156057,0.023132613424981,7825.7,56.6,0.85,0.459,0.718,6408.92001169297
Croatia,HR,603,-0.336693471232451,0.006843921634416,43,14.6808725,Croatian,Indo-European,hr,NA,0.05715559112046,0.7125,NA,0.022980491678731,13529.9,28.91,0.69,0.179,0.805,13382.7198464828
Denmark,DK,1036,-0.015130537944126,0.027568505455681,42.2,12.480726,Danish,Indo-European,da,1.20429531723981,0.852912632038271,0.3625,0.025935585729906,0.046799074353831,58929.6,24.7,0.19,0.057,0.901,56307.5082995258
Finland,FI,1145,-0.195177724265745,-0.001231874050257,42.5,12.957786,Finnish,Uralic,fi,0.510617373515011,0.189359899626894,0.05,0.006596813016982,0.010088448612509,47218.8,26.88,0.28,0.075,0.892,45703.327865074
France,FR,2705,0.05082979535343,-0.006405966233273,41.4,13.687458,French,Indo-European,fr,0.336573791640203,0.337830602901146,0.5,0.058923924151753,0.038617188295212,41420.8,32.74,0.27,0.083,0.893,38476.6586361575
Germany,DE,4602,0.269471451889301,0.019921716387101,47.1,NA,German,Indo-European,de,0.992986925106306,0.673962589770984,0.8875,0.050113805464056,0.089552552221327,45084.9,28.31,0.41,0.075,0.92,44469.9090607244
India,IN,4341,0.03528864833809,-0.059543297161398,27.9,25.875145,Hindi,Indo-European,hi,NA,0.420077542018563,0.05,NA,0.041909289474118,1498.9,32.22,0.85,0.61,0.554,1942.0974005834
Indonesia,ID,401,0.085299982583089,-0.053660942824779,30.2,13.5297449999999,Indonesian,Austronesian,id,0.540828997080131,-0.123789503463582,0,-0.002039495716808,0.003590874485632,3475.3,31.83,0.98,0.494,0.629,3846.86432330998
Ireland,IE,2812,-0.028581047832079,-0.009714483725814,36.8,12.278812,English,Indo-European,en,0.602479973607214,0.63186367603583,0.15,0.004274526291251,0.035242720667764,47399.9,34.28,0.57,0.121,0.916,69330.6901544912
Israel,IL,758,0.143926124897679,0.023339602498193,29.9,NA,Hebrew,Afro-Asiatic,he,0.751950195393782,0.470414607322906,0.85,0.06479704948958,0.071639043827748,36151.2,39.2,0.48,0.144,0.9,40270.2513460448
Italy,IT,1114,0.249772440674268,0.023129182175781,45.5,15.9020959999999,Italian,Indo-European,it,0.124461680546889,0.663372807296149,0.6,0.031198867152882,0.067213756734377,34619.2,36.03,0.73,0.094,0.881,31952.9759206841
Japan,JP,1240,-0.057305103416553,0.018372217133857,47.3,NA,Japanese,Japonic,ja,NA,0.064388185654009,0.1,NA,-3.2565866124e-5,38492.1,24.85,0.26,0.131,0.912,38428.0973168279
Malaysia,MY,887,-0.013323080043276,-0.037349876827217,28.5,21.699205,Malay,Austronesian,ms,-0.296050048021692,0.009029411441934,0,-0.033646735677227,0.003800800245019,10513.7,46.36,0.89,0.256,0.769,9951.54415327241
Mexico,MX,1029,-9.1803513999e-5,-0.024581332208244,28.3,16.129925,Spanish,Indo-European,es,0.267165787692571,0.222241752773616,0.85,0.025112497156057,0.023132613424981,10307.3,49.09,0.68,0.382,0.775,8910.33317708802
Netherlands,NL,3773,0.147991888542291,0.040201396450425,42.6,6.15560499999999,Dutch,Indo-European,nl,0.557929651519914,0.809171614291805,0.4625,0.027641147447256,0.06455589109446,47617.4,30.9,0.33,0.045,0.921,48223.1554941825
New Zealand,NZ,2937,0.058988347153163,-0.001794557100982,37.9,11.63959,English,Indo-European,en,0.602479973607214,0.63186367603583,0.15,0.004274526291251,0.035242720667764,40841.6,36.17,0.35,0.164,0.919,42940.5782879727
Norway,NO,1357,-0.282157413303585,-0.024898747671987,39.2,9.210424,Norwegian,Indo-European,no,0.906309852456701,0.591043952164703,0.191666666666666,-0.006871358796833,-0.005717553044595,100818.5,25.79,0.22,0.065,0.954,75504.5662551423
Philippines,PH,961,-0.119534106779775,-0.054758919631813,23.5,17.77721,Tagalog,Austronesian,tl,NA,-0.016299255626215,0,NA,-0.010432916881999,2764.6,43.57,0.96,0.418,0.654,2988.95270335802
Poland,PL,670,-0.01737699711149,-0.018427821508857,40.7,13.254754,Polish,Indo-European,pl,-0.096982276041021,-0.077701254238961,0.8,0.028124402947522,0.055200149133937,13432,32.04,0.75,0.14,0.82,13863.1778820268
Republic of Korea,KR,854,-0.145123966548451,-0.006811601662121,41.8,15.2417249999999,Korean,Koreanic,ko,0.31419020750652,0.261797822901713,0.052631578947368,0.00658272393397,0.037423372627677,NA,NA,0.42,0.153,0.909,29742.8388613471
Romania,RO,481,0.046637526475956,0.007978577268915,41.1,19.675815,Romanian,Indo-European,ro,0.66396422043155,0.585753239505771,0.95,0.021569010220192,0.039740955397169,9499.2,29.38,0.84,0.327,0.786,10817.833794118
Singapore,SG,2683,0.230313167291959,-0.010433998796516,34.6,22.29334,Chinese,Sino-Tibetan,zh,NA,0.535115519448043,0.052631578947368,NA,0.003234409594027,55182.5,42.48,0.6,0.101,0.895,57714.2966313778
South Africa,ZA,699,0.190329829896386,-0.023579779074976,27.1,13.1451533333333,Zulu,Niger-Congo,zu,NA,NA,NA,NA,NA,6617.9,60.85,0.85,0.462,0.629,6151.07795531285
Spain,ES,1149,-0.18664395704266,-0.008717238676809,42.7,13.012664,Spanish,Indo-European,es,0.267165787692571,0.222241752773616,0.85,0.025112497156057,0.023132613424981,29117.6,34.66,0.43,0.103,0.885,28156.8158362352
Sweden,SE,2169,-0.255194130203732,-0.020605114440034,41.2,14.3675675,Swedish,Indo-European,sv,0.392936351725963,0.821934028069579,0.324999999999999,0.016338114099926,0.046435931651808,58163.7,25,0.16,0.055,0.916,53442.0082808022
Switzerland,CH,2178,0.28120959741304,0.012061109952288,42.4,10.8424,German,Indo-European,de,0.992986925106306,0.673962589770984,0.8875,0.050113805464056,0.089552552221327,80527.5,33.68,0.43,0.057,0.913,80189.6968607849
Taiwan,TW,591,-0.282779971124208,-0.012636066471612,40.7,NA,Chinese,Sino-Tibetan,zh,NA,0.535115519448043,0.052631578947368,NA,0.003234409594027,NA,NA,0.44,NA,NA,NA
Turkey,TR,681,-0.213452858982786,-0.029180635251667,30.9,14.919405,Turkish,Turkic,tr,-0.048422307819263,0.095247582307003,0.0375,0.002628598233129,0.007735539584279,10945.9,41.25,0.82,0.366,0.721,10546.1525631603
United Arab Emirates,AE,581,0.370422047901412,-0.02548831199036,30.3,18.1752166666666,Arabic,Afro-Asiatic,ar,-0.241560408543733,0.640110693426181,0,-0.01179077082555,-0.020170980902606,NA,NA,0.96,0.241,0.817,40698.8493360368
United Kingdom,GB,23726,-0.037862221100335,0.003509909731479,40.5,16.043052,English,Indo-European,en,0.602479973607214,0.63186367603583,0.15,0.004274526291251,0.035242720667764,39350.6,35.97,0.3,0.205,0.875,39720.4434267836
United States,US,545673,0.002452637879518,5.37563470807e-4,38.1,9.207398,English,Indo-European,en,0.602479973607214,0.63186367603583,0.15,0.004274526291251,0.035242720667764,53142.9,40.81,0.66,0.256,0.937,59531.661964344
