domain,"category
(for the purpose of interpreting IAT scores and self-report scales)",category labels,stimuli,,,,,,,,,evaluative label,notes
50 Cent - Britney,X,50 Cent,50 Cent,50cent1.jpg,50cent2.jpg,50cent3.jpg,,,,,,Valenced 4,
,Y,Britney Spears,Britney Spears,bspears1.jpg,bspears2.jpg,bspears3.jpg,,,,,,,
African Americans - European Americans,X,African Americans,bf23.jpg,bm56.jpg,bm23.jpg,bf56.jpg,bm14.jpg,bf14.jpg,,,,Valenced 1,
,Y,European Americans,wf3.jpg,wf6.jpg,wm1.jpg,wm4.jpg,wf2.jpg,wm6.jpg,,,,,
Artists - Musicians,X,Artists,Monet,Picasso,Andy Warhol,Michaelangelo,Miro,Paul Klee,Jackson Pollock,,,,
,Y,Musicians,Mozart,Beethoven,Bob Dylan,Sting,Tupac,Madonna,Elvis Presely,,,Valenced 4,
Asian - White,X,Asian,Chang,Hwang,Wong,Chen,Nguyen,Fujimoto,Lee,,,Valenced 3,
,Y,White,Smith,Jones,Adams,Harris,Miller,Perry,Ward,,,,
Astrology - Science,X,Astrology,Horoscope,Capricorn,Aries,Pisces,Mystic,Libra,,,,Valenced 1,
,Y,Science,Experiment,Laboratory,Physics,Chemistry,Biology,Scientist,,,,,
Atheism - Religion,X,Atheism,Atheist,Agnostic,Skeptic,,,,,,,,
,Y,Religion,Churchgoer,Religious,Theist,,,,,,,Valenced 4,
Athletic People - Intelligent People,X,Athletic People,fit,sporty,in-shape,active,nimble,energetic,muscular,,,Valenced 4,
,Y,Intelligent People,clever,bright,smart,brilliant,brainy,intellectual,academic,,,,
Avoiding - Approaching,X,Avoiding,Back,Withdraw,Recoil,Retreat,Away,,,,,,
,Y,Approaching,Toward,Closer,Advance,Forward,Near,,,,,Valenced 2,
Bill Clinton - Hillary Clinton,X,Bill Clinton,bill1.jpg,bill2.jpg,bill3.jpg,bill4.jpg,,,,,,Valenced 3,
,Y,Hillary Clinton,hillary1.jpg,hillary2.jpg,hillary3.jpg,hillary4.jpg,,,,,,,
Briefs - Boxers,X,Briefs,briefs1.jpg,briefs2.jpg,briefs3.jpg,briefs4.jpg,,,,,,,
,Y,Boxers,boxers1.jpg,boxers2.jpg,boxers3.jpg,boxers4.jpg,,,,,,Valenced 4,
