"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"17","Roofers","",".09 37 (.16)","",".19 140","(.14)",".2 34","(.15)",".16 34","(.1)",".22 399","(.19)",".17 31 (.14)",".09 30","(.1)"
"18","Rubbish collectors","",".06 41 (.1)","",".18 142","(.14)",".14 30","(.18)",".16 37","(.12)",".27 409","(.17)",".17 29 (.11)",".06 29","(.07)"
"19","Runners","",".45 34 (.14)","",".46 138","(.11)",".45 35","(.12)",".46 36","(.09)",".41 400","(.13)",".42 27 (.14)",".43 29","(.12)"
"20","Sailors","",".09 35 (.08)","",".27 142","(.14)",".16 32","(.16)",".36 32","(.09)",".16 391","(.13)",".34 30 (.14)",".13 30","(.11)"
"21","Sales assistants","","“Salespersons”","",".64 143","(.15)",".55 31","(.19)",".58 37","(.16)",".71 399","(.14)",".6 32 (.16)",".44 29","(.16)"
"22","Salespersons","",".76 35 (.15)","",".49 140","(.16)",".65 32","(.16)",".69 36","(.14)",".57 404","(.17)",".43 31 (.16)",".7 28","(.14)"
"23","Schoolchildrens","",".54 36 (.09)","",".5 141","(.07)",".53 35","(.07)",".53 35","(.05)",".53 393","(.09)",".51 30 (.07)",".56 30","(.1)"
"24","Screenwriters","",".41 38 (.16)","",".4 138","(.11)",".31 35","(.14)",".39 35","(.15)",".43 397","(.15)",".43 31 (.1)",".31 31","(.15)"
"25","Scuba divers","",".3 35 (.13)","",".41 143","(.12)",".35 35","(.14)",".39 36","(.16)",".3 398","(.16)",".33 29 (.11)",".28 30","(.17)"
"26","Sculptors","",".33 39 (.17)","",".45 141","(.15)",".4 32","(.1)",".43 36","(.14)",".39 393","(.16)",".46 29 (.13)",".29 30","(.14)"
"27","Secretaries","",".88 34 (.11)","",".75 141","(.14)",".82 33","(.1)",".8 35","(.12)",".78 397","(.16)",".75 29 (.1)",".87 31","(.17)"
"28","Serial killers","",".18 36 (.15)","",".23 143","(.14)",".25 34","(.13)",".23 36","(.14)",".26 400","(.17)",".15 28 (.11)",".16 30","(.13)"
"29","Sheriffs","",".12 35 (.11)","",".23 141","(.14)",".19 31","(.16)",".23 39","(.15)",".19 397","(.16)",".22 30 (.14)",".15 32","(.13)"
"30","Shoemakers","",".4 36 (.25)","",".34 138","(.16)",".25 32","(.14)",".29 34","(.13)",".23 393","(.16)",".29 31 (.14)",".22 31","(.16)"
"31","Shoplifters","","“Thieves”","",".46 139","(.15)",".42 33","(.17)",".39 34","(.14)",".35 407","(.18)",".41 31 (.19)","“Thieves”",""
"32","Shoppers","",".59 36 (.13)","",".7 141","(.16)",".65 33","(.13)",".59 35","(.11)",".57 394","(.18)",".76 32 (.1)",".56 27","(.11)"
"33","Singers","",".57 35 (.12)","",".57 142","(.12)",".58 34","(.11)",".54 35","(.11)",".52 399","(.1)",".59 32 (.14)",".55 31","(.14)"
"34","Single parents","",".75 34 (.21)","",".76 140","(.14)",".59 34","(.17)",".76 39","(.12)",".77 390","(.18)",".76 29 (.13)",".48 30","(.23)"
"35","Skiers","",".48 35 (.09)","",".44 141","(.12)",".43 33","(.1)",".41 34","(.11)",".44 396","(.1)",".45 34 (.08)",".42 31","(.13)"
"36","Smugglers","",".23 36 (.14)","",".32 142","(.16)",".23 34","(.16)",".29 36","(.15)",".22 412","(.16)",".23 31 (.15)",".14 28","(.12)"
"37","Snooker players","",".24 35 (.13)","",".2 139","(.13)",".23 32","(.12)",".3 37","(.2)",".24 397","(.15)",".28 31 (.15)",".21 30","(.11)"
"38","Social workers","",".83 38 (.1)","",".7 139","(.14)",".69 30","(.12)",".61 35","(.16)",".72 401","(.16)",".7 29 (.13)",".83 30","(.1)"
"39","Socialites","",".44 35 (.19)","",".63 140","(.16)",".52 33","(.14)","N/A","",".47 396","(.14)","N/A",".46 29","(.15)"
"40","Solarium users","",".76 33 (.14)","",".55 141","(.16)",".77 30","(.17)",".69 33","(.15)",".65 400","(.16)",".71 31 (.15)",".8 32","(.2)"
"41","Soldiers","",".15 36 (.1)","",".22 142","(.13)",".1 34","(.08)",".18 35","(.11)",".22 408","(.13)",".15 31 (.11)",".15 31","(.11)"
"42","Sound engineers","",".22 37 (.13)","",".29 138","(.13)",".26 32","(.15)",".32 36","(.13)",".28 411","(.16)",".24 26 (.1)",".18 30","(.15)"
"43","Spectators","",".58 35 (.13)","",".44 139","(.14)",".51 34","(.06)",".51 34","(.05)",".53 395","(.11)",".49 31 (.07)",".53 29","(.12)"
"44","Speech therapists","",".71 35 (.16)","",".65 141","(.15)",".66 36","(.15)",".68 36","(.18)",".66 404","(.16)",".59 32 (.16)",".77 31","(.14)"
"45","Sports coachs","",".39 37 (.14)","",".33 141","(.14)",".28 31","(.14)",".41 37","(.11)",".36 394","(.16)",".41 31 (.15)",".36 30","(.17)"
"46","Spies","",".23 37 (.15)","",".38 141","(.16)",".29 34","(.17)",".32 35","(.14)",".39 402","(.18)",".32 31 (.15)",".3 28","(.17)"
"47","Statisticians","",".3 36 (.15)","",".32 140","(.14)",".32 33","(.13)",".35 35","(.12)",".37 396","(.16)",".38 30 (.14)",".39 30","(.22)"
"48","Stockbrokers","",".32 39 (.15)","",".28 141","(.15)",".4 30","(.13)",".26 36","(.12)",".27 394","(.14)",".25 32 (.11)",".37 29","(.22)"
"49","Strippers","",".75 36 (.16)","",".69 138","(.17)",".79 30","(.14)",".68 36","(.16)",".71 400","(.17)",".81 31 (.18)",".76 28","(.17)"
"50","Structural engineers","",".18 33 (.1)","",".26 140","(.15)",".27 33","(.14)",".29 34","(.11)",".34 403","(.15)",".23 31 (.12)",".23 29","(.19)"
