V1,V2,V3,V4,V5,V6,V7,V8
,Role nouns,Czech,French,German,Italian,Norwegian,Slovak
,(in English),,,,,,
1,Accountants,see “Bookkeepers”,Comptables,see “Bookkeepers”,Ragionieri,Regnskapsførere,see “Bookkeepers”
2,Acrobats,Akrobati,Acrobates,Akrobaten,Acrobati,Akrobater,Akrobati
3,Acupuncturists,Akupunkturisti,Acupuncteurs,Akupunkteure,Agopunturisti,Akupunktører,Akupunkturisti
4,Administrative,see “Office workers”,Employés de,Verwaltungsangestellte,Impiegati amministrativi,see “Secretaries”,see “Office workers”
,workers,,l’administration,,,,
5,Admirals,Admirálové,Amiraux,Admirale,Ammiragli,Admiraler,Admiráli
6,Aerobics instructors,Instruktoři aerobiku,Professeurs d’aérobic,Aerobiclehrer,Istruttori di aerobica,Aerobicinstruktører,Inštruktori aerobiku
7,Air traffic controllers,Letečtí dispečeři,Contrôleurs aérien,Fluglotsen,Controllori di volo,Flyveledere,Pracovníci riadenia
,,,,,,,letovej prevádzky
8,Alcoholics,Alkoholici,Alcooliques,Alkoholiker,Alcolizzati,Alkoholikere,Alkoholici
9,Anglers,Rybáři,Pêcheurs,Fischer,Pescatori,Fiskere,Rybári
10,Animators,Organizátoři,N/A,Animateure,Animatori,Animatører,Animátori voľného
,,volnočasových aktivit,,,,,času
11,Antique dealers,Starožitníci,Antiquaires,Antiquitätenhändler,Antiquari,Antikvitetsforhandlere,Starožitníci
12,Apprentices,Učňové,Apprentis,Lehrlinge,Apprendisti,Lærlinger,Učni
13,Architects,Architekti,Architectes,Architekten,Architetti,Arkitekter,Architekti
14,Archivists,Archiváři,Archivistes,Archivare,Archivisti,Arkivarer,Archivári
15,Artists,Umělci,Artistes,Künstler,Artisti,Kunstnere,Umelci
16,Assistants,Asistenti,Assistants,Assistenten,Assistenti,Assistenter,Asistenti
17,Assistant chefs,Asistenti šéfkuchaře,Chefs de partie,Assistenzköche,Assistenti cuochi,Hjelpekokker,Asistenti šéfkuchára
18,Astrologists,Astrologové,Astrologues,Astrologen,Astrologi,Astrologer,Astrológovia
19,Astronauts,Astronauti/kosmonauti,Astronautes,Astronauten,Astronauti,Astronauter,Astronauti
20,Astronomers,Astronomové,Astronomes,Astronomen,Astronomi,Astronomer,Astronómovia
21,Athletes,Atleti,Athlètes,Sportler,Atleti,Idrettsutøvere,Športovci
22,Au pairs,Au-pair,Jeunes garçons au pair,Aupairs,Ragazzi alla pari,Au-pairer,Au-pair
23,Auctioneers,Dražitelé,Commissaires-priseurs,Auktionäre,Banditori d’asta,Auksjonarier,Dražitelia
24,Authors,Autoři,Auteurs,Autoren,Autori,Forfattere,Autori
25,Babies,Miminka,Bébés,Säuglinge,Neonati,Spedbarn,Bábätká
26,Babysitters,see “Child-minders”,Babysitters,Babysitter,Babysitter,see “Child-minders”,Opatrovatelia detí
27,Bakers,Pekaři,Boulangers,Bäcker,Fornai,Bakere,Pekári
28,Ballet dancers,Baletní tanečníci,Danseurs classiques,Balletttänzer,see “Dancers”,Ballettdansere,Baletníci
29,Bank clerks,see “Bankers”,Employés de banque,Bankangestellte,Impiegati di banca,Bankkasserere,Bankoví úradníci
30,Bankers,Bankovní úředníci,Banquiers,Bankkaufleute,Banchieri,Bankfunksjonærer,Bankári
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
31 Barbers,,Holiči,Barbiers,Herrenfriseure,Barbieri,Barberere,Holiči
32 Bartenders,,Barmani,Tenanciers de bar,Barkeeper,Baristi,Bartendere,Barmani
33 Baseball players,,Hráči basebalu,Joueurs de baseball,Baseballspieler,Giocatori di baseball,Baseballspillere,Bejzbalisti
34 Basketball players,,Basketbalisti,Joueurs de basketball,Basketballspieler,Giocatori di pallacanestro,Basketballspillere,Basketbalisti
35 Bass players,,Baskytaristi,Bassistes,Bassisten,Bassisti,Bassister,Basgitaristi
36 Beauticians,,Kosmetici,Esthéticiens,Kosmetiker,Estetisti,Kosmetikere,Kozmetici
37 Bikers,,see “Cyclists”,Motards,Motorradfahrer,Motociclisti,Motorsyklister,see “Cyclists”
38 Bingo players,,Hráči binga,Joueurs de bingo,Bingospieler,Giocatori di bingo,Bingospillere,Hráči binga
39 Biologists,,Biologové,Biologistes,Biologen,Biologi,Biologer,Biológovia
40 Birth attendants,,Porodníci,Assistants maternels,Geburtshelfer,Ostetrici,Fødselshjelpere,Pôrodní asistenti
41 Blacksmiths,,Kováři,Forgerons,Schmiede,Fabbri,Smeder,Kováči
42 Bookkeepers,,Účetní,see “Accountants”,Buchhalter,Contabili,Bokholdere,Účtovníci
43 Bosses,,Šéfové,Patrons,Chefs,Capi,Sjefer,Šéfovia
44 Boutique owners,,Majitelé butiků,Propriétaires de boutique,Boutique-Inhaber,Propietari di negozio,Butikkeiere,Majitelia butiku
45 Boxers,,Boxeři,Boxeurs,Boxer,Pugili,Boksere,Boxeri
46 Bricklayers,,Zedníci,Maçons,Maurer,Muratori,Murere,Murári
47 Building contractors,,Stavitelé,Entrepreneurs en,Bauunternehmer,Impresari edili,Byggentreprenører,Stavitelia
,,,bâtiment,,,,
48 Bus drivers,,Řidiči autobusu,Conducteurs de bus,Busfahrer,Autisti di autobus,Bussjåfører,Vodiči autobusov
49 Butchers,,Řezníci,Bouchers,Metzger,Macellai,Slaktere,Mäsiari
50 Butlers,,N/A,Maîtres d’hôtel,Dienstboten,Maggiordomi,Hovmestere,Komorníci
51 Cabinet ministers,,Ministři,Ministres,Minister,Ministri,Ministere,Ministri
52 Cake decorators,,see “Pastry chefs”,Décorateurs de gâteau,N/A,Decoratori di torte,N/A,see “Pastry chefs”
53 Camera operators,,Kameramani,Caméramans,Kameraleute,Operatori cinematografici,Filmfotografer,Kameramani
54 Campers,,Táborníci,Campeurs,Camper,Campeggiatori,Campingturister,Táborníci
55 Canteen assistants,,Pomocníci/pomocné,Aides de cantine,Küchenhilfen,Inservienti di mensa,Kjøkkenhjelpere,Asistenti jedálne
,,síly,,,,,
56 Car mechanics,,Automechanici,see “Mechanics”,Automechaniker,see “Mechanics”,Bilmekanikere,Automechanici
57 Card players,,Hráči karet,Joueurs de cartes,Kartenspieler,Giocatori di carte,Kortspillere,Hráči kariet
58 Care workers,,Opatrovníci,Travailleurs sociaux,Betreuungspersonen,Operatori sociali,Sosionomer,Opatrovníci
59 Caregivers,,see “Health visitors”,Soignants,Pfleger,Badanti,Omsorgsytere,Opatrovatelia
60 Caretakers,,Domovníci,see “Janitors”,Verwalter,Custodi,see “Supervisors”,Domovníci
61 Carpenters,,Tesaři,Charpentiers,Schreiner,see “Wood workers”,Snekkere,Stolári
62 Cartoonists,,Karikaturisti,Dessinateurs de BD,Comiczeichner,Disegnatori di cartoni,Tegneserieskapere,Karikaturisti
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
63 Cashiers,,Pokladníci,Caissiers,Kassierer,Cassieri,Kasserere,Pokladníci
64 Cat owners,,Majitelé koček,Propriétaires de chat,Katzenbesitzer,Proprietari di gatti,Katteeiere,Majitelia mačiek
65 Caterers,,Dodavatelé jídla,Traiteurs,Betreiber eines Partyservice,Ristoratori,Selskapsarrangører,Zásobovatelia
66 Celebrities,,Celebrity,Célébrités,Prominente,Celebrità,Kjendiser,Osobnosti
67 Chair persons,,Předsedové,Présidents (entreprise),Vorsitzende,Presidenti,Styreledere,Predsedovia
68 Chamber-maids,,Pokojští,Hommes de chambre,Zimmerpersonal,Camerieri d’albergo,Stuepiker,Chyžní
69 Cheerleaders,,Roztleskávači,Pompom boys,Cheerleader,Ragazzi ponpon,Cheerleadere,Roztlieskavači
70 Chefs,,Šéfkuchaři,Chefs,Chefköche,Capocuochi,Kjøkkensjefer,Šéfkuchári
71 Chemists,,Chemici,Chimistes,Chemiker,Chimici,Kjemikere,Chemici
72 Children,,Děti,see “Kids”,see “Kids”,Bambini,Barn,Deti
73 Child educators,,Vychovatelé,Éducateurs d’enfants,see “Nursery teachers”,Educatori d’infanzia,Pedagoger,Vychovávatelia
74 Child-minders,,Opatrovatelé dětí,Gardiens d’enfants,Tagesväter,Balie,Barnevakter,Detskí opatrovatelia
75 Chiropractors,,Chiropraktici,Chiropracteurs,Chiropraktiker,Chiroterapeuti,Kiropraktorer,Chiropraktici
76 Chocolate lovers,,Milovníci čokolády,Amateurs de chocolat,Schokoladenliebhaber,Amanti del cioccolato,Sjokoladeelskere,Milovníci čokolády
77 Choreographers,,Choreografové,Chorégraphes,Choreografen,Coreografi,Koreografer,Choreografi
78 Cinema goers,,Návštevníci kina,Spectateurs de cinéma,Kinobesucher,Frequentatori di cinema,Kinogjengere,Návštevníci kina
79 Clairvoyants,,Jasnovidci,Voyants,Hellseher,Chiaroveggenti,Synske,Jasnovidci
80 Cleaners,,Uklízeči,Techniciens de surface,Reinigungskräfte,Addetti alle pulizie,Rengjøringspersonale,Upratovači
81 Clerks,,Úředníci,Employés,Angestellte,Impiegati,Ansatte,Úradníci
82 Clients,,Klienti,see “Customers”,Klienten,Clienti,Klienter,Klienti
83 Climbers,,see “Mountain,Grimpeurs,Kletterer,Arrampicatori,Klatrere,see “Mountain climbers”
,,climbers”,,,,,
84 Clinical,,Kliničtí psychologové,Psychologues cliniciens,Klinische Psychologen,Psicologi clinici,Kliniske psykologer,Klinickí psychológovia
psychologists,,,,,,,
85 Clowns,,Klauni,Clowns,Clowns,Clown,Klovner,Klauni
86 Colonels,,Plukovníci,Colonels,Obersten,Colonnelli,Oberster,Plukovníci
87 Comedians,,Komici,Comédiens,Komiker,Comici,Komikere,Komici
88 Company directors,,Ředitelé společnosti,see “General managers”,Betriebsleiter,Dirigenti d’impresa,see “Executives”,Riaditelia spoločnosti
89 Composers,,Skladatelé,Compositeurs,Komponisten,Compositori,Komponister,Skladatelia
90 Computer,,Programátoři,Programmateurs,Programmierer,Programmatori,Programmerere,Programátori
programmers,,,,,,,
91 Computer specialists,,IT odborníci,Informaticiens,Computerspezialisten,Specialisti d’informatica,Dataeksperter,IT odborníci
92 Computer technicians,,IT technici,Techniciens informatique,Computertechniker,Tecnici informatici,Datateknikere,Počítačoví technici
93 Conquerors,,Dobyvatelé,Conquérants,Eroberer,Conquistatori,Erobrere,Dobyvatelia
94 Conservationists,,Ochránci přírody,see “Curators”,Naturschützer,Ambientalisti,Miljøvernere,Ochrancovia prírody
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
95 Construction workers,,Stavební dělníci,Ouvriers du bâtiment,Bauarbeiter,Operai edili,Bygningsarbeidere,Stavební robotníci
96 Cooks,,Kuchaři,Cuisiniers,Köche,Cuochi,Kokker,Kuchári
97 Coordinators,,Koordinátoři,Coordinateurs,Koordinatoren,Coordinatori,N/A,Koordinátori
98 Counseling,,Psychologové,Psychologues conseillers,Psychotherapeuten,Consulenti psicologici,Rådgiver,Psychológovia
psychologists,,,,,,,
99 Counsellors,,Odborní poradci,Conseillers,Professionelle Berater,Consulenti professionali,Yrkesrådgivere,Odborní poradcovia
,,,professionnels,,,,
100 Couriers,,Kurýři,Coursiers,Kuriere,Corrieri,Kurerer,Kuriéri
101 Court reporters,,Soudní zapisovatelé,Sténographes,Gerichtsschreiber,Cancellieri,Rettsstenografer,Súdni stenografi
102 Craft workers,,Řemeslníci,Artisans,Handwerker,Artigiani,Håndverkere,Remeselníci
103 Crane operators,,Jeřábníci,Grutiers,Kranführer,Operatori di gru,Kranførere,Žeriavníci
104 Criminals,,Kriminálníci,Criminels,Kriminelle,Criminali,Kriminelle,Zločinci
105 Cult members,,Členové kultu,Membres d’une secte,Sektenmitglieder,Seguaci,Sektmedlemmer,Členovia kultu
106 Curators,,Kurátoři,Conservateurs,Kuratoren,Curatori,Kuratorer,Kurátori
107 Customers,,see “Shoppers”,Clients,Kunden,Consumatori,Kunder,see “Shoppers”
108 Customs inspectors,,Celní inspektoři,Inspecteurs des douanes,Zollinspektoren,Ispettori di dogana,Tollinspektører,Colní inšpektori
109 Customs officers,,Celníci,Douaniers,Zollbeamte,Doganieri,Tollere,Colníci
110 Cyclists,,Cyklisti,Cyclistes,Radfahrer,Ciclisti,Syklister,Cyklisti
111 Dance instructors,,Taneční instruktoři,Professeurs de danse,Tanzlehrer,Istruttori di ballo,Danseinstruktører,Taneční inštruktori
112 Dancers,,Tanečníci,Danseurs,Tänzer,Ballerini,Dansere,Tanečníci
113 Data processors,,Zpracovatelé údajů,Traiteurs de données,Datenverarbeiter,Elaboratori di dati,N/A,Spracovávatelia údajov
114 Database,,Administrátoři databází,Administrateurs de bases,Datenbankverwalter,Amministratori di,N/A,Databázoví
administrators,,,de données,,database,,administrátori
115 Deacons,,Jáhni,Diacres,Diakone,Diaconi,Diakoner,Diakoni
116 Dental hygienists,,Zubní hygienici,Hygiénistes dentaire,Dentalhygieniker,Igienisti dentali,Tannpleiere,Dentálni hygienici
117 Dental technicians,,Zubaři,Techniciens dentaire,Zahntechniker,Odontotecnici,Tannteknikere,Zubní technici
118 Dentists,,Zubní technici,Dentistes,Zahnärzte,Dentisti,Tannleger,Zubári
119 Deputies,,Zástupci,Députés,Stellvertreter,Deputati,Varamedlemmer,Zástupcovia
120 Designers,,Návrháři,Designers,Designer,Designers,Designere,Návrhári
121 Detectives,,Detektivové,Détectives,Detektive,Investigatori,Detektiver,Detektívi
122 Dieticians,,Dietetici,Diététiciens,Ernährungsberater,Dietologi,Kostholdseksperter,Výživoví poradcovia
123 Diplomats,,Diplomati,Diplomates,Diplomaten,Diplomatici,Diplomater,Diplomati
124 Doctors of,,see “Physicians”,see “Medical doctors”,Doktoren der Philosophie,Dottori,Filosofidoktorer,see “Physicians”
Philosophy,,,,,,,
125 Dog owners,,Majitelé psů,Propriétaires de chien,Hundehalter,Proprietari di cani,Hundeeiere,Majitelia psov
Table 2 (continued),,,,,,,
Role nouns,,Czech,French,German,Italian,Norwegian,Slovak
(in English),,,,,,,
126 Door keepers,,Vrátní,Portiers,Pförtner,Portinai,Dørvakter,Vrátnici
