"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"17","Explorers","",".35 38 (.14)","",".33 144","(.15)",".33 31 (.15)","",".33 34","(.16)",".34 398","(.15)",".25 31 (.13)",".25 31 (.15)"
"18","Factory managers","",".24 38 (.13)","",".28 139","(.13)",".17 34 (.11)","",".26 36","(.12)",".31 394","(.15)",".25 30 (.13)",".18 32 (.11)"
"19","Fans","","“Groupies”","",".56 138","(.18)",".62 36 (.15)","",".49 37","(.15)",".56 403","(.18)",".61 27 (.14)","“Groupies”"
"20","Farmers","",".24 37 (.17)","",".27 141","(.15)",".27 34 (.13)","",".36 38","(.13)",".26 393","(.14)",".29 30 (.15)",".26 30 (.14)"
"21","Fashion models","",".74 34 (.17)","",".7 137","(.15)",".68 34 (.15)","",".65 34","(.17)","“Models”","",".72 30 (.13)",".73 28 (.21)"
"22","Fencers","",".18 37 (.14)","",".36 141","(.14)",".38 32 (.13)","",".41 36","(.14)",".47 403","(.13)",".29 29 (.12)",".27 30 (.17)"
"23","Fig. skaters","",".63 35 (.16)","",".67 141","(.14)",".65 36 (.13)","",".67 35","(.15)",".68 393","(.15)",".7 31 (.15)",".64 31 (.17)"
"24","Film directors","",".25 37 (.11)","",".31 139","(.13)",".24 32 (.09)","",".32 35","(.12)",".29 407","(.14)",".32 29 (.15)",".21 30 (.1)"
"25","Film stars","",".48 34 (.08)","",".51 142","(.09)",".51 34 (.09)","",".51 37","(.08)",".53 403","(.09)",".56 31 (.14)",".51 30 (.11)"
"26","Financial advisers","",".47 37 (.16)","",".36 142","(.13)",".32 29 (.13)","",".39 37","(.16)",".35 401","(.14)",".41 30 (.18)",".31 31 (.22)"
"27","Financial analysts","",".36 40 (.13)","",".35 139","(.14)",".3 33 (.1)","",".38 34","(.1)",".34 405","(.16)",".29 29 (.13)",".3 30 (.14)"
"28","Firefighters","",".15 37 (.11)","",".21 141","(.14)",".18 34 (.09)","",".23 35","(.12)",".18 400","(.13)",".16 32 (.1)",".06 28 (.07)"
"29","Flight attendants","",".78 33 (.16)","",".71 140","(.15)",".68 33 (.21)","",".75 37","(.16)",".71 407","(.18)",".74 28 (.15)",".81 28 (.14)"
"30","Florists","",".84 38 (.12)","",".77 140","(.15)",".81 32 (.09)","",".79 32","(.09)",".67 400","(.16)",".72 30 (.14)",".84 32 (.11)"
"31","Flute players","",".65 36 (.18)","",".64 142","(.14)",".63 30 (.12)","",".58 35","(.15)",".54 404","(.15)",".65 31 (.15)",".72 31 (.18)"
"32","Football coaches","",".09 37 (.11)","",".19 137","(.14)",".18 31 (.16)","",".2 34","(.12)",".13 388","(.15)",".16 30 (.1)",".08 27 (.16)"
"33","Football players","",".14 33 (.13)","",".21 141","(.14)",".21 33 (.12)","",".3 36","(.16)",".17 402","(.14)",".22 31 (.12)",".16 31 (.13)"
"34","Forensic psychologists","",".5 35 (.21)","",".48 142","(.14)",".48 35 (.15)","",".43 33","(.11)",".54 395","(.16)",".45 30 (.14)",".39 31 (.22)"
"35","Forest rangers","",".11 38 (.09)","",".25 140","(.13)",".2 33 (.17)","",".25 34","(.16)",".27 395","(.16)",".22 31 (.14)",".11 29 (.12)"
"36","Fortune tellers","",".83 35 (.15)","",".75 140","(.15)",".76 34 (.2)","",".74 35","(.15)",".65 407","(.21)","“Tarot card",".81 31 (.19)"
"37","","","","","","","","","","","","","readers”",""
"38","Funeral directors","",".29 38 (.21)","",".32 143","(.16)",".22 35 (.16)","",".28 34","(.14)",".21 398","(.16)","“Undertakers”",".24 27 (.17)"
"39","Game wardens","",".13 37 (.13)","",".33 141","(.13)",".15 33 (.13)","",".3 35","(.17)",".19 406","(.16)",".19 30 (.13)",".09 31 (.12)"
"40","Gardeners","","“Groundkeepers”","",".43 142","(.18)",".36 33 (.16)","",".39 35","(.15)",".28 409","(.15)",".51 30 (.18)","“Groundkeepers”"
"41","Generals","",".06 37 (.08)","",".25 141","(.16)",".14 34 (.15)","",".15 30","(.15)",".17 388","(.16)",".15 30 (.09)",".08 30 (.11)"
"42","General managers","",".3 38 (.16)","",".42 141","(.12)",".26 31 (.14)","",".32 35","(.12)",".31 384","(.15)",".39 32 (.16)",".24 29 (.16)"
"43","Geologists","",".33 36 (.17)","",".42 141","(.14)",".35 32 (.12)","",".38 32","(.11)",".39 400","(.15)",".37 29 (.16)",".27 32 (.16)"
"44","Goalkeepers","",".15 39 (.14)","",".2 143","(.16)",".19 31 (.18)","",".26 34","(.13)",".16 399","(.15)",".32 29 (.16)",".15 29 (.13)"
"45","Goldsmiths","",".45 38 (.22)","",".33 144","(.17)",".38 35 (.17)","",".39 38","(.2)",".37 393","(.17)",".48 29 (.2)",".41 30 (.22)"
"46","Golfers","",".25 38 (.13)","",".27 142","(.16)",".24 31 (.13)","",".31 36","(.18)",".25 412","(.15)",".41 30 (.16)",".25 31 (.14)"
"47","Government officials","",".58 36 (.21)","",".34 139","(.14)",".41 32 (.13)","",".36 36","(.11)",".31 393","(.16)",".34 31 (.16)",".56 31 (.22)"
"48","Governors","",".2 38 (.16)","",".33 141","(.15)",".21 30 (.15)","",".23 36","(.1)",".24 397","(.16)",".23 31 (.12)",".14 31 (.11)"
"49","Graphic designers","",".4 34 (.12)","",".42 137","(.15)",".43 32 (.17)","",".49 36","(.16)",".47 396","(.14)",".55 30 (.16)",".39 31 (.2)"
"50","Groundkeepers","",".59 35 (.18)","",".27 139","(.14)","N/A","",".2 33","(.12)",".26 393","(.17)","N/A",".49 31 (.2)"
