"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"19","Homeless persons","",".27 38 (.15)","",".33 138","(.14)",".35 37 (.15)","",".36 35","(.15)",".32 398 (.16)","",".35 31 (.16)",".31 33 (.13)"
"20","Horse riders","",".49 34 (.17)","",".64 140","(.16)",".55 34 (.22)","",".65 34","(.12)",".52 385 (.16)","",".64 30 (.16)",".53 31 (.15)"
"21","Horse trainers","",".43 35 (.21)","",".61 139","(.18)",".62 31 (.18)","",".63 32","(.14)",".48 407 (.17)","",".72 31 (.14)",".52 28 (.18)"
"22","Hospital orderlies","",".54 33 (.16)","",".52 139","(.17)",".74 35 (.13)","","N/A","",".64 395 (.17)","",".34 32 (.15)",".63 32 (.16)"
"23","Hotel guests","",".46 33 (.11)","",".49 141","(.08)",".46 34 (.11)","",".46 36","(.11)",".48 398 (.1)","",".46 29 (.07)",".42 30 (.15)"
"24","Hotel managers","",".38 35 (.17)","",".42 141","(.15)",".29 32 (.13)","",".35 36","(.16)",".35 397 (.14)","",".28 31 (.15)",".3 32 (.17)"
"25","Housekeepers","",".64 36 (.3)","",".74 138","(.15)",".67 32 (.26)","",".78 37","(.16)",".79 413 (.18)","",".79 33 (.14)",".62 31 (.25)"
"26","Humanitarians","",".61 34 (.15)","",".53 139","(.13)",".57 32 (.15)","",".55 35","(.1)",".51 395 (.15)","",".6 30 (.14)",".64 32 (.18)"
"27","Humanities professors","",".57 41 (.21)","",".46 142","(.16)",".46 34 (.16)","",".5 36","(.18)",".65 389 (.17)","",".5 28 (.17)",".6 30 (.21)"
"28","Hunters","",".15 37 (.15)","",".2 140","(.13)",".15 32 (.11)","",".23 37","(.14)",".14 396 (.13)","",".22 30 (.12)",".13 28 (.13)"
"29","Ice skaters","",".51 36 (.13)","",".62 138","(.12)",".64 31 (.15)","",".62 33","(.14)",".64 402 (.14)","",".39 29 (.17)",".59 31 (.14)"
"30","Infant teachers","","“Nursery","",".76 139","(.15)",".74 34 (.14)","",".79 35","(.13)","“Nursery","","N/A",".89 29 (.15)"
"31","","","teachers”","","","","","","","","teachers”","","",""
"32","Informants","",".35 36 (.17)","",".42 139","(.14)",".4 31 (.16)","",".39 34","(.13)",".46 394 (.16)","",".42 32 (.13)",".58 29 (.11)"
"33","Inmates","",".39 33 (.18)","",".31 142","(.16)",".29 30 (.13)","",".29 35","(.14)",".31 396 (.14)","",".2 30 (.1)",".55 29 (.15)"
"34","Innkeepers","",".36 37 (.18)","",".41 142","(.17)",".43 32 (.15)","",".47 32","(.16)",".41 403 (.14)","",".5 32 (.16)",".38 32 (.23)"
"35","Interior decorators","",".42 34 (.16)","",".62 138","(.17)",".69 32 (.14)","",".6 35","(.17)",".64 395 (.18)","",".69 34 (.13)",".48 28 (.19)"
"36","Interpreters","",".63 40 (.15)","",".55 138","(.16)",".55 35 (.15)","",".6 34","(.14)",".63 402 (.15)","",".62 29 (.15)",".65 31 (.18)"
"37","Inventors","",".23 37 (.15)","",".31 143","(.13)",".32 32 (.14)","",".36 37","(.14)",".33 396 (.16)","",".33 31 (.13)",".25 31 (.16)"
"38","IT consultants","",".17 36 (.11)","",".29 140","(.14)",".23 30 (.11)","",".24 35","(.09)",".27 399 (.14)","",".25 30 (.1)",".15 29 (.1)"
"39","Jailors","",".25 35 (.15)","",".33 140","(.15)",".29 33 (.16)","",".22 33","(.12)",".25 403 (.17)","",".24 27 (.14)",".19 31 (.16)"
"40","Janitors","",".18 36 (.14)","",".27 140","(.15)",".4 33 (.19)","",".23 33","(.13)",".65 403 (.16)","",".16 29 (.11)",".17 32 (.15)"
"41","Jewelers","",".48 37 (.24)","",".49 139","(.16)",".51 34 (.17)","",".44 34","(.16)",".43 402 (.15)","",".5 31 (.17)",".44 30 (.18)"
"42","Job kers","",".53 35 (.13)","",".43 139","(.12)",".43 33 (.12)","",".45 34","(.11)",".57 406 (.17)","",".49 30 (.1)",".5 30 (.13)"
"43","Joggers","","“Runners”","",".53 145","(.11)",".5 33 (.12)","",".48 35","(.14)",".42 396 (.12)","",".53 29 (.08)","“Runners”"
"44","Journalists","",".52 37 (.14)","",".53 137","(.14)","“Reporters”","",".52 35","(.12)",".48 392 (.11)","",".53 32 (.1)",".47 30 (.14)"
"45","Judges","",".4 35 (.13)","",".34 141","(.16)",".34 31 (.13)","",".37 35","(.12)",".37 405 (.15)","",".34 31 (.15)",".34 29 (.16)"
"46","Jugglers","",".27 37 (.15)","",".36 141","(.14)",".37 33 (.11)","",".37 35","(.13)",".34 394 (.15)","",".34 30 (.14)",".26 31 (.2)"
"47","Jurors","",".45 34 (.11)","",".47 142","(.12)",".44 31 (.13)","",".44 34","(.11)",".42 399 (.13)","",".53 31 (.09)",".47 29 (.09)"
"48","Karaoke singers","",".59 34 (.17)","",".6 143","(.15)",".57 31 (.18)","",".55 34","(.15)",".56 399 (.14)","",".56 29 (.13)",".61 32 (.17)"
"49","Kids","",".56 36 (.1)","",".5 140","(.09)",".51 31 (.08)","",".53 32","(.06)",".53 393 (.11)","",".49 32 (.04)","N/A"
"50","Killers","","“Murderers”","",".27 139","(.14)",".28 33 (.15)","",".22 35","(.12)",".19 395 (.16)","",".16 30 (.1)","“Murderers”"
"51","Kindergarten teachers","","“Nursery","",".79 137","(.12)",".8 36 (.13)","",".82 35","(.13)",".86 399 (.14)","",".79 28 (.11)","“Nursery"
