"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","","Czech","","English","","French","","German","","Italian","","Norwegian","Slovak"
"2","","M N (SD)","","M N","(SD)","M N (SD)","","M N (SD)","","M N","(SD)","M N (SD)","M N (SD)"
"3","Accountants","“Bookkeepers”","",".37 140","(.14)",".39 32 (.17)","","“Bookkeeper”","",".47 405","(.16)",".42 30 (.19)","“Bookkeepers”"
"4","Acrobats",".5 38 (.2)","",".57 144","(.16)",".55 31 (.12)","",".53 38 (.13)","",".5 393","(.14)",".53 31 (.13)",".55 28 (.21)"
"5","Acupuncturists",".51 34 (.23)","",".59 139","(.17)",".49 30 (.17)","",".6 36 (.15)","",".52 403","(.18)",".61 29 (.14)",".55 28 (.18)"
"6","Administrative workers","“Office workers”","",".59 142","(.16)",".57 32 (.11)","",".59 33 (.15)","",".54 413","(.17)","“Secretaries”","“Office workers”"
"7","Admirals",".08 35 (.12)","",".25 142","(.19)",".16 33 (.15)","",".16 34 (.13)","",".17 399","(.14)",".17 29 (.12)",".09 28 (.12)"
"8","Aerobics instructors",".85 37 (.12)","",".7 140","(.16)",".74 28 (.15)","",".72 34 (.15)","",".73 401","(.18)",".81 30 (.11)",".84 29 (.15)"
"9","Air traffic controllers",".29 37 (.21)","",".32 141","(.17)",".32 33 (.14)","",".29 37 (.15)","",".45 401","(.22)",".26 30 (.17)",".28 28 (.18)"
"10","Alcoholics",".4 34 (.15)","",".41 138","(.14)",".36 32 (.13)","",".39 33 (.13)","",".35 396","(.16)",".35 28 (.11)",".32 31 (.13)"
"11","Anglers",".12 36 (.12)","",".28 140","(.16)",".18 31 (.11)","",".23 35 (.11)","",".17 391","(.14)",".19 32 (.11)",".11 29 (.08)"
"12","Animators",".62 41 (.16)","",".39 139","(.13)","N/A","",".52 37 (.1)","",".54 393","(.13)",".35 31 (.13)",".74 31 (.14)"
"13","Antique dealers",".33 36 (.14)","",".38 141","(.16)",".39 35 (.17)","",".37 33 (.12)","",".4 409","(.15)",".42 32 (.17)",".47 30 (.16)"
"14","Apprentices",".42 33 (.16)","",".4 138","(.12)",".45 34 (.08)","",".45 35 (.09)","",".49 397","(.12)",".47 33 (.09)",".39 29 (.17)"
"15","Architects",".32 38 (.15)","",".36 142","(.14)",".38 31 (.13)","",".42 33 (.15)","",".43 396","(.14)",".42 30 (.13)",".37 30 (.15)"
"16","Archivists",".53 38 (.23)","",".44 141","(.16)",".46 33 (.17)","",".54 35 (.16)","",".53 402","(.16)",".57 29 (.19)",".61 32 (.22)"
"17","Artists",".49 36 (.11)","",".51 141","(.11)",".52 32 (.12)","",".5 32 (.11)","",".49 400","(.1)",".53 29 (.11)",".45 30 (.16)"
"18","Assistants",".71 36 (.18)","",".65 137","(.13)",".58 34 (.14)","",".65 35 (.12)","",".62 398","(.17)",".63 32 (.13)",".69 30 (.22)"
"19","Assistant chefs",".48 34 (.19)","",".44 141","(.14)",".31 33 (.14)","",".49 35 (.14)","",".49 403","(.17)",".58 30 (.21)",".41 30 (.21)"
"20","Astrologists",".41 37 (.27)","",".37 142","(.17)",".52 28 (.22)","",".44 35 (.22)","",".45 398","(.19)",".5 31 (.24)",".3 29 (.26)"
"21","Astronauts",".17 34 (.13)","",".23 138","(.15)",".18 32 (.14)","",".24 34 (.14)","",".21 388","(.14)",".2 33 (.12)",".14 30 (.13)"
"22","Astronomers",".23 39 (.17)","",".32 141","(.15)",".28 31 (.16)","",".38 32 (.17)","",".36 394","(.16)",".28 32 (.16)",".16 31 (.12)"
"23","Athletes",".44 36 (.14)","",".44 143","(.11)",".41 31 (.09)","",".47 35 (.11)","",".47 408","(.09)",".42 31 (.11)",".45 30 (.1)"
"24","Au pairs",".86 38 (.18)","",".77 142","(.17)",".88 33 (.09)","",".8 36 (.15)","",".66 398","(.19)",".86 31 (.12)",".88 30 (.2)"
"25","Auctioneers",".36 33 (.17)","",".31 141","(.14)",".33 33 (.17)","",".34 35 (.16)","",".32 410","(.17)",".31 30 (.18)",".32 31 (.2)"
"26","Authors",".48 37 (.15)","",".51 142","(.11)",".5 34 (.11)","",".48 38 (.11)","",".48 404","(.12)",".51 29 (.09)",".47 33 (.13)"
"27","Babies",".51 37 (.11)","",".52 141","(.08)",".51 32 (.06)","",".53 36 (.07)","",".54 405","(.11)",".51 32 (.1)",".56 30 (.11)"
"28","Babysitters","“Child-minders”","",".78 142","(.12)",".9 31 (.09)","",".83 33 (.09)","",".86 395","(.14)","“Child-",".88 29 (.17)"
"29","","","","","","","","","","","","minders”",""
"30","Bakers",".54 39 (.2)","",".49 139","(.17)",".41 34 (.17)","",".41 36 (.19)","",".39 404","(.18)",".48 31 (.14)",".45 30 (.19)"
"31","Ballet dancers",".77 40 (.17)","",".71 140","(.16)",".76 36 (.17)","",".75 34 (.15)","","“Dancers”","",".77 31 (.15)",".82 30 (.11)"
"32","Bank clerks","“Bankers”","",".43 136","(.15)",".49 32 (.1)","",".49 38 (.13)","",".48 398","(.13)",".52 30 (.21)",".56 31 (.21)"
