"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"17","Card players","",".24 34 (.15)","",".34 140","(.14)",".44 33 (.16)","",".33 32 (.14)","",".33 398 (.17)","",".36 29 (.12)",".19 32 (.15)"
"18","Care workers","",".71 35 (.2)","",".72 140","(.13)",".67 31 (.12)","",".64 37 (.15)","",".64 404 (.17)","",".71 31 (.15)",".88 29 (.08)"
"19","Caregivers","","“Health visitors”","",".71 142","(.14)",".64 31 (.16)","",".67 36 (.16)","",".88 389 (.14)","",".77 31 (.09)",".81 29 (.16)"
"20","Caretakers","",".44 38 (.22)","",".31 140","(.2)","“Janitors”","",".47 37 (.14)","",".28 405 (.16)","","“Supervisors”",".5 31 (.21)"
"21","Carpenters","",".1 34 (.16)","",".25 138","(.15)",".18 28 (.14)","",".22 37 (.13)","","“Wood","",".15 30 (.09)",".08 31 (.07)"
"22","","","","","","","","","","","workers”","","",""
"23","Cartoonists","",".31 37 (.18)","",".36 141","(.12)",".29 32 (.15)","",".32 33 (.15)","",".39 402 (.15)","",".35 29 (.13)",".3 30 (.18)"
"24","Cashiers","",".69 35 (.18)","",".59 141","(.14)",".75 32 (.13)","",".74 37 (.12)","",".71 405 (.16)","",".58 32 (.16)",".76 30 (.15)"
"25","Cat owners","",".77 34 (.15)","",".68 141","(.15)",".66 32 (.15)","",".66 32 (.13)","",".68 402 (.16)","",".69 30 (.14)",".8 32 (.15)"
"26","Caterers","",".41 34 (.21)","",".58 142","(.16)",".4 35 (.14)","",".5 37 (.1)","",".43 390 (.14)","",".69 30 (.15)",".22 32 (.2)"
"27","Celebrities","",".55 38 (.09)","",".54 140","(.1)",".52 32 (.07)","",".52 35 (.07)","",".53 407 (.11)","",".52 29 (.08)",".49 29 (.12)"
"28","Chair persons","",".28 33 (.13)","",".37 139","(.14)",".22 35 (.14)","",".31 37 (.12)","",".23 396 (.17)","",".3 28 (.14)",".34 29 (.2)"
"29","Chamber-maids","",".88 36 (.19)","",".82 139","(.14)",".82 31 (.17)","",".79 33 (.12)","",".57 404 (.19)","",".86 27 (.12)",".91 30 (.1)"
"30","Cheerleaders","",".69 35 (.23)","",".83 141","(.14)",".95 32 (.06)","",".82 36 (.18)","",".91 405 (.14)","",".89 30 (.1)",".96 31 (.07)"
"31","Chefs","",".29 38 (.2)","",".37 140","(.14)",".3 29 (.12)","",".31 35 (.14)","",".39 409 (.18)","",".38 27 (.19)",".23 30 (.18)"
"32","Chemists","",".39 37 (.18)","",".46 143","(.19)",".3 32 (.18)","",".37 38 (.16)","",".42 399 (.15)","",".45 32 (.18)",".37 29 (.19)"
"33","Children","",".54 36 (.11)","",".51 141","(.09)","“Kids”","","“Kids”","",".53 395 (.1)","",".5 29 (.03)",".54 32 (.09)"
"34","Child educators","",".83 38 (.13)","",".67 142","(.15)",".68 32 (.18)","","“Nursery","",".8 400 (.15)","",".69 31 (.12)",".86 29 (.13)"
"35","","","","","","","","","teachers”","","","","",""
"36","Child-minders","",".85 36 (.15)","",".78 141","(.14)",".8 34 (.12)","",".87 32 (.1)","",".87 407 (.16)","",".78 29 (.13)",".89 30 (.14)"
"37","Chiropractors","",".39 37 (.16)","",".46 143","(.17)",".44 32 (.15)","",".45 32 (.13)","",".49 408 (.17)","",".46 29 (.14)",".36 31 (.13)"
"38","Chocolate lovers","",".69 31 (.22)","",".7 141","(.14)",".63 32 (.16)","",".67 36 (.16)","",".62 403 (.16)","",".72 28 (.17)",".69 31 (.19)"
"39","Choreographers","",".59 38 (.19)","",".59 141","(.16)",".59 34 (.15)","",".53 32 (.15)","",".54 398 (.17)","",".61 29 (.14)",".46 30 (.23)"
"40","Cinema goers","",".49 33 (.18)","",".53 141","(.09)",".53 31 (.06)","",".51 38 (.11)","",".54 392 (.11)","",".51 28 (.05)",".55 28 (.08)"
"41","Clairvoyants","",".73 37 (.27)","",".64 140","(.17)",".78 32 (.16)","",".74 35 (.13)","",".72 409 (.18)","",".76 29 (.12)",".8 30 (.14)"
"42","Cleaners","",".85 37 (.13)","",".71 138","(.14)",".43 31 (.26)","",".75 36 (.13)","",".77 395 (.16)","",".74 29 (.2)",".87 30 (.1)"
"43","Clerks","",".69 38 (.19)","",".42 141","(.14)",".51 33 (.06)","",".54 36 (.08)","",".58 407 (.14)","",".48 31 (.07)",".68 30 (.17)"
"44","Clients","",".52 37 (.07)","",".51 139","(.11)","“Customers”","",".51 33 (.07)","",".55 410 (.13)","",".51 30 (.07)",".5 31 (.14)"
"45","Climbers","","“Mountain","",".34 140","(.15)",".37 31 (.13)","",".35 36 (.13)","",".37 394 (.16)","",".36 29 (.13)","“Mountain"
"46","","","climbers”","","","","","","","","","","","climbers”"
"47","Clinical psychologists","",".56 37 (.18)","",".58 141","(.16)",".58 34 (.12)","",".54 34 (.14)","",".57 411 (.17)","",".62 27 (.18)",".69 29 (.19)"
"48","Clowns","",".17 38 (.13)","",".22 143","(.15)",".18 37 (.12)","",".31 35 (.12)","",".31 394 (.16)","",".24 28 (.13)",".19 30 (.16)"
"49","Colonels","",".14 36 (.12)","",".23 139","(.16)",".1 33 (.08)","",".3 39 (.16)","",".18 405 (.14)","",".16 28 (.1)",".18 27 (.12)"
"50","Comedians","",".23 35 (.15)","",".3 140","(.13)",".5 32 (.09)","",".38 34 (.13)","",".38 400 (.13)","",".36 29 (.09)",".3 30 (.19)"
"51","Company directors","",".27 35 (.14)","",".33 139","(.16)","","",".32 35 (.12)","",".29 395 (.15)","","“Executives”",".27 30 (.11)"
