Appendix C												
"Mean rating and standard deviation of each role name split by language and by sex of participant, Study 1"												
												
	English				French				German			
	Males		Females (N=51)		Males		Females		Males		Females (N=35)	
	(N=7)				(N=31)		(N=29)		(N=41)			
	M	(SD)	M	(SD)	M	(SD)	M	(SD)	M	(SD)	M	(SD)
Actors	48.57	-3.78	49.8	-12.41	49.35	-7.27	45.17	-10.56	47.32	-7.75	50.57	-4.82
Adolescents	50	0	51.37	-7.22	49.35	-3.59	46.9	-8.5	48.54	-4.22	48.57	-10.61
Apprentices	61.43	-9	62.75	-14.29	53.71	-10.95	53.1	-8.06	50.73	-4.12	51.43	-4.3
Archivists	51.43	-26.1	52.86	-13.23	53.71	-11.25	47.24	-15.56	58.54	-17.11	58	-17.95
Artists	52.86	-12.54	50.78	-12.78	54.52	-10.28	51.03	-9.76	50.98	-12.21	48.86	-8.67
Assistant chefs	58.57	-18.65	57	-14.88	53.23	-15.36	44.83	-23.24	50.98	-14.46	55.14	-18.05
Astrologers	47.14	-30.94	62.55	-16.83	39.03	-22.71	35.52	-27.46	44.15	-21.45	43.71	-24.86
Athletes	52.86	-4.88	56.08	-8.74	52.58	-13.16	51.03	-19.7	52.93	-6.02	53.14	-5.3
Aupairs	28.57	-23.4	22.78	-20.48	19.03	-23.29	16.21	-18.01	18.05	-11.88	16	-17.86
Authors	52.86	-9.51	47.84	-9.86	54.03	-8.8	53.45	-8.14	52.93	-9.29	51.14	-8.32
Auxiliary workers	61.43	-20.35	52.65	-16.93	42.9	-11.31	38.62	-20.48	51.46	-15.09	50	-18.63
Bakers	75.71	-25.07	64.31	-17.35	69.03	-16.2	68.28	-16.27	60.24	-14.75	60	-14.55
Bank clerks	50	-10	50	-13.12	55.65	-12.83	52.41	-15.73	55.12	-12.67	54.29	-14.81
Bankers	61.43	-9	58.63	-12.33	68.23	-14.86	69.66	-13.22	65.85	-13.41	65.14	-11.97
Bartenders	44.29	-22.99	51.8	-16.37	58.06	-15.58	56.9	-21.06	53.41	-15.91	58.29	-15.24
Beauticians	28.57	-24.79	28.67	-25.51	21.94	-22.72	14.29	-16.2	12.2	-8.22	10.57	-7.65
Birth attendants	21.43	-15.74	22.98	-13.86	26.13	-20.28	15.52	-13.25	17.56	-19.72	19.71	-19.33
Bosses	55.71	-7.87	62.55	-14.54	71.77	-14.17	67.59	-18.06	69.51	-12.44	72	-11.83
Boxers	52.86	-35.92	73.53	-23.31	79.03	-14.69	76.55	-19.69	82.93	-10.06	80.86	-10.4
Bricklayers	91.43	-14.64	86.86	-11.22	87.1	-12.96	90.34	-12.39	82.93	-9.81	88	-9.01
Butchers	64.29	-21.49	65.1	-27.38	69.68	-20.89	67.24	-26.98	80.24	-10.37	83.43	-13.05
Campers	42.86	-11.13	50	-13.57	49.03	-16.85	48.62	-20.83	57.8	-9.62	57.43	-10.1
Caretakers	78.57	-9	76.08	-15.11	73.55	-13.8	78.28	-14.9	72.93	-13.65	75.71	-13.13
Carpenters	78.57	-24.1	73.92	-19.71	77.33	-21.32	80	-20.18	75.75	-16.78	77.14	-21.64
Cashiers	48.57	-26.73	37.2	-11.96	22.74	-14.48	25.86	-14.76	29.51	-17.6	24	-12.88
Chemists	68.57	-13.45	59.61	-17.55	62.26	-15.43	70	-12.82	72.2	-14.58	72.57	-12.45
Chocolate lovers	34.29	-15.12	30.8	-15.96	39.84	-15.19	37.14	-14.11	40.25	-14.05	35.43	-15.78
Cinema goers	58.57	-18.65	50.39	-7.47	49.52	-3.73	49.66	-5.66	49.02	-6.64	49.43	-5.91
Cleaners	28.57	-15.74	25.29	-14.05	22.74	-17.97	21.72	-18.72	24.88	-14.16	22.86	-14.47
Climbers	62.86	-25.64	64.51	-13.9	64.52	-15.02	70.34	-15.47	60.73	-11.91	62.86	-12.96
Comedians	57.14	-22.89	56.27	-18.33	44.52	-13.87	44.48	-17.03	65.37	-11.64	65.14	-11.47
Composers	62.86	-18	62.94	-18.58	66.77	-17.01	68.97	-17.19	70.24	-12.94	64.29	-12.9
Computer specialists	61.43	-26.1	71.37	-17.89	67.42	-21.9	65.86	-22.6	78.29	-11.81	78.86	-11.05
Concert goers	52.86	-4.88	46.47	-8.68	50.48	-9.34	50.69	-10.67	48.29	-6.29	45.71	-8.15
Cooks	42.86	-18.9	46.67	-19.25	52.5	-22.7	45.86	-28.6	59.51	-13.22	57.43	-14.62
Craftsmen	72.86	-17.04	58.65	-18.17	60.65	-14.82	60	-16.04	74.39	-11.41	77.43	-10.94
Curators	57.14	-18	56.27	-18.86	64.19	-13.85	55.52	-17.24	62.93	-12.3	57.14	-11.27
Customs officers	57.14	-11.13	63.8	-13.83	76.29	-14.72	82.07	-12.36	75.12	-10.03	77.43	-13.14
Cyclists	58.57	-6.9	55.1	-10.84	71.67	-15.33	71.03	-16.11	52.93	-10.31	51.14	-10.51
Dancers	30	-11.55	32.75	-12.18	28.39	-12.41	29.66	-16.36	31.95	-12.69	33.14	-12.31
Deans	71.43	-20.35	67.84	-14.19	69.19	-21.53	71.21	-16.78	77.25	-16.01	74.29	-17.54
Dentists	70	-20	64.51	-11.54	69.35	-13.65	70.34	-14.51	67.32	-10.73	64.57	-14.01
Dieticians	41.43	-18.65	39.02	-20.62	36.61	-22.34	36.9	-22.22	31.95	-14.18	20.29	-13.17
Doctors	55.71	-20.7	59.02	-17.69	54.68	-22.91	59.66	-17.42	64.88	-10.28	63.14	-14.1
Dressmakers	35.71	-31.55	43.55	-33.26	40.32	-27.99	39.31	-35.85	21.95	-10.3	24	-15.38
Drivers	62.86	-16.04	62.35	-15.18	59.68	-14.72	62.07	-16.77	56.59	-8.25	53.71	-6.46
Electricians	82.86	-17.04	75.49	-14.88	77.74	-12.57	81.03	-14.48	78.54	-10.38	83.71	-10.31
Engineers	80	-10	78.24	-11.95	73.23	-15.58	74.14	-11.19	76.83	-9.86	79.71	-11.5
Factory managers	70	-26.46	64.33	-22.87	74.84	-26.69	77.93	-23.2	81.46	-11.08	82.57	-10.39
Farmers	75.71	-19.02	77.6	-10.98	66.45	-14.27	70	-13.89	63.66	-14.1	61.71	-15.81
Fishers	82.86	-17.04	79.02	-11	79.84	-14.05	80.34	-12.67	77.32	-12.05	80	-11.38
Flight attendants	25.71	-9.76	27.84	-15.14	28.39	-17.91	23.79	-14.98	24.39	-8.96	25.71	-18.68
Football coaches	78.57	-22.68	80	-15.78	83.23	-19.04	88.62	-17.87	88.29	-10.22	87.14	-10.73
Fortune tellers	28.57	-26.1	32.57	-28.19	27.74	-26.67	28.97	-28.33	27.32	-18.85	20.29	-12.24
Gardeners	44.29	-11.34	57.45	-17.19	61.45	-12.86	63.79	-15.68	61.71	-12.43	62.86	-14.47
Golfers	75.71	-15.12	72.94	-13.75	74.03	-15.73	71.03	-15.89	69.02	-13.19	66.29	-12.62
Governors	70	-12.91	68.6	-15.65	78.5	-11.83	81.79	-14.42	81.71	-12.43	77.65	-12.57
Gynaeco-logists	62.86	-22.15	51.59	-21.72	57.74	-17.27	58.97	-18.96	50.73	-18.49	55.43	-15.6
Hairdressers	62.86	-20.59	46.47	-20.28	41.29	-23.2	34.83	-27.6	22.44	-11.35	19.71	-10.71
