Appendix B						
"Mean rating and standard deviation of each role name split by language, Study 1"						
						
	English		French		German	
	M	(SD)	M	(SD)	M	(SD)
Actors	49.66	-11.69	47.33	-9.18	48.82	-6.73
Adolescents	51.21	-6.77	48.17	-6.51	48.55	-7.78
Apprentices	62.59	-13.71	53.42	-9.59	51.05	-4.19
Archivists	52.68	-15.07	50.58	-13.78	58.29	-17.39
Artists	51.03	-12.66	52.83	-10.1	50	-10.71
Assistant chefs	57.19	-15.21	49.17	-19.85	52.89	-16.23
Astrologers	60.69	-19.36	37.33	-24.97	43.95	-22.92
Athletes	55.69	-8.4	51.83	-16.52	53.03	-5.66
Aupairs	23.48	-20.71	17.67	-20.78	17.11	-14.86
Authors	48.45	-9.88	53.75	-8.42	52.11	-8.84
Auxiliary workers	53.75	-17.43	40.83	-16.39	50.79	-16.71
Bakers	65.69	-18.55	68.67	-16.1	60.13	-15.56
Bank clerks	50	-12.7	54.08	-14.28	54.74	-13.61
Bankers	58.97	-11.95	68.92	-13.99	565.53	-12.69
Bartenders	50.88	-17.25	57.5	-18.28	55.66	-15.69
Beauticians	28.66	-25.21	18.31	-20.1	11.45	-7.95
Birth attendants	22.79	-13.96	21	-17.92	18.55	-19.44
Bosses	61.72	-14.03	69.75	-16.17	70.66	-12.15
Boxers	71.03	-25.66	77.83	-17.18	81.97	-10.2
Bricklayers	87.41	-11.63	88.67	-12.68	85.26	-9.73
Butchers	65	-26.57	68.5	-23.85	81.71	-11.71
Campers	49.14	-13.41	48.63	-18.72	57.63	-9.78
Caretakers	76.38	-14.47	75.83	-14.41	74.21	-13.39
Carpenters	74.48	-20.1	78.64	-20.63	76.4	-19.08
Cashiers	38.6	-14.69	24.25	-14.58	26.97	-15.75
Chemists	60.69	-17.26	66	-14.64	72.37	-13.55
Chocolate lovers	31.22	-15.77	38.56	-14.62	38	-14.98
Cinema goers	51.38	-9.63	49.58	-4.72	49.21	-6.27
Cleaners	25.69	-14.16	22.25	-18.19	23.95	-14.24
Climbers	64.31	-15.46	67.33	-15.39	61.71	-12.37
Comedians	56.38	-18.7	44.5	-15.34	65.26	(11.49
