language_code,test,bias_type,sYXab
ar,genius_gender,genius_gender,0.7838786001314433
da,genius_gender,genius_gender,0.5829623065210365
de,genius_gender,genius_gender,1.0802395627403552
en,genius_gender,genius_gender,0.72606544053198
es,genius_gender,genius_gender,0.9727740004727256
fa,genius_gender,genius_gender,0.4916692305899908
fi,genius_gender,genius_gender,0.6203866768343752
fr,genius_gender,genius_gender,-0.781605921213065
he,genius_gender,genius_gender,-1.0852084054171045
id,genius_gender,genius_gender,0.411165804769515
it,genius_gender,genius_gender,-0.45694747149150106
ja,genius_gender,genius_gender,0.06798232801417908
ko,genius_gender,genius_gender,0.39687970455912847
nl,genius_gender,genius_gender,1.2762667638278713
no,genius_gender,genius_gender,1.5281447391925056
pl,genius_gender,genius_gender,-0.005256320564789822
pt,genius_gender,genius_gender,1.1007984496857948
ro,genius_gender,genius_gender,0.15126433707193473
ru,genius_gender,genius_gender,-0.35182411599204017
sk,genius_gender,genius_gender,0.5728184949875829
ta,genius_gender,genius_gender,NaN
tr,genius_gender,genius_gender,0.44396129594260836
ur,genius_gender,genius_gender,0.710586384094981
zh,genius_gender,genius_gender,-0.02281082355987597
