model,occupation,female_score,male_score,gender_diff_score
feminized,athlete,0.25352095407146585,0.23438507418593496,0.019135879885530893
feminized,author,0.4403339651625903,0.42750097314195734,0.012832992020632983
feminized,baker,0.32204002739437493,0.3905015712568076,-0.0684615438624327
feminized,cleaner,0.3912519817251006,0.3352708894864635,0.05598109223863712
feminized,dancer,0.4261761516945705,0.3001233231785583,0.12605282851601224
feminized,doctor/physician,0.43895551098421776,0.37258689023172864,0.06636862075248912
feminized,firefighter,0.3077768982459411,0.33756744936187183,-0.029790551115930708
feminized,governor,0.39725120533042957,0.3547600053787899,0.04249119995163969
feminized,hunter,0.38514280091860026,0.42369849171930973,-0.038555690800709475
feminized,journalist,0.369946824841501,0.3691996143295798,7.472105119211703e-4
feminized,judge,0.3416161908668115,0.3452799376651859,-0.00366374679837439
feminized,lawyer,0.43333365746637165,0.394960205119229,0.03837345234714262
feminized,mechanic,0.22446846155453865,0.3054988948281778,-0.08103043327363918
feminized,nurse,0.4123854299285642,NaN,NaN
feminized,postman/postwoman,0.3657608483462938,0.46030832745383476,-0.09454747910754097
feminized,professor,0.4270063348728732,0.36947441586575164,0.05753191900712157
feminized,sailor,0.34803645922917337,0.3971082572831745,-0.04907179805400114
feminized,secretary,0.4145080915345705,0.35616497723624607,0.05834311429832445
feminized,singer,0.41709745508749774,0.35125646228972546,0.06584099279777228
feminized,waiter,0.4905861270316596,0.3934667122409637,0.09711941479069591
feminized2,athlete,0.2448468090036579,0.22002991443264358,0.024816894571014325
feminized2,author,0.3960419640509085,0.35675599654001455,0.03928596751089397
feminized2,baker,0.26164189084966866,0.3316181023935913,-0.06997621154392264
feminized2,cleaner,0.36684902485581655,0.3107244260992688,0.05612459875654774
feminized2,dancer,0.3984158507242281,0.2954905529805101,0.102925297743718
feminized2,doctor/physician,0.38197555937606,0.31080302421169725,0.07117253516436273
feminized2,firefighter,0.2800108095099546,0.29992137636631727,-0.019910566856362666
feminized2,governor,0.37481316867011577,0.32512748470406977,0.049685683966046
feminized2,hunter,0.34651725577321846,0.3822446382278787,-0.03572738245466023
feminized2,journalist,0.2939270334456879,0.3006101187636061,-0.006683085317918225
feminized2,judge,0.30385094398513335,0.29130642903176024,0.01254451495337311
feminized2,lawyer,0.40827975709553416,0.35111756067691413,0.057162196418620026
feminized2,mechanic,0.1589913271531311,0.26232886254208776,-0.10333753538895665
feminized2,nurse,0.3667383409993351,NaN,NaN
feminized2,postman/postwoman,0.2710804991986219,0.36545111509782885,-0.09437061589920692
feminized2,professor,0.3936980501738872,0.3236428505032625,0.07005519967062468
feminized2,sailor,0.30217390915644426,0.3268608033553573,-0.024686894198913012
feminized2,secretary,0.3448967012218437,0.2875319320762433,0.0573647691456004
feminized2,singer,0.3627307805431152,0.30224091381936896,0.06048986672374623
feminized2,waiter,0.4342445716537621,0.34618425774699696,0.08806031390676516
masculinized,athlete,0.25177872200342144,0.23315984083134064,0.018618881172080798
masculinized,author,0.3726161124213738,0.37042779239479323,0.0021883200265805924
masculinized,baker,0.24970903785598475,0.3020487472652392,-0.052339709409254476
masculinized,cleaner,0.33544428307702345,0.307151843999253,0.02829243907777046
masculinized,dancer,0.37515394362977406,0.2784316457650901,0.09672229786468395
masculinized,doctor/physician,0.38296024429801545,0.3265556688810084,0.05640457541700705
masculinized,firefighter,0.2870658469698805,0.29815565485043083,-0.011089807880550306
masculinized,governor,0.34950633831748823,0.3254810220291591,0.024025316288329157
masculinized,hunter,0.3411757453330586,0.37817211658294986,-0.03699637124989125
masculinized,journalist,0.29081904530680874,0.3035697421184576,-0.012750696811648865
masculinized,judge,0.3020203241577241,0.28630903688077325,0.01571128727695087
masculinized,lawyer,0.3841998363767659,0.35605984920448686,0.028139987172279057
masculinized,mechanic,0.1333067102538433,0.23052554595163907,-0.09721883569779577
masculinized,nurse,NaN,0.3121456402231667,NaN
masculinized,postman/postwoman,0.2769781337565451,0.38631885481879275,-0.10934072106224763
masculinized,professor,0.36856684924068583,0.3142894916745558,0.05427735756613006
masculinized,sailor,0.2918556308471564,0.34438639719715325,-0.05253076634999687
masculinized,secretary,0.33616388841779793,0.2789591069873783,0.05720478143041963
masculinized,singer,0.3553114461960293,0.30652796974631336,0.04878347644971592
masculinized,waiter,0.4402499376074208,0.33792352129176206,0.10232641631565875
masculinized2,athlete,0.2512344854953391,0.24183432033447774,0.009400165160861368
masculinized2,author,0.3812652730245396,0.3490039732001767,0.03226129982436293
masculinized2,baker,0.2749426779973571,0.33168388980223884,-0.05674121180488173
masculinized2,cleaner,0.3722838471358905,0.31817300440555607,0.05411084273033445
masculinized2,dancer,0.39171613662357346,0.2908201388216538,0.10089599780191966
masculinized2,doctor/physician,0.380905614572194,0.322759449285531,0.058146165286663
masculinized2,firefighter,0.273936187384632,0.300926859295842,-0.026990671911210018
masculinized2,governor,0.36005557667088584,0.31833621376157595,0.04171936290930989
masculinized2,hunter,0.3508878423448116,0.3609394511511395,-0.010051608806327939
masculinized2,journalist,0.30463318336793077,0.304844956636891,-2.1177326896021365e-4
masculinized2,judge,0.3177441390263244,0.29908817904928847,0.018655959977035952
masculinized2,lawyer,0.4049044860901697,0.35904264823177484,0.04586183785839487
masculinized2,mechanic,0.16817037229641355,0.2852087805279205,-0.11703840823150694
masculinized2,nurse,NaN,0.31023386953982895,NaN
masculinized2,postman/postwoman,0.29032111922540166,0.39168892738561234,-0.10136780816021068
masculinized2,professor,0.38234214452574367,0.3292419892640672,0.05310015526167644
masculinized2,sailor,0.3086493677541212,0.33733541121997357,-0.02868604346585235
masculinized2,secretary,0.3602195747811539,0.2934205902398355,0.06679898454131838
masculinized2,singer,0.3656477822523274,0.3016346110986967,0.0640131711536307
masculinized2,waiter,0.440267255015776,0.3459165373545715,0.09435071766120451
orig,athlete,0.23364671785766078,0.2322634871514314,0.0013832307062293658
orig,author,0.38876561750172417,0.35442499305118247,0.0343406244505417
orig,baker,0.2574344172408191,0.32457204523607325,-0.06713762799525413
orig,cleaner,0.3305041577205333,0.2937381835774043,0.03676597414312904
orig,dancer,0.3739731910939804,0.28775232024101555,0.08622087085296487
orig,doctor/physician,0.3908688397666104,0.3184451168594506,0.07242372290715982
orig,firefighter,0.2768138967188361,0.2831572422972154,-0.006343345578379289
orig,governor,0.35652477549788614,0.3129440592341808,0.043580716263705355
orig,hunter,0.3522681823296417,0.3744236232497891,-0.02215544092014743
orig,journalist,0.3000074639100434,0.31031693547518957,-0.010309471565146167
orig,judge,0.3078099878742525,0.2947149527968007,0.0130950350774518
orig,lawyer,0.4011296550071697,0.3524860866223768,0.04864356838479289
orig,mechanic,0.1491434366720932,0.2682894234948655,-0.1191459868227723
orig,nurse,0.3821690653128332,0.2913606557668717,0.09080840954596148
orig,postman/postwoman,0.2772403815180742,0.38425804711916395,-0.10701766560108977
orig,professor,0.3805854167745792,0.3142660986662944,0.06631931810828479
orig,sailor,0.28144479923024335,0.3189447643035285,-0.03749996507328518
orig,secretary,0.3363112012488905,0.2796891352091311,0.056622066039759444
orig,singer,0.3538435494339802,0.30476830152629125,0.04907524790768897
orig,waiter,0.42540204663044184,0.3400340086618518,0.08536803796859005
orig2,athlete,0.26157280854316417,0.23789723850444,0.02367557003872417
orig2,author,0.4465878370420197,0.4293610969709763,0.01722674007104341
orig2,baker,0.33231444049572906,0.3676979774560895,-0.03538353696036045
orig2,cleaner,0.3877539689393219,0.34262507086895705,0.045128898070364853
orig2,dancer,0.41208100656514773,0.28717227756119074,0.124908729003957
orig2,doctor/physician,0.42977581147126936,0.37202576548691346,0.0577500459843559
orig2,firefighter,0.2960306178126323,0.3147183600536875,-0.018687742241055183
orig2,governor,0.3813933397730629,0.3489789577076738,0.0324143820653891
orig2,hunter,0.4029821189463508,0.40814358561266595,-0.005161466666315173
orig2,journalist,0.3569293615163392,0.35467895805173144,0.002250403464607753
orig2,judge,0.3419341902861326,0.33985475259406284,0.002079437692069752
orig2,lawyer,0.42613211642835935,0.37702280747544714,0.04910930895291221
orig2,mechanic,0.2083737017819487,0.28849727080236504,-0.08012356902041634
orig2,nurse,0.40863447827150684,0.34312758983643277,0.06550688843507407
orig2,postman/postwoman,0.3432429487533954,0.4452762956720977,-0.1020333469187023
orig2,professor,0.4215895598920571,0.368402663199783,0.05318689669227411
orig2,sailor,0.3424566741103547,0.38005102457696366,-0.03759435046660897
orig2,secretary,0.4015586279256686,0.34372169335966146,0.05783693456600714
orig2,singer,0.40086028322218914,0.34207571885061316,0.058784564371575976
orig2,waiter,0.48531657222356983,0.4039851428716133,0.08133142935195653
