country_code,country_name,n_participants,prop_male,median_country_age,age_ci_lower,age_ci_upper,mean_age
AE,United Arab Emirates,581,0.36660929432013767,30.3,26.07740963855422,27.74186746987952,26.91222030981067
AF,Afghanistan,863,0.2711471610660487,18.8,26.415903823870217,28.042004634994207,27.245654692931634
AR,Argentina,531,0.4406779661016949,31.7,29.308709981167606,31.09453860640301,30.24482109227872
AT,Austria,715,0.3706293706293706,44,28.802622377622377,30.39167832167832,29.643356643356643
AU,Australia,13537,0.36847159636551674,38.7,32.81035310630125,33.21641611878555,33.01728595700672
BE,Belgium,1285,0.38287937743190664,41.4,30.244357976653696,31.495992217898827,30.89260700389105
BR,Brazil,1431,0.48846960167714887,32,30.225681341719078,31.269776380153736,30.71069182389937
CA,Canada,21670,0.3013844023996308,42.2,29.16296608214121,29.481597831102906,29.316151361329027
CH,Switzerland,2178,0.4297520661157025,42.4,32.922784664830125,33.85499311294765,33.40358126721763
CN,China,3010,0.3289036544850498,37.4,26.55843853820598,27.21502491694352,26.893355481727575
CO,Colombia,457,0.3304157549234136,30,25.441739606126912,27.057166301969367,26.201312910284464
DE,Germany,4602,0.3804867448935246,47.1,29.761255975662753,30.327477183833118,30.043893959148196
DK,Denmark,1036,0.39575289575289574,42.2,29.852147683397682,31.21534749034749,30.52895752895753
ES,Spain,1149,0.36640557006092256,42.7,29.76971279373368,30.97223672758921,30.33420365535248
FI,Finland,1145,0.3502183406113537,42.5,27.528144104803495,28.556441048034934,28.041921397379912
FR,France,2705,0.3630314232902033,41.4,29.81278188539741,30.553826247689464,30.17818853974122
GB,UK,23726,0.37161763466239567,40.5,32.78904366517744,33.09003624715502,32.944322683975386
HR,Croatia,603,0.21393034825870647,43,23.91024046434494,24.7198175787728,24.296849087893865
ID,Indonesia,401,0.4014962593516209,30.2,24.967581047381547,26.880486284289272,25.91022443890274
IE,Ireland,2812,0.3787339971550498,36.8,31.815344950213372,32.58541963015647,32.185633001422474
IL,Israel,758,0.39841688654353563,29.9,30.40877308707124,31.85494722955145,31.101583113456464
IN,India,4341,0.5703754895185441,27.9,30.090831605620824,30.602937111264687,30.35775167012209
IT,Italy,1114,0.3608617594254937,45.5,31.104039497307003,32.34921454219031,31.730700179533212
JP,Japan,1240,0.4282258064516129,47.3,28.851431451612903,29.98875,29.441129032258065
KR,Republic of Korea,854,0.36885245901639346,41.8,26.34657494145199,27.531733021077287,26.94145199063232
MX,Mexico,1029,0.4013605442176871,28.3,27.372181729834793,28.612366375121475,28.000971817298346
MY,Malaysia,887,0.3100338218714769,28.5,25.361781285231118,26.605467869222096,25.98985343855693
NL,Netherlands,3773,0.3535648025443944,42.6,30.210157699443414,30.868572753776835,30.54836999734959
NO,Norway,1357,0.3596168017686072,39.2,27.812730287398676,28.780471628592483,28.297715549005158
NZ,New Zealand,2937,0.29247531494722506,37.9,28.704102826012935,29.555396663261835,29.128021790943137
PH,Philippines,961,0.26742976066597296,23.5,27.789646201873047,29.176925078043702,28.458896982310094
PL,Poland,670,0.3328358208955224,40.7,27.462649253731342,28.62410447761194,28.01492537313433
RO,Romania,481,0.2910602910602911,41.1,25.099636174636174,26.51824324324324,25.8004158004158
SE,Sweden,2169,0.42738589211618255,41.2,30.197233748271092,31.081627478100508,30.627939142461965
SG,Singapore,2683,0.396943719716735,34.6,28.183684308609767,28.923043235184494,28.56802087215803
TR,Turkey,681,0.29515418502202645,30.9,25.07041116005874,26.36714390602056,25.734214390602055
TW,Taiwan,591,0.33671742808798644,40.7,24.996489001692044,26.34369712351946,25.64128595600677
US,United States of America,545673,0.2763724794886314,38.1,27.494240735751998,27.557892959702972,27.527154541272886
ZA,South Africa,699,0.3719599427753934,27.1,30.934191702432045,32.517989985693845,31.716738197424892
