domain,cat_id,cat_label,stim_id,stim_name
Night - Morning,Y,Morning,S5,sunrise
Night - Morning,X,Night,S1,p.m.
Night - Morning,X,Night,S2,evening
Night - Morning,X,Night,S3,moon
Night - Morning,X,Night,S4,midnight
Night - Morning,X,Night,S5,sunset
Numbers - Letters,Y,Letters,S1,abc
Numbers - Letters,Y,Letters,S2,def
Numbers - Letters,Y,Letters,S3,ghi
Numbers - Letters,Y,Letters,S4,bcde
Numbers - Letters,Y,Letters,S5,fghi
Numbers - Letters,Y,Letters,S6,abcdef
Numbers - Letters,Y,Letters,S7,defghi
Numbers - Letters,X,Numbers,S1,123
Numbers - Letters,X,Numbers,S2,456
Numbers - Letters,X,Numbers,S3,789
Numbers - Letters,X,Numbers,S4,2345
Numbers - Letters,X,Numbers,S5,6789
Numbers - Letters,X,Numbers,S6,123456
Numbers - Letters,X,Numbers,S7,456789
Organized Labor - Management,Y,Management,S1,supervisors
Organized Labor - Management,Y,Management,S2,boss
Organized Labor - Management,Y,Management,S3,administration
Organized Labor - Management,Y,Management,S4,employer
Organized Labor - Management,Y,Management,S5,managers
Organized Labor - Management,X,Organized Labor,S1,union
Organized Labor - Management,X,Organized Labor,S2,workers
Organized Labor - Management,X,Organized Labor,S3,employees
Organized Labor - Management,X,Organized Labor,S4,staff
Organized Labor - Management,X,Organized Labor,S5,subordinates
Poor People - Rich People,X,Poor People,S1,poor
Poor People - Rich People,X,Poor People,S2,impoverished
Poor People - Rich People,X,Poor People,S3,broke
Poor People - Rich People,X,Poor People,S4,bankrupt
Poor People - Rich People,Y,Rich People,S1,wealthy
Poor People - Rich People,Y,Rich People,S2,affluent
Poor People - Rich People,Y,Rich People,S3,prosperous
Poor People - Rich People,Y,Rich People,S4,well off
Private - Public,X,Private,S1,personal
Private - Public,X,Private,S2,confidential
Private - Public,X,Private,S3,secret
Private - Public,X,Private,S4,secluded
Private - Public,Y,Public,S1,communal
Private - Public,Y,Public,S2,accessible
Private - Public,Y,Public,S3,open
Private - Public,Y,Public,S4,unrestricted
Protein - Carbohydrates,Y,Carbohydrates,S1,pasta
Protein - Carbohydrates,Y,Carbohydrates,S2,bread
Protein - Carbohydrates,Y,Carbohydrates,S3,starch
Protein - Carbohydrates,Y,Carbohydrates,S4,cereal
Protein - Carbohydrates,Y,Carbohydrates,S5,grains
Protein - Carbohydrates,Y,Carbohydrates,S6,rice
Protein - Carbohydrates,X,Protein,S1,beef
Protein - Carbohydrates,X,Protein,S2,chicken
Protein - Carbohydrates,X,Protein,S3,eggs
Protein - Carbohydrates,X,Protein,S4,peanut butter
