evaluative_label,domain
Valenced_4,50 Cent - Britney
Valenced_1,African Americans - European Americans
Valenced_4,Artists - Musicians
Valenced_3,Asian - White
Valenced_1,Astrology - Science
Valenced_4,Atheism - Religion
Valenced_4,Athletic People - Intelligent People
Valenced_2,Avoiding - Approaching
Valenced_3,Bill Clinton - Hillary Clinton
Valenced_4,Briefs - Boxers
Valenced_1,Burger King - McDonald's
Valenced_5,Canadian - American
Valenced_6,Capital Punishment - Imprisonment
Valenced_2,Career - Family
Valenced_5,Chaos - Order
Valenced_2,Coffee - Tea
Valenced_1,Cold - Hot
Valenced_5,Conservatives - Liberals
Valenced_3,Corporations - Non-profits
Valenced_6,David Letterman - Jay Leno
Valenced_1,Denzel Washington - Tom Cruise
Valenced_5,Determinism - Free Will
Valenced_4,Difficult - Simple
Valenced_7,Dogs - Cats
Valenced_3,Dramas - Comedies
Valenced_7,Drinking - Abstaining
Valenced_5,Effort - Talent
Valenced_4,Evolution - Creationism
Valenced_5,Fat People - Thin People
Valenced_3,Foreign Places - American Places
Valenced_6,Friends - Family
Valenced_3,Gay people - Straight people
Valenced_2,George Bush - John Kerry
Valenced_5,Gun Control - Gun Rights
Valenced_7,Helpers - Leaders
Valenced_1,Hip Hop - Classical
Valenced_6,Innocence - Wisdom
Valenced_2,Japan - United States
Valenced_5,Jazz - Teen Pop
Valenced_5,Jews - Christians
Valenced_2,Jocks - Nerds
Valenced_7,Kobe - Shaq
Valenced_7,Lawyers - Politicians
Valenced_2,Lord of the Rings - Harry Potter
Valenced_1,Manufactured - Natural
Valenced_7,Meat - Vegetables
Valenced_7,Meg Ryan - Julia Roberts
Valenced_2,Microsoft - Apple
Valenced_2,Money - Love
Valenced_2,Mother Teresa - Princess Diana
Valenced_1,Mountains - Ocean
Valenced_4,Muslims - Jews
Valenced_5,National Defense - Education
Valenced_2,New York - California
Valenced_3,Night - Morning
Valenced_1,Numbers - Letters
Valenced_3,Old People - Young People
Valenced_7,Organized Labor - Management
Valenced_1,Pants - Skirts
Valenced_4,Past - Future
Valenced_3,Pepsi - Coke
Valenced_4,Poor People - Rich People
Valenced_6,Private - Public
Valenced_6,Prolife - Prochoice
Valenced_6,Protein - Carbohydrates
Valenced_2,Protestants - Catholics
Valenced_7,Punishment - Forgiveness
Valenced_1,Realism - Idealism
Valenced_6,Reason - Emotions
Valenced_3,Rebellious - Conforming
Valenced_7,Receiving - Giving
Valenced_7,Red Sox - Yankees
Valenced_1,Relaxing - Exercising
Valenced_6,Republicans - Democrats
Valenced_3,Rich People - Beautiful People
Valenced_3,Security - Freedom
Valenced_7,Single - Married
Valenced_4,Skeptical - Trusting
Valenced_1,Solitude - Companionship
Valenced_3,Southerners - Northerners
Valenced_1,Speed - Accuracy
Valenced_6,Stable - Flexible
Valenced_4,State - Church
Valenced_2,Strong - Sensitive
Valenced_6,Tall People - Short People
Valenced_4,Tax Reductions - Social Programs
Valenced_6,Team - Individual
Valenced_5,Technology - Nature
Valenced_4,Television - Books
Valenced_3,Tradition - Progress
Valenced_6,Traditional - Feminism
Valenced_5,Urban - Rural
Valenced_5,West Coast - East Coast
Valenced_5,Winter - Summer
Valenced_1,Wrinkles - Plastic Surgery
