model,run,domain,effect_size
bnc,R1,Athletic People - Intelligent People,0.38273259668019144
bnc,R1,Avoiding - Approaching,-0.8577872452462556
bnc,R1,Career - Family,-0.9676313737217261
bnc,R1,Chaos - Order,1.4961281806466722
bnc,R1,Cold - Hot,-0.34811173290975156
bnc,R1,Determinism - Free Will,0.17946056711960304
bnc,R1,Friends - Family,-0.9344878286749964
bnc,R1,Helpers - Leaders,-0.05898134878927962
bnc,R1,Innocence - Wisdom,-0.9858478770544574
bnc,R1,Jocks - Nerds,-0.6371298268192775
bnc,R1,Lawyers - Politicians,-0.2248396578258411
bnc,R1,Money - Love,-0.19197057322058436
bnc,R1,National Defense - Education,-0.34966937566358786
bnc,R1,Organized Labor - Management,-0.1600091431480026
bnc,R1,Poor People - Rich People,1.3867494122661441
bnc,R1,Private - Public,1.418605193628004
bnc,R1,Protein - Carbohydrates,-1.0923162836018039
bnc,R1,Punishment - Forgiveness,-1.0072545822304049
bnc,R1,Rebellious - Conforming,-0.9495745602562463
bnc,R1,Rich People - Beautiful People,0.23611250237862558
bnc,R1,Security - Freedom,-0.07348486624868948
bnc,R1,Skeptical - Trusting,0.05994863202242938
bnc,R1,Speed - Accuracy,0.56584321261566894
bnc,R1,Stable - Flexible,0.7217454714539552
bnc,R1,State - Church,1.0425786656793008
bnc,R1,Tall People - Short People,-0.688265160551904
bnc,R1,Team - Individual,-1.1114518099157136
bnc,R1,Technology - Nature,0.16392889686772608
bnc,R1,Tradition - Progress,0.8545116426972572
bnc,R1,Urban - Rural,-0.5103528402028392
bnc,R1,Winter - Summer,0.9392217800359283
bnc,R2,Athletic People - Intelligent People,0.2493268823846381
bnc,R2,Avoiding - Approaching,-0.9894644308863557
bnc,R2,Career - Family,-0.9201529344503893
bnc,R2,Chaos - Order,1.3581998049952213
bnc,R2,Cold - Hot,-0.33821814914667697
bnc,R2,Determinism - Free Will,-0.058885843282037394
bnc,R2,Friends - Family,-0.5516628557284322
bnc,R2,Helpers - Leaders,-0.2536134843937012
bnc,R2,Innocence - Wisdom,-0.9285055756973424
bnc,R2,Jocks - Nerds,0.22954316806527467
bnc,R2,Lawyers - Politicians,-0.15560910244455056
bnc,R2,Money - Love,-0.6262503530276403
bnc,R2,National Defense - Education,-0.8132341019513152
bnc,R2,Organized Labor - Management,0.10372807497839796
bnc,R2,Poor People - Rich People,1.3122870236890671
bnc,R2,Private - Public,0.9007794981947185
bnc,R2,Protein - Carbohydrates,-0.20340726007650572
bnc,R2,Punishment - Forgiveness,-0.6967512641091811
bnc,R2,Rebellious - Conforming,-1.2464627961176824
bnc,R2,Rich People - Beautiful People,0.9610944559843237
bnc,R2,Security - Freedom,0.04061293208163033
bnc,R2,Skeptical - Trusting,0.6728836543563683
bnc,R2,Speed - Accuracy,0.5511235665337143
bnc,R2,Stable - Flexible,0.10492859395812656
bnc,R2,State - Church,-0.5223328812120622
bnc,R2,Tall People - Short People,-0.3775235869396949
bnc,R2,Team - Individual,-1.4484676432331782
bnc,R2,Technology - Nature,0.7461061301149992
bnc,R2,Tradition - Progress,1.4376967927393134
bnc,R2,Urban - Rural,-0.3905026016894713
bnc,R2,Winter - Summer,0.5770631727835588
bnc,R3,Athletic People - Intelligent People,-0.04603932397838874
bnc,R3,Avoiding - Approaching,-0.7698112022723269
bnc,R3,Career - Family,-1.0161328631002586
bnc,R3,Chaos - Order,0.35750076136944375
bnc,R3,Cold - Hot,-0.061414747453608684
bnc,R3,Determinism - Free Will,-0.28625157018750225
