cat_id,stim_name,domain,stim_id
Y,siblings,Friends - Family,S3
Y,child,Friends - Family,S5
X,chum,Friends - Family,S1
X,buddy,Friends - Family,S2
X,pal,Friends - Family,S3
X,peers,Friends - Family,S4
X,companion,Friends - Family,S5
X,assistant,Helpers - Leaders,S1
X,worker,Helpers - Leaders,S2
X,attendant,Helpers - Leaders,S3
X,employee,Helpers - Leaders,S4
Y,president,Helpers - Leaders,S2
Y,boss,Helpers - Leaders,S3
Y,manage,Helpers - Leaders,S4
Y,senator,Helpers - Leaders,S5
X,simple,Innocence - Wisdom,S1
X,pure,Innocence - Wisdom,S2
X,naive,Innocence - Wisdom,S3
X,inexperience,Innocence - Wisdom,S4
X,youthful,Innocence - Wisdom,S5
Y,mature,Innocence - Wisdom,S1
Y,knowledge,Innocence - Wisdom,S2
Y,enlightened,Innocence - Wisdom,S3
Y,sophisticated,Innocence - Wisdom,S5
X,sports,Jocks - Nerds,S1
X,strong,Jocks - Nerds,S2
X,athletic,Jocks - Nerds,S3
X,exercise,Jocks - Nerds,S4
X,football,Jocks - Nerds,S5
X,muscles,Jocks - Nerds,S6
Y,intelligent,Jocks - Nerds,S2
Y,smart,Jocks - Nerds,S3
Y,study,Jocks - Nerds,S4
Y,calculator,Jocks - Nerds,S5
Y,brains,Jocks - Nerds,S6
X,attorney,Lawyers - Politicians,S1
X,counsel,Lawyers - Politicians,S2
X,prosecution,Lawyers - Politicians,S3
Y,mayor,Lawyers - Politicians,S1
Y,senator,Lawyers - Politicians,S2
Y,governor,Lawyers - Politicians,S3
Y,representative,Lawyers - Politicians,S4
Y,affection,Money - Love,S1
Y,heart,Money - Love,S2
Y,relationship,Money - Love,S3
Y,romance,Money - Love,S4
X,wealth,Money - Love,S2
X,investments,Money - Love,S3
X,cash,Money - Love,S4
X,military,National Defense - Education,S1
X,soldiers,National Defense - Education,S2
X,combat,National Defense - Education,S3
X,army,National Defense - Education,S4
X,navy,National Defense - Education,S5
X,marines,National Defense - Education,S7
Y,educate,National Defense - Education,S1
Y,schools,National Defense - Education,S2
Y,teachers,National Defense - Education,S3
Y,books,National Defense - Education,S4
Y,teach,National Defense - Education,S5
Y,students,National Defense - Education,S7
Y,supervisors,Organized Labor - Management,S1
Y,boss,Organized Labor - Management,S2
Y,administration,Organized Labor - Management,S3
Y,employer,Organized Labor - Management,S4
Y,managers,Organized Labor - Management,S5
X,union,Organized Labor - Management,S1
