occupation,wiki_lang_code,gender,human_mean_rating
actors,en,m,50
adolescents,en,m,50
apprentices,en,m,60
archivists,en,m,66.67
artists,en,m,50
assistant chefs,en,m,56.67
astrologers,en,m,56.67
athletes,en,m,53.33
aupairs,en,m,20
authors,en,m,53.33
auxiliary workers,en,m,56.67
bakers,en,m,63.33
bank clerks,en,m,53.33
bankers,en,m,63.33
bartenders,en,m,46.67
beauticians,en,m,20
birth attendants,en,m,30
bosses,en,m,66.67
boxers,en,m,73.33
bricklayers,en,m,76.67
butchers,en,m,76.67
campers,en,m,56.67
caretakers,en,m,56.67
carpenters,en,m,73.33
cashiers,en,m,40
chemists,en,m,70
chocolate lovers,en,m,36.67
cinema goers,en,m,46.67
cleaners,en,m,23.33
climbers,en,m,60
comedians,en,m,60
composers,en,m,56.67
computer specialists,en,m,80
concert goers,en,m,53.33
cooks,en,m,63.33
craftsmen,en,m,70
curators,en,m,60
customs officers,en,m,63.33
cyclists,en,m,53.33
dancers,en,m,40
deans,en,m,70
dentists,en,m,63.33
dieticians,en,m,40
doctors,en,m,56.67
dressmakers,en,m,33.33
drivers,en,m,73.33
electricians,en,m,66.67
engineers,en,m,80
factory managers,en,m,66.67
farmers,en,m,63.33
fishers,en,m,76.67
flight attendants,en,m,33.33
football coaches,en,m,76.67
fortune tellers,en,m,26.67
gardeners,en,m,66.67
golfers,en,m,73.33
governors,en,m,76.67
gynaeco-logists,en,m,53.33
hairdressers,en,m,36.67
heads,en,m,73.33
historians,en,m,70
homeless people,en,m,66.67
hunters,en,m,73.33
iceskaters,en,m,43.33
inventors,en,m,66.67
job seekers,en,m,56.67
joggers,en,m,50
judges,en,m,76.67
jugglers,en,m,60
lawyers,en,m,60
librarians,en,m,50
lorrydrivers,en,m,76.67
magicians,en,m,70
managers,en,m,70
mathema-ticians,en,m,66.67
mayors,en,m,66.67
mechanics,en,m,83.33
members of parliament,en,m,60
models,en,m,33.33
murderers,en,m,73.33
musicians,en,m,56.67
neighbours,en,m,50
nurses,en,m,26.67
office workers,en,m,53.33
paedia-tricians,en,m,33.33
painting artists,en,m,56.67
pedestrians,en,m,50
pharmacists,en,m,53.33
physicians,en,m,56.67
physicists,en,m,76.67
physics students,en,m,76.67
pilots,en,m,73.33
poets,en,m,50
police officers,en,m,60
politicians,en,m,66.67
postmen,en,m,70
presidents,en,m,90
prisoners,en,m,73.33
professors,en,m,63.33
proofreaders,en,m,50
psychology students,en,m,26.67
publishers,en,m,53.33
reception-class children,en,m,53.33
relatives,en,m,50
sales assistants,en,m,43.33
school-children,en,m,63.33
secretaries,en,m,26.67
shoemakers,en,m,76.67
singers,en,m,50
skiers,en,m,53.33
social workers,en,m,43.33
solarium users,en,m,25
spectators,en,m,50
spies,en,m,60
statisticians,en,m,60
surgeons,en,m,60
swimmers,en,m,50
technicians,en,m,70
tennis players,en,m,60
trade unionists,en,m,70
trainees,en,m,50
violonists,en,m,43.33
waiters,en,m,36.67
wine connoisseurs,en,m,56.67
workers,en,m,60
writers,en,m,50
actors,en,f,52.08
adolescents,en,f,53.13
apprentices,en,f,65.42
archivists,en,f,58.33
artists,en,f,52.71
assistant chefs,en,f,58.75
astrologers,en,f,58.51
athletes,en,f,58.13
aupairs,en,f,19.35
authors,en,f,49.36
auxiliary workers,en,f,54
bakers,en,f,62.08
bank clerks,en,f,54.68
bankers,en,f,68.13
bartenders,en,f,57.23
beauticians,en,f,12.83
birth attendants,en,f,30.87
bosses,en,f,64.17
boxers,en,f,87.08
bricklayers,en,f,88.96
butchers,en,f,73.13
campers,en,f,55.11
caretakers,en,f,68.72
carpenters,en,f,75.63
cashiers,en,f,33.26
chemists,en,f,66.81
chocolate lovers,en,f,28.75
cinema goers,en,f,46.6
cleaners,en,f,25.42
climbers,en,f,68.48
comedians,en,f,61.46
composers,en,f,65.63
computer specialists,en,f,70
concert goers,en,f,48.13
cooks,en,f,43.96
craftsmen,en,f,74.58
curators,en,f,56.88
customs officers,en,f,65.63
cyclists,en,f,56.67
dancers,en,f,33.13
deans,en,f,73.13
dentists,en,f,62.71
dieticians,en,f,34.38
doctors,en,f,61.09
dressmakers,en,f,22.29
drivers,en,f,63.33
electricians,en,f,80
engineers,en,f,76.81
factory managers,en,f,80.21
farmers,en,f,77.66
fishers,en,f,83.62
flight attendants,en,f,26.81
football coaches,en,f,85.21
fortune tellers,en,f,18.33
gardeners,en,f,64.17
golfers,en,f,77.71
governors,en,f,69.15
gynaeco-logists,en,f,48.96
hairdressers,en,f,34.47
heads,en,f,60.42
historians,en,f,61.67
homeless people,en,f,63.4
hunters,en,f,82.71
iceskaters,en,f,34.26
inventors,en,f,71.96
job seekers,en,f,56.88
joggers,en,f,48.75
judges,en,f,72.5
jugglers,en,f,67.71
lawyers,en,f,61.88
librarians,en,f,34.04
lorrydrivers,en,f,83.13
magicians,en,f,75.21
managers,en,f,61.91
mathema-ticians,en,f,75.42
mayors,en,f,75.74
mechanics,en,f,85.32
members of parliament,en,f,75
models,en,f,28.13
murderers,en,f,74.47
musicians,en,f,53.75
neighbours,en,f,50.83
nurses,en,f,29.17
office workers,en,f,47.29
paedia-tricians,en,f,46.25
painting artists,en,f,48.54
pedestrians,en,f,49.79
pharmacists,en,f,57.29
physicians,en,f,69.79
physicists,en,f,73.33
physics students,en,f,72.71
pilots,en,f,78.13
poets,en,f,57.71
police officers,en,f,68.54
politicians,en,f,77.83
postmen,en,f,78.33
presidents,en,f,86.6
prisoners,en,f,71.46
professors,en,f,66.04
proofreaders,en,f,50.42
psychology students,en,f,31.67
publishers,en,f,57.71
reception-class children,en,f,45.21
relatives,en,f,52.17
sales assistants,en,f,31.88
school-children,en,f,52.08
secretaries,en,f,21.46
shoemakers,en,f,67.5
singers,en,f,44.47
skiers,en,f,56.04
social workers,en,f,26.88
solarium users,en,f,33.72
spectators,en,f,55
spies,en,f,68.54
statisticians,en,f,72.34
surgeons,en,f,70
swimmers,en,f,53.33
technicians,en,f,72.92
tennis players,en,f,56.04
trade unionists,en,f,59.79
trainees,en,f,49.38
violonists,en,f,42.29
waiters,en,f,55.63
wine connoisseurs,en,f,59.57
workers,en,f,58.96
writers,en,f,51.28
actors,fr,m,50
adolescents,fr,m,49.06
apprentices,fr,m,53.64
archivists,fr,m,49.03
artists,fr,m,49.38
assistant chefs,fr,m,46.97
astrologers,fr,m,41.88
athletes,fr,m,55.16
aupairs,fr,m,50.94
authors,fr,m,57.27
auxiliary workers,fr,m,47.19
bakers,fr,m,70
bank clerks,fr,m,58.79
bankers,fr,m,70.61
bartenders,fr,m,53.94
beauticians,fr,m,13.33
birth attendants,fr,m,17.88
bosses,fr,m,81.21
boxers,fr,m,86.36
bricklayers,fr,m,94.55
butchers,fr,m,83.64
campers,fr,m,62.12
caretakers,fr,m,81.88
carpenters,fr,m,91.52
cashiers,fr,m,25.15
chemists,fr,m,64.24
chocolate lovers,fr,m,35.15
cinema goers,fr,m,48.18
cleaners,fr,m,20.63
climbers,fr,m,66.67
comedians,fr,m,49.39
composers,fr,m,68.44
computer specialists,fr,m,77.81
concert goers,fr,m,50.91
cooks,fr,m,66.97
craftsmen,fr,m,69.06
curators,fr,m,62.12
customs officers,fr,m,77.88
cyclists,fr,m,72.73
dancers,fr,m,30
deans,fr,m,62.12
dentists,fr,m,67.19
dieticians,fr,m,29.7
doctors,fr,m,66.67
dressmakers,fr,m,38.75
drivers,fr,m,61.52
electricians,fr,m,83.55
engineers,fr,m,75.76
factory managers,fr,m,87.27
farmers,fr,m,70.3
