wiki_language_code,language_name,es_behavioral_iat_weighted,es_behavioral_iat,es_behavioral_explicit_weighted,es_behavioral_explicit,es_behavioral_iat_resid1,es_behavioral_explicit_resid1,es_behavioral_iat_resid2,es_behavioral_explicit_resid2,participant_age,participant_education,participant_religosity,participant_sex,career_google,career_hand,flowers_google,weapons_google,ggi_stoet,per_women_stem,science_literacy_diff,intra_indv_diff,self_efficacy_diff,intrest_diff,enjoy_diff,satisfaction,country_name
ar,Arabic,1.016983238373305,1.016983238373305,1.005744538011121,1.005744538011121,-0.07644833133385737,0.19079458347930778,-0.16127467362763764,0.19433178496115888,26.91222030981067,6.951473136915078,2.4755555555555557,0.3670668953687822,0.660382228,0.56328376,0.6744670560767666,1.3519279761089935,0.65,37.4,-0.26,0.13,0,0.2,-0.02,6.6,NA
da,Danish,1.1580336819688635,1.1580336819688635,0.9933278833501705,0.9933278833501705,0.07954107132102503,-0.0066820689588081685,0.0846955251606146,0.07346688275666896,30.52895752895753,7.517006802721088,1.7963800904977376,0.3959731543624161,0.804597573,0.91898549,1.2275777602558398,1.2110228467612278,0.77,29.3,0.06,0.44,0.3,0.21,0.08,7.5,NA
de,German,1.1351087105822057,1.1263914977449059,1.1122613877181344,1.106176778731649,0.0592182021122033,0.1645203244275009,0.07332314016117118,0.2126364803240584,31.03027728990749,8.362513251462367,1.997705107539419,0.3938056393997283,0.658386778,0.850919918,1.3634067454877667,1.4903980391837421,0.7666666666666667,23.966666666666665,0.11666666666666667,0.44333333333333336,0.24333333333333335,0.3566666666666667,0.22999999999999998,7.233333333333333,NA
el,Greek,1.066939170908174,1.0696365688476206,0.9060842846098861,0.9053585954655632,-0.005655871854372097,-0.043209641874453544,0.02344506528273908,0.023419406969805944,29.904988804925836,8.565727650291564,2.352123776339804,0.32946401120486457,0.393671128,NA,1.3220457997961534,1.098602424395928,0.69,30.4,-0.1,0.38,0.15,0.1,0.11,5.6,NA
en,English,1.0854746751135456,1.0666771021452655,0.902750717911154,0.9413465282320598,-0.0063861692008963114,-0.013760174042783813,-0.0026144468374113194,0.016095541294957365,30.68642822265827,7.047394611619605,2.143113738462752,0.33131934016900433,0.631863669,0.631863669,1.6586191163543842,1.535252751410166,0.76,NA,0.054,0.468,0.202,0.238,0.11800000000000001,7.2,NA
es,Spanish,1.00675856501597,1.0019825745133888,0.8471147659201597,0.8680808531261308,-0.058097893439222115,-0.04506308249299581,-0.06136361732108488,0.0013570349963636283,28.856261895042802,8.24588584252082,2.253600688373408,0.3962501031239367,0.660466374,0.658171834,1.4896122936426017,1.405732082785693,0.725,26.25,0.14500000000000002,0.53,0.065,0.16,0.015000000000000001,6.4750000000000005,NA
fa,Persian,1.0001551085043703,1.0001551085043703,0.8415199557242169,0.8415199557242169,-0.058457622838756856,0.025096231390400903,-0.0951248090279448,0.0367657487295321,27.245654692931634,6.175377468060395,2.5492730210016155,0.27033218785796104,0.220482137,0.404804745,0.8723778737107987,1.036338534618127,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi,Finnish,1.0427063288778553,1.0427063288778553,1.0261865922266977,1.0261865922266977,0.0026762500684955662,-0.1451841478007223,0.08326953894693671,-0.04235905342711382,28.041921397379912,7.007136485280999,1.8065843621399178,0.35135135135135137,0.196181905,0.1893599,1.3756098650537156,1.1375857578598114,0.85,20,-0.2,0.39,0.22,0.28,0.04,7.4,NA
fr,French,1.0582860793202673,1.0582860793202673,0.9660378923663283,0.9660378923663283,-0.010079674339875912,0.032782779401575764,-0.020871803083953987,0.09697154976780828,30.17818853974122,9.29554807332585,1.9819182389937107,0.36263332107392426,0.222591696,0.124394608,1.1215333056616075,1.172265181551587,0.76,25.6,0.02,0.45,0.27,0.3,0.28,6.4,NA
he,Hebrew,1.0973154740007893,1.0973154740007893,1.0619110050511082,1.0619110050511082,0.07753689312375206,0.09238864700105676,0.0882816973056868,0.15664553964130892,31.101583113456464,8.26225165562914,1.681109185441941,0.39816031537450725,NA,NA,NA,NA,0.71,NA,0.04,0.35,0.13,0.12,0.05,7.4,NA
hi,Hindi,0.865473078644486,0.865473078644486,0.8833466691192797,0.8833466691192797,-0.1622042808572522,0.02169959175223821,-0.15954960981383765,0.04247971519898988,30.35775167012209,9.549478563151796,2.40171650055371,0.5699220541036222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hr,Croatian,1.0950739128077334,1.0950739128077334,0.920240244679844,0.920240244679844,0.024160748747192144,-0.2583237952689635,0.13933402292884878,-0.23542906842264447,24.296849087893865,6.888333333333334,2.3993288590604025,0.2134646962233169,0.640656597,NA,1.1872754501463598,1.2817069548830444,0.71,27.2,0.06,0.49,0.15,0.19,0.05,5.2,NA
hu,Hungarian,1.168057789410422,1.168057789410422,1.0522183065559834,1.0522183065559834,0.16693479799863403,0.11163469974813015,0.22648893852031773,0.14192499449591658,27.28918918918919,7.596685082872928,1.9281437125748504,0.3844086021505376,0.04330613,NA,1.3812169150974034,1.4139519500214854,0.67,20.2,0.03,0.45,0.09,0.24,-0.02,5.3,NA
id,Indonesian,0.9483963255106217,0.9483963255106217,0.8658300363946667,0.8658300363946667,-0.16738197177438108,0.042986696838828664,-0.197271386638188,0.03572105559628897,25.910224438902745,6.3879093198992445,2.696969696969697,0.39950372208436724,0.032951227,0.175626267,1.1915189488181752,1.3898692341165848,0.68,35.5,-0.06,0.34,-0.01,NA,-0.09,5,NA
it,Italian,1.138241060302592,1.138241060302592,1.0230855124499871,1.0230855124499871,0.07167797433221734,0.14331486010716346,0.06572256198725719,0.16643298639005724,31.730700179533212,7.725383920505871,2.2371794871794872,0.3610366398570152,0.177517853,0.509848315,1.3698897306520028,1.4367371675993914,0.73,32.1,0.19,0.47,0.15,0.28,0.24,5.8,NA
ja,Japanese,1.0546671813815027,1.0546671813815027,0.8501610755919237,0.8501610755919237,0.0531727068193689,-0.030743295927880332,0.07597005708193764,-0.011089682483600125,29.441129032258065,7.026916802610114,1.760522496371553,0.4260591526778577,-0.332925534,0.064295678,1.2139343517663141,1.3375711271502864,0.67,NA,0.15,0.45,0.21,0.33,0.45,5.9,NA
ko,Korean,1.0462100825606075,1.0462100825606075,0.8399662689512287,0.8399662689512287,-0.019965678321671176,-0.08611226714220858,0.0037954042215182396,-0.09116487713613139,26.94145199063232,6.884297520661157,2.352705410821643,0.3703271028037383,0.871573163,0.252784967,1.4342308719816,1.271049841380325,0.65,26.9,-0.1,0.49,-0.03,0.32,0.27,5.8,NA
ms,Malay,0.9316727026759108,0.9316727026759108,0.753647783620021,0.753647783620021,-0.10631834606419316,-0.007736444775873292,-0.130058686440335,-0.025467459988722328,25.989853438556935,6.797968397291196,2.661290322580645,0.3087248322147651,0.155817063,NA,1.228018510866538,1.0964626596405838,NA,NA,NA,NA,NA,NA,NA,NA,NA
nl,Dutch,1.1928239222170607,1.1889136281385255,1.07848569242185,1.0672246989040695,0.11070075375498492,0.09876781425908862,0.10654858958012513,0.13313590242677625,30.72048850062032,8.283364338577265,1.8929675196330238,0.3691131105136042,0.74729041,0.68326075,1.190439166222263,1.5755925827370858,0.765,19.45,0.08,0.485,0.215,0.25,0.20500000000000002,7.1,NA
no,Norwegian,1.036192916616594,1.036192916616594,0.9687159345666464,0.9687159345666464,-0.06714438186439772,-0.2116434699003252,0.03505570515824058,0.06615681792310636,28.297715549005158,7.377049180327869,2.024489795918367,0.359501100513573,0.591043956,NA,1.4283646500107214,1.396240651174677,0.85,20.3,0.03,0.85,0.18,0.22,0.22,7.6,NA
pl,Polish,1.032822104644008,1.032822104644008,0.9829182260486888,0.9829182260486888,-0.04513921526696821,-0.010070243309919225,-0.058919642325711216,0.07221153893461674,28.01492537313433,7.812971342383107,2.2670454545454546,0.3323397913561848,0.388961923,0.070637956,1.2400314172576017,1.336854185766124,0.72,26.9,0.07,0.61,-0.01,0.17,-0.1,6,NA
pt,Portuguese,1.0863341885517614,1.0392351268515865,0.8950087884396422,0.9053370375171736,-0.0046795235990522155,-0.08035344338374176,0.03014169073519176,-0.014668923958347043,29.294299400321776,8.095094611271081,2.199240794941867,0.41793958723002894,1.011527419,0.538820057,1.239517650801133,1.4309987146861665,0.71,28.1,0.08,0.37,0.09,0.2,0.02,6.05,NA
ro,Romanian,1.1628195899429048,1.1628195899429048,0.907627546584009,0.907627546584009,0.023854266972529032,0.025338903939385916,-0.011869297855202271,0.04467975969078872,25.800415800415802,7.29559748427673,2.166153846153846,0.28865979381443296,0.379296641,NA,0.8417711360642259,1.4984144512007402,0.69,32.6,-0.08,0.03,0,NA,-0.07,5.8,NA
ru,Russian,1.0398483210427427,1.0398483210427427,1.0392917448471093,1.0392917448471093,0.017750835538287983,0.09628078139103044,0.03514485494306397,0.17858600063906832,27.782608695652176,7.974160206718346,2.0251256281407035,0.3638676844783715,0.006559964,0.211615022,0.953945226332963,1.3382038298321526,0.69,NA,0.05,0.5,0.14,0.26,0.07,6,NA
sv,Swedish,1.0001870448003038,1.0001870448003038,0.9102586276332174,0.9102586276332174,-0.05096211219250607,-0.17261023863866318,-0.03547982440884464,-0.11888818573893663,30.627939142461965,7.57884885353299,1.8794117647058823,0.4271310724106325,0.766610599,0.821934025,1.2398380207282675,1.3762694823033943,0.82,23.4,-0.04,0.56,0.3,0.25,0.17,7.3,NA
th,Thai,0.994277363544489,0.994277363544489,0.6861195995648643,0.6861195995648643,-0.08142054097779848,-0.12452348145333106,-0.14057763586962674,-0.10572749522016602,26.472,7.2534818941504176,2.478102189781022,0.3324468085106383,NA,NA,NA,NA,0.71,24.6,-0.12,0.37,0.01,0.09,-0.06,6.2,NA
tl,Tagalog,0.9390454148718422,0.9390454148718422,0.7474403336326834,0.7474403336326834,-0.15584130736659188,-0.0612219488681997,-0.1612405949368518,-0.07559678196194011,28.458896982310094,7.0821771611526145,2.626108998732573,0.26632124352331604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tr,Turkish,1.0237646906679112,1.0237646906679112,0.7359824665348029,0.7359824665348029,-0.08626225332526527,-0.11821098451458452,-0.08655245138712821,-0.03938535916349116,25.734214390602055,7.017777777777778,2.140311804008909,0.2972181551976574,0.137610844,0.085980971,1.206992930477983,1.0792132921850583,0.62,36.3,-0.08,0.16,-0.1,0.15,0.01,5.5,NA
