wiki_language_code,language_name,es_behavioral_iat_simple,es_behavioral_explicit_simple,es_behavioral_iat_resid_simple,es_behavioral_iat_resid_simple2,es_behavioral_explicit_resid_simple,ggi,participant_age,participant_education,participant_religosity,participant_sex,median_country_age
da,Danish,0.3854045053314699,-1.046875,0.04344930589702868,0.04982199470868964,-0.14082353681373866,0.754,3.3228523317388774,7.614441416893733,2.007142857142857,0.46387832699619774,42.2
de,German,0.3726730761015399,-0.7075164027158983,0.029857875408330695,0.04328716662714645,0.1997747827856771,0.7526666666666667,3.348149216418534,8.25221139534013,2.1981527339755518,0.4346478390761824,44.5
en,English,0.3470093529901366,-0.9795811941253564,0.009996483769705494,0.012084041611920348,-0.08030482465831995,0.7504,3.2892251447354,6.9400020458235,2.3909952521753164,0.36313782545044465,39.03333333333333
es,Spanish,0.31122525222062686,-0.6654699131513647,-0.02838048377183276,-0.023981773899887288,0.23625480881720187,0.7243333333333333,3.274336773565931,7.480599899680504,2.3326986658820434,0.44902545996877347,34.233333333333334
fa,Persian,0.3510946765667929,-0.8392857142857143,0.021778245122477453,0.030843269989953303,0.049525771599672856,NaN,3.218719805376643,6.239488117001828,2.7132075471698114,0.2546583850931677,18.8
fi,Finnish,0.38857216098008546,-0.9095697980684812,0.049146753691836166,0.05577373105807489,-0.006777133755139097,0.845,3.2979931177986574,7.121595330739299,1.8807339449541285,0.4375,42.5
fr,French,0.33589801696466176,-0.9775349119611415,-0.0061127601219723255,0.013613783471205895,-0.07064736407038587,0.755,3.3455694787774646,9.114160948222084,2.191823899371069,0.43309859154929575,41.4
he,Hebrew,0.3759501066544871,-0.5859106529209622,0.035860906830333474,0.03585937243172106,0.31768842073501596,0.719,3.314629667199858,7.780684104627767,1.8745644599303135,0.41,29.9
hi,Hindi,0.287542761698396,-1.0429208472686733,-0.05643039098493707,-0.03957370671234451,-0.13526402756605618,0.683,3.2884976290256382,8.823295454545455,2.284608770421324,0.564935064935065,27.9
it,Italian,0.33718835056209245,-0.5755894590846047,-0.0043140992710676875,0.01078426338074424,0.3300095151871185,0.719,3.3591662230960497,7.7254901960784315,2.4502923976608186,0.3669849931787176,45.5
ja,Japanese,0.32191960700006034,-0.6979310344827586,-0.01972464319185799,-0.009879210724426666,0.20783091222597616,0.66,3.3134680721287855,7.088285229202038,2.1783783783783783,0.465954606141522,47.3
ko,Korean,0.373041909994607,-0.2764976958525346,0.04010639689328301,0.021074226943993,0.6151243528399044,0.649,3.1676773861968077,6.641203703703703,2.6823529411764704,0.4166666666666667,41.8
ms,Malay,0.28019428910939903,-1.005420054200542,-0.05146208868156685,-0.05273699613664044,-0.11400773720816237,0.666,3.1744869237841016,6.595041322314049,2.7091633466135456,0.4082687338501292,28.5
nl,Dutch,0.3876783405454542,-0.6447258925092108,0.04771467699716057,0.05367750809408027,0.25786494264931253,0.7505,3.305896855033258,7.929667110412707,2.272927072927073,0.4051945103507819,42
no,Norwegian,0.3724187035173371,0.01332346410066618,0.032197329627271155,0.03543324931264807,0.9159095227539007,0.842,3.2899376362474175,7.240954580446497,2.3529411764705883,0.4422657952069717,39.2
pl,Polish,0.37147876903706095,-0.5923694779116466,0.03917468706193284,0.05529721230204205,0.30052269817896143,0.727,3.2265210909164397,7.3798076923076925,2.437956204379562,0.343811394891945,40.7
pt,Portuguese,0.36602596770817214,-0.7890995260663507,0.023305427601655267,0.02996957853778454,0.11698828414856087,0.687,3.2867962083738815,7.688942891859052,2.352112676056338,0.5230414746543779,32
ro,Romanian,0.46860435601899825,-0.9404761904761905,0.13658032100839815,0.14332030217068017,-0.04932081465925887,0.69,3.2007339499672516,7.0476190476190474,2.321167883211679,0.34402332361516036,41.1
sv,Swedish,0.34744063821284293,-0.24821002386634844,0.003724567498947094,0.01563766936208045,0.6606042542609664,0.815,3.351999917659616,7.539786223277909,2.1943127962085307,0.4649805447470817,41.2
tl,Tagalog,0.28334975043279764,-0.7899628252788105,-0.04317382067916661,-0.03640245284768941,0.09428873064639583,0.786,3.1224494740309066,6.211350293542075,2.5911764705882354,0.3280141843971631,23.5
tr,Turkish,0.3060585479548636,-0.6657060518731989,-0.025177843674056358,-0.018039115298669035,0.22248711444621427,0.623,3.1710986974555198,7.03405572755418,2.2777777777777777,0.32492997198879553,30.9
zh,Chinese,0.4107000881292083,-1.192868528022479,0.08061913679694321,0.08723142197788629,-0.30504809075395395,0.694,3.152074121939235,6.6236573224663395,2.5095207570355247,0.37475308125780327,38.8
zu,Zulu,0.3328398983327487,-1.083657587548638,-0.006555649222139837,0.006392828399892783,-0.1796505127010475,0.764,3.343322589922848,7.199556541019955,2.816326530612245,0.38269230769230766,27.1
