language_code,iat_resid_storage_genius_1,iat_resid_storage_genius_2,iat_resid_storage_genius_12
de,0.17872328540836846,NA,0.17374379527582656
en,-0.005295738621190084,0.0019268509269715988,0.0037063401715675894
es,0.024147373952197286,NA,-9.197259875363139e-4
fr,0.017875762154004476,NA,0.0054288775624598915
hiur,-0.12647079706528086,NA,-0.1286865316643921
it,0.07455535180682117,NA,0.08362032268088743
ml,-0.14922702719640873,NA,-0.15093063838531476
pt,0.09496771238405338,NA,0.07441085408764242
ro,0.2422591572528186,NA,0.23714791068613977
ru,0.31551344284434885,NA,0.30657840287480753
ta,-0.0413004526298898,NA,-0.04173555911100999
zh,NA,0.023325763107724554,0.029157559368034457
ar,NA,NA,-0.25600256145134104
tr,NA,NA,-0.035327239556912055
