wiki_language_code,language_name,es_behavioral_iat_weighted,es_behavioral_iat,es_behavioral_explicit_weighted,es_behavioral_explicit,es_behavioral_iat_resid,es_behavioral_explicit_resid,es_behavioral_iat_simple,es_behavioral_explicit_simple,es_behavioral_iat_resid_simple,es_behavioral_explicit_resid_simple,ggi_weighted,ggi,wps_weighted,wps,participant_age,participant_education,participant_religosity,participant_sex,median_country_age,career_hand,ggi_stoet,per_women_stem,science_literacy_diff,intra_indv_diff,self_efficacy_diff,intrest_diff,enjoy_diff,satisfaction,country_name
ar,Arabic,1.016983238373305,1.016983238373305,1.005744538011121,1.005744538011121,-0.0758824595736171,0.1916581439020418,0.34770502885875615,1.9457092819614712,-0.025463358104127122,0.37044444243075964,0.639,0.639,0.746,0.746,3.2280794781439375,6.951473136915078,2.4755555555555557,0.3670668953687822,30.3,0.56328376,0.65,37.4,-0.26,0.13,0,0.2,-0.02,6.6,NA
da,Danish,1.1580336819688635,1.1580336819688635,0.9933278833501705,0.9933278833501705,0.07894093653346394,-0.009814638528329643,0.4054755378706851,1.5559883154819865,0.027558434739794656,-0.015348752928085551,0.754,0.754,0.845,0.845,3.3589673401500124,7.517006802721088,1.7963800904977376,0.3959731543624161,42.2,0.91898549,0.77,29.3,0.06,0.44,0.3,0.21,0.08,7.5,NA
de,German,1.1351087105822057,1.1263914977449059,1.1122613877181344,1.106176778731649,0.055050727665973055,0.16125605179844352,0.4009778898411714,1.8425529761084354,0.019583963032270484,0.2681856873207783,0.7641390402764854,0.7526666666666667,0.8521702778147016,0.8523333333333333,3.3773290689611857,8.362513251462367,1.997705107539419,0.3938056393997283,44.5,0.850919918,0.7666666666666667,23.966666666666665,0.11666666666666667,0.44333333333333336,0.24333333333333335,0.3566666666666667,0.22999999999999998,7.233333333333333,NA
el,Greek,1.066939170908174,1.0696365688476206,0.9060842846098861,0.9053585954655632,-0.008125683659756654,-0.04623070075920492,0.3830009029443532,1.5150380710659896,-0.002745018931692848,-0.07669478762680594,0.6819060052219321,0.682,0.7800130548302873,0.781,3.3531156595113565,8.565727650291564,2.352123776339804,0.32946401120486457,40.65,NA,0.69,30.4,-0.1,0.38,0.15,0.1,0.11,5.6,NA
en,English,1.0854746751135456,1.0666771021452655,0.902750717911154,0.9413465282320598,-0.008287489055600013,-0.016570334423354812,0.3828342884696335,1.54728681805849,-0.002916222169773432,-0.026669706372280413,0.7229641970493471,0.7504,0.8121601153128709,0.828,3.3529339949524077,7.047394611619605,2.143113738462752,0.33131934016900433,39.03333333333333,0.631863669,0.76,NA,0.054,0.468,0.202,0.238,0.11800000000000001,7.2,NA
es,Spanish,1.00675856501597,1.0019825745133888,0.8471147659201597,0.8680808531261308,-0.05983807497065663,-0.04662247115697082,0.3546114418731945,1.501716623357929,-0.020828164748577915,-0.07613242987218967,0.724869785794814,0.7272,0.7480186020293123,0.73,3.3085471942156297,8.24588584252082,2.253600688373408,0.3962501031239367,32.8,0.658171834,0.725,26.25,0.14500000000000002,0.53,0.065,0.16,0.015000000000000001,6.4750000000000005,NA
fa,Persian,1.0001551085043703,1.0001551085043703,0.8415199557242169,0.8415199557242169,-0.05732888211952592,0.02638341040686039,0.36430918873788404,1.6032672112018669,-0.020276580901668353,0.04999473269731908,NaN,NaN,0.385,0.385,3.215420889575464,6.175377468060395,2.5492730210016155,0.27033218785796104,18.8,0.404804745,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi,Finnish,1.0427063288778553,1.0427063288778553,1.0261865922266977,1.0261865922266977,-0.003340471012418914,-0.14611183613422501,0.37851303449071494,1.3734513274336284,-0.0012196258353741759,-0.1952261870482949,0.845,0.845,0.855,0.855,3.2880839471365677,7.007136485280999,1.8065843621399178,0.35135135135135137,42.5,0.1893599,0.85,20,-0.2,0.39,0.22,0.28,0.04,7.4,NA
fr,French,1.0582860793202673,1.0582860793202673,0.9660378923663283,0.9660378923663283,-0.018408279282509824,0.030162553844820528,0.377517475573155,1.625093353248693,-0.0064124459416904115,0.05065586801332433,0.755,0.755,0.817,0.817,3.356117892713585,9.29554807332585,1.9819182389937107,0.36263332107392426,41.4,0.124394608,0.76,25.6,0.02,0.45,0.27,0.3,0.28,6.4,NA
he,Hebrew,1.0973154740007893,1.0973154740007893,1.0619110050511082,1.0619110050511082,0.06398695357303795,0.08885567248355636,0.40923678286271115,1.7181571815718157,0.023315542313999484,0.14365842513655122,0.719,0.719,0.679,0.679,3.391897475391579,8.26225165562914,1.681109185441941,0.39816031537450725,29.9,0.428798097,0.71,NA,0.04,0.35,0.13,0.12,0.05,7.4,NA
hi,Hindi,0.865473078644486,0.865473078644486,0.8833466691192797,0.8833466691192797,-0.17355530391278093,0.019069732376643424,0.3041744997938545,1.6171947809878844,-0.059588972999432194,0.03485817144862135,0.683,0.683,0.58,0.58,3.3727728377799866,9.549478563151796,2.40171650055371,0.5699220541036222,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hr,Croatian,1.0950739128077334,1.0950739128077334,0.920240244679844,0.920240244679844,0.019409857344880842,-0.2552753198512312,0.3923946592077732,1.2146422628951747,0.006907215655111507,-0.336401835288031,0.7,0.7,0.804,0.804,3.1724890317907484,6.888333333333334,2.3993288590604025,0.2134646962233169,43,NA,0.71,27.2,0.06,0.49,0.15,0.19,0.05,5.2,NA
hu,Hungarian,1.168057789410422,1.168057789410422,1.0522183065559834,1.0522183065559834,0.17267257888924167,0.11140736073420428,0.43784541752090933,1.7520661157024793,0.06446543680463494,0.1855102640414508,0.669,0.669,0.739,0.739,3.263941330041867,7.596685082872928,1.9281437125748504,0.3844086021505376,42.3,NA,0.67,20.2,0.03,0.45,0.09,0.24,-0.02,5.3,NA
id,Indonesian,0.9483963255106217,0.9483963255106217,0.8658300363946667,0.8658300363946667,-0.16233954638224463,0.04485732043643311,0.3145220482425229,1.6470588235294117,-0.05363202265073097,0.085339935025492,0.682,0.682,0.669,0.669,3.190857404226154,6.3879093198992445,2.696969696969697,0.39950372208436724,30.2,0.175626267,0.68,35.5,-0.06,0.34,-0.01,NA,-0.09,5,NA
it,Italian,1.138241060302592,1.138241060302592,1.0230855124499871,1.0230855124499871,0.06615158987682279,0.1400232681122743,0.40866005055451493,1.828649138712602,0.023113577002250835,0.24953769134306966,0.719,0.719,0.79,0.79,3.3968645281782988,7.725383920505871,2.2371794871794872,0.3610366398570152,45.5,0.509848315,0.73,32.1,0.19,0.47,0.15,0.28,0.24,5.8,NA
ja,Japanese,1.0546671813815027,1.0546671813815027,0.8501610755919237,0.8501610755919237,0.050358456984215226,-0.03227088213626216,0.3918712869254249,1.5106557377049181,0.01836381250227054,-0.05750266994216911,0.66,0.66,0.798,0.798,3.322169984984382,7.026916802610114,1.760522496371553,0.4260591526778577,47.3,0.064295678,0.67,NA,0.15,0.45,0.21,0.33,0.45,5.9,NA
ko,Korean,1.0462100825606075,1.0462100825606075,0.8399662689512287,0.8399662689512287,-0.019377720173941092,-0.08573724880028401,0.36720867205662905,1.4207920792079207,-0.0067897759912092905,-0.14513662556481793,0.649,0.649,0.8,0.8,3.244591214873555,6.884297520661157,2.352705410821643,0.3703271028037383,41.8,0.252784967,0.65,26.9,-0.1,0.49,-0.03,0.32,0.27,5.8,NA
ms,Malay,0.9316727026759108,0.9316727026759108,0.753647783620021,0.753647783620021,-0.10469469561229501,-0.006404654034204008,0.33925143622059883,1.5536332179930796,-0.03730837089910125,-0.013190946044896741,0.666,0.666,0.665,0.665,3.204393549596736,6.797968397291196,2.661290322580645,0.3087248322147651,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nl,Dutch,1.1928239222170607,1.1889136281385255,1.07848569242185,1.0672246989040695,0.10699734086886484,0.09579393046618881,0.42088733500117703,1.7277677872995698,0.0376464824759576,0.15487178450850292,0.7532105366620798,0.7505,0.8519712993906035,0.85,3.3623932697273364,8.283364338577265,1.8929675196330238,0.3691131105136042,42,0.68326075,0.765,19.45,0.08,0.485,0.215,0.25,0.20500000000000002,7.1,NA
no,Norwegian,1.036192916616594,1.036192916616594,0.9687159345666464,0.9687159345666464,-0.07330492010834869,-0.21295849664812883,0.35564896131295254,1.2868852459016393,-0.02488904099189761,-0.28222984635285137,0.842,0.842,0.879,0.879,3.296120761226028,7.377049180327869,2.024489795918367,0.359501100513573,39.2,NA,0.85,20.3,0.03,0.85,0.18,0.22,0.22,7.6,NA
pl,Polish,1.032822104644008,1.032822104644008,0.9829182260486888,0.9829182260486888,-0.05281260761644264,-0.011034413583039682,0.3641476038620612,1.5526717557251908,-0.018413892335506016,-0.017421234249828627,0.727,0.727,0.799,0.799,3.2958245031140554,7.812971342383107,2.2670454545454546,0.3323397913561848,40.7,0.070637956,0.72,26.9,0.07,0.61,-0.01,0.17,-0.1,6,NA
pt,Portuguese,1.0863341885517614,1.0392351268515865,0.8950087884396422,0.9053370375171736,-0.006410524711009419,-0.08217358472764244,0.3724377010818152,1.4455348030210247,-0.0015605538342918848,-0.13102922551934837,0.6967424412094065,0.712,0.7052530795072789,0.7495,3.3189652087100607,8.095094611271081,2.199240794941867,0.41793958723002894,37.1,0.538820057,0.71,28.1,0.08,0.37,0.09,0.2,0.02,6.05,NA
ro,Romanian,1.1628195899429048,1.1628195899429048,0.907627546584009,0.907627546584009,0.023678770121044457,0.02652311994163435,0.38582911789729324,1.60167714884696,0.008020935200705346,0.04677012859673252,0.69,0.69,0.739,0.739,3.2152853801661267,7.29559748427673,2.166153846153846,0.28865979381443296,41.1,NA,0.69,32.6,-0.08,0.03,0,NA,-0.07,5.8,NA
ru,Russian,1.0398483210427427,1.0398483210427427,1.0392917448471093,1.0392917448471093,0.007425184129069733,0.09606623522631871,0.3826570248883866,1.7225130890052356,0.0026838137637330167,0.15869689614794427,0.691,0.691,0.721,0.721,3.2828609676022165,7.974160206718346,2.0251256281407035,0.3638676844783715,39.6,0.211615022,0.69,NA,0.05,0.5,0.14,0.26,0.07,6,NA
sv,Swedish,1.0001870448003038,1.0001870448003038,0.9102586276332174,0.9102586276332174,-0.05830915456109869,-0.175952013987184,0.3572516242657206,1.324022346368715,-0.020624441137602145,-0.2554553155266269,0.815,0.815,0.854,0.854,3.364938242378117,7.57884885353299,1.8794117647058823,0.4271310724106325,41.2,0.821934025,0.82,23.4,-0.04,0.56,0.3,0.25,0.17,7.3,NA
