lang	language_code	complete	have_model	google_language_code
arabic	ar	1	1	ar
english	en	1	1	en
french	fr	1	1	fr
german	de	1	1	de
greek	el	1	1	el
hindustani	hiur	1	1	NA
italian	it	1	1	it
malayalam	ml	1	1	ml
portuguese	pt	1	1	pt
romanian	ro	1	1	ro
spanish	es	1	1	es
tamil	ta	1	1	ta
turkish	tr	1	1	tr
afrikaans	af		1	af
albanian	sq		1	sq
bengali	bn		1	bn
bulgarian	bg		1	bg
cantonese	zh_yue		1	NA
croatian	hr		1	hr
czech	cs		1	cs
dutch	nl		1	nl
estonian	et		1	et
finnish	fi		1	fi
hebrew	he		1	iw
hindi	hi	1	1	hi
hungarian	hu		1	hu
indonesian	id		1	id
kashmiri	ks		0	NA
khowar	NA		0	NA
konkani	gom		1	NA
latvian	lv		1	lb
lithuanian	lt		1	lt
macedonian	mk		1	mk
malay-indonesian	ms		1	ms
norwegian	no		1	no
polish	pl		1	pl
punjabi	pnb		1	pa
russian	ru		1	ru
serbian	sr		1	sr
serbo-croatian	sh		1	NA
swahili	sw		1	sw
swedish	sv		1	sv
tagalog	tl		1	tl
telugu	te		1	te
thai	th		1	th
ukrainian	uk		1	uk
mandarin	zh		1	zh-cn
