per_women_stem,country_code,self_efficacy_diff_sg,intra_indv_diff_sg,genderdif_fh,language_code,language_name,lang_es_sub,lang_es_wiki,gdp_2017,es_iat_sex_age_order_implicit_resid,country_name
24.5,AU,0.2,0.53,1.816303014755249,en,English,0.6024799736072142,0.6318636760358308,53793.5372560884,-6.658024779997891e-4,Australia
22,AT,0.22,0.52,1.702925205230713,de,German,0.992986925106306,0.6739625897709844,47380.8296365373,0.02681552081330119,Austria
18.7,BE,0.22,0.46,NA,nl,Dutch,0.5579296515199147,0.8091716142918051,43467.445895672,0.0351078423700635,Belgium
24.8,BR,0.06,0.26,-0.5548827052116394,pt,Portuguese,0.5348206706205818,0.40094139264450024,9812.27853101845,0.03221032239677631,Brazil
NA,CN,0.05,0.53,0.3491724729537964,zh,Chinese,NA,0.5351155194480434,8826.99409574835,0.011589285507841628,China
NA,CA,0.21,0.39,2.1852142810821533,en,English,0.6024799736072142,0.6318636760358308,44870.7761570967,-0.009377546053027843,Canada
NA,TW,0.05,0.61,NA,zh,Chinese,NA,0.5351155194480434,NA,-0.012636066471611597,Taiwan
29.7,CO,0.03,0.59,0.0016936376923695207,es,Spanish,0.2671657876925714,0.22224175277361607,6408.92001169297,-0.049774528887970244,Colombia
27.2,HR,0.15,0.49,-0.02005704864859581,hr,Croatian,0.3020231090760247,-0.24120530377207494,13386.512859434,0.006843921634415922,Croatia
29.3,DK,0.3,0.44,NA,da,Danish,1.2042953172398156,0.8529126320382712,57218.8519619271,0.0275685054556807,Denmark
20,FI,0.22,0.39,1.4168535470962524,fi,Finnish,0.5106173735150114,0.18935989962689492,45804.6542078846,-0.0012318740502568653,Finland
25.6,FR,0.27,0.45,0.3890745937824249,fr,French,0.3365737916402037,0.3378306029011467,38484.1899236567,-0.006405966233272553,France
26.9,DE,0.31,0.38,0.7051438093185425,de,German,0.992986925106306,0.6739625897709844,44665.5063657981,0.019921716387100556,Germany
35.5,ID,-0.01,0.34,-0.22633343935012817,id,Indonesian,0.5408289970801315,-0.12378950346358272,3846.41570922305,-0.053660942824779304,Indonesia
23.9,IE,0.2,0.33,NA,en,English,0.6024799736072142,0.6318636760358308,68885.4503790221,-0.009714483725814158,Ireland
NA,IL,0.13,0.35,0.31828492879867554,he,Hebrew,0.7519501953937823,0.4704146073229067,40543.5841665702,0.023339602498192974,Israel
32.1,IT,0.15,0.47,-0.23160511255264282,it,Italian,0.12446168054688916,0.6633728072961491,32110.0272619967,0.02312918217578112,Italy
NA,JP,0.21,0.45,0.8132173418998718,ja,Japanese,0.40119090688114456,0.0643881856540085,38430.2912440159,0.01837221713385687,Japan
26.9,KR,-0.03,0.49,-0.20565958321094513,ko,Korean,0.31419020750652094,0.26179782290171394,29742.8388613471,-0.0068116016621206435,South Korea
29.1,MX,0.01,0.52,-0.9509764909744263,es,Spanish,0.2671657876925714,0.22224175277361607,8910.33317708802,-0.024581332208243555,Mexico
20.2,NL,0.21,0.51,1.7962400913238525,nl,Dutch,0.5579296515199147,0.8091716142918051,48482.7662104389,0.04020139645042484,Netherlands
27,NZ,0.21,0.61,NA,en,English,0.6024799736072142,0.6318636760358308,42583.0847344584,-0.001794557100982362,New Zealand
20.3,NO,0.18,0.85,NA,no,Norwegian,0.9063098524567017,0.5910439521647035,75704.2486981247,-0.02489874767198652,Norway
26.9,PL,-0.01,0.61,0.6163380146026611,pl,Polish,-0.09698227604102083,-0.07770125423896067,13863.5484202763,-0.01842782150885679,Poland
32.6,RO,0,0.03,-0.3183911144733429,ro,Romanian,0.6639642204315502,0.585753239505771,10819.2440243784,0.007978577268914502,Romania
NA,SG,0.19,0.62,NA,zh,Chinese,NA,0.5351155194480434,57714.2966313778,-0.010433998796516089,Singapore
25,ES,0.21,0.35,0.27065685391426086,es,Spanish,0.2671657876925714,0.22224175277361607,28208.3004052718,-0.00871723867680852,Spain
23.4,SE,0.3,0.56,1.9244333505630493,sv,Swedish,0.3929363517259634,0.8219340280695795,53253.4766411192,-0.02060511444003361,Sweden
23,CH,0.2,0.43,1.4478119611740112,de,German,0.992986925106306,0.6739625897709844,80342.8463384363,0.012061109952287794,Switzerland
36.3,TR,-0.1,0.16,-0.45748400688171387,tr,Turkish,-0.0484223078192629,0.0952475823070029,10546.1525631603,-0.02918063525166718,Turkey
37.4,AE,0,0.13,-0.6597927212715149,ar,Arabic,-0.24156040854373365,0.6401106934261812,40698.8493360368,-0.025488311990359933,United Arab Emirates
29.4,GB,0.21,0.14,2.006613254547119,en,English,0.6024799736072142,0.6318636760358308,39953.573056328,0.003509909731479227,United Kingdom
24.6,US,0.19,0.48,2.101020336151123,en,English,0.6024799736072142,0.6318636760358308,59927.9302860566,5.37563470806575e-4,United States
NA,AF,NA,NA,-1.0837068557739258,fa,Persian,0.4418009470980321,0.49883581163000396,550.068458763852,-0.020319208107144795,Afghanistan
NA,AR,NA,NA,0.8144192099571228,es,Spanish,0.2671657876925714,0.22224175277361607,14398.3587709055,-0.011498493755402076,Argentina
NA,IN,NA,NA,-0.0981539934873581,hi,Hindi,NA,0.42007754201856345,1979.3643005306,-0.059543297161397744,India
NA,PH,NA,NA,-0.46737098693847656,tl,Tagalog,NA,-0.01629925562621509,2988.95270335802,-0.054758919631812696,Philippines
NA,MY,NA,NA,NA,ms,Malay,-0.2960500480216925,0.009029411441934046,9951.54415327241,-0.03734987682721718,Malaysia
