language_name,language_code,iso3,glottocode,30a,31a,32a,44a,Gender.n,Gender.Presence,source,wikipedia_grammar_type,X13
arabic,ar,arb,stan1318,NA,NA,NA,NA,NA,NA,wals/autotype,MF,NA
dutch; flemish,nl,nld,dutc1256,NA,NA,NA,3rd person singular only,NA,NA,wals/autotype,CN,NA
portuguese,pt,por,port1283,NA,NA,NA,NA,NA,NA,wals/autotype,MF,NA
danish,da,dan,dani1285,NA,NA,NA,NA,NA,NA,wals/autotype,CN,NA
italian,it,ita,ital1282,NA,NA,NA,3rd person singular only,NA,NA,wals/autotype,MF,NA
japanese,ja,jpn,nucl1643,NA,NA,NA,"3rd person only, but also non-singular",NA,FALSE,wals/autotype,none,NA
korean,ko,kor,kore1280,NA,NA,NA,3rd person singular only,NA,FALSE,wals/autotype,none,NA
malay,ms,zsm,stan1306,NA,NA,NA,NA,NA,NA,wals/autotype,none,NA
norwegian,no,nor,norw1258,NA,NA,NA,NA,NA,NA,wals/autotype,CN,NA
polish,pl,pol,poli1260,NA,NA,NA,"3rd person only, but also non-singular",NA,NA,wals/autotype,MFN,NA
swedish,sv,swe,swed1254,NA,NA,NA,NA,NA,NA,wals/autotype,MFN,NA
persian,fa,pes,west2369,None,No gender,No gender,3rd person singular only,NA,FALSE,wals/autotype,none,NA
chinese,zh,cmn,mand1415,None,No gender,No gender,3rd person singular only,NA,FALSE,wals/autotype,none,NA
finnish,fi,fin,finn1318,None,No gender,No gender,No gender distinctions,NA,FALSE,wals/autotype,none,NA
indonesian,id,ind,indo1316,None,No gender,No gender,No gender distinctions,NA,NA,wals/autotype,none,NA
turkish,tr,tur,nucl1301,None,No gender,No gender,No gender distinctions,NA,FALSE,wals/autotype,none,NA
english,en,eng,stan1293,Three,Sex-based,Semantic,3rd person singular only,NA,NA,wals/autotype,none,NA
spanish; castilian,es,spa,stan1288,Two,Sex-based,Semantic and formal,In 3rd person + 1st and/or 2nd person,2,TRUE,wals/autotype,MF,NA
german,de,deu,stan1295,Three,Sex-based,Semantic and formal,3rd person singular only,3,TRUE,wals/autotype,MFN,NA
russian,ru,rus,russ1263,Three,Sex-based,Semantic and formal,3rd person singular only,3,TRUE,wals/autotype,MFN,NA
french,fr,fra,stan1290,Two,Sex-based,Semantic and formal,3rd person singular only,NA,NA,wals/autotype,MF,NA
greek,el,gre,NA,NA,NA,NA,NA,NA,NA,NA,MFN,NA
hebrew,he,NA,NA,NA,NA,NA,NA,NA,NA,NA,MF,NA
croatian,hr,NA,NA,NA,NA,NA,NA,NA,NA,NA,MFN,NA
zulu,zu,NA,NA,NA,NA,NA,NA,NA,NA,NA,MF,unclear
tagalog,tl,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA
romanian,ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,MFN,NA
thai,th,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA
hindi,hi,NA,NA,NA,NA,NA,NA,NA,NA,NA,MF,NA
hungarian,hu,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA
vietnamese,vi,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA
