language_code,mean_prop_overlap_occs,native_translator,mean_prop_distinct_occs,median_country_age,prop_male,log_age,es_iat_sex_age_order_explicit_resid,es_iat_sex_age_order_implicit_resid,per_women_stem_2012_2017,n_participants,lang_es_sub,lang_es_wiki
ro,-1.66050610399645,nonnative,1.66050610399645,0.6080374273063367,-0.9968631098804471,-1.1172370371377025,0.3625779998622305,0.5593463920487513,1.037593764864689,-0.2415101916927205,0.6525922099809324,0.6688166452409092
pt,-1.5208792611979818,native,1.5208792611979816,-0.6121494122601875,1.7164731648819649,1.040696545390431,-0.72186090623328,1.432638322322685,-1.3879341221098989,-0.19425032462624442,0.31199353939866326,0.08877406564939631
de,-1.4859725504983645,native,1.4859725504983647,1.0639314113202025,0.4128291562604225,1.1252879831720695,1.6254999521220757,0.9781529409127969,-0.5489413650115706,-0.14115344941682115,1.5203451559672947,0.9456667495003669
es,-1.3812524183995136,native,1.3812524183995134,-0.4545978148436312,0.29039434801388436,0.018808149429660147,-0.497096852966521,-0.5802652770108712,-0.27838529787923877,-0.22606367724625648,-0.39391006502890036,-0.47208500179225743
he,-1.3812524183995136,native,1.3812524183995134,-0.8937309906216933,0.47872354785851584,1.3269003765280232,0.9165573504455347,1.1129449588329046,NaN,-0.2277302094007059,0.8846433356150506,0.3068197339275081
pl,-1.2416255756010453,native,1.2416255756010455,0.5544028409517644,-0.42267002777526663,-0.0026549163063348696,-0.0019325880193006538,-0.3923182461579305,-0.3735241458716554,-0.23210796550791632,-1.3543014015247083,-1.4134733298284379
hr,-0.997278600703726,native,0.997278600703726,0.8628017124905558,-2.056992801939754,-1.7094963390785374,-1.820179904084874,0.5184543471704757,-0.06011467068018028,-0.23544102981681514,-0.3019785876872828,-1.9266401655889038
it,-0.6831182044071724,nonnative,0.6831182044071724,1.1980178772066339,-0.03746126832003273,1.3956394939490389,1.5192659332269758,1.1053615855117391,0.20826626416253877,-0.21002019605790012,-0.7702728741013899,0.9124301099215884
fr,-0.403864518810236,native,0.40386451881023605,0.6482633670722657,-0.007639839686488278,0.8317461994769114,0.38644955755644494,0.04093941414229642,-0.2784313933737025,-0.13087235552867546,-0.2108558288170611,-0.1093027671105265
nl,-0.2991443867113849,native,0.299144386711385,0.7287152466041246,0.06370443580757085,0.9185912353425931,0.9799836575014643,1.6288462562865185,-1.783771461607675,-0.1396278677430963,0.37294035543666676,1.3700280266536669
da,-0.01989070111444847,native,0.01989070111444862,0.7555325397814112,0.4421077325999069,0.871179744947031,0.010859167755138099,1.265351102393704,-0.5436276185238278,-0.21390047988020028,2.0776425010449,1.5073117192227021
sv,0.08482943098440295,nonnative,-0.08482943098440278,0.62144607389498,0.8768945025031701,0.9538111497238176,-1.3561075179215256,-0.47078607159130964,-0.12896782392436376,-0.15753686999986619,-0.0622071888817154,1.410083594168402
no,0.4571676784469848,nonnative,-0.4571676784469846,0.3532731421221176,-0.054572866351644725,0.001445004113329769,-1.509641460270059,-0.625525040379371,-1.2623221965253277,-0.19793161953458047,1.2917460834032335,0.6854218503220983
en,0.5735233807790415,native,-0.5735233807790413,0.33092539780771174,-0.44090354892468747,0.7876841909862349,-0.054069595796187336,0.16666133792135648,-0.7266503195452899,4.795139665676603,0.49043581300428396,0.8135368945389079
ja,0.7131502235775099,nonnative,-0.7131502235775097,1.4393735158022096,0.8884388923138374,0.3619405992959171,-0.22929064188927178,0.933924523847901,NaN,-0.20375204526803067,-0.04043691451479593,-0.9675174744654524
ko,0.8454282851760586,native,-0.8454282851760583,0.701897953426838,0.07236868343334725,-0.71167315457522,-0.7293475607471926,0.026320650830902122,0.06314050600031763,-0.22295447546556726,-0.26988950885727947,-0.34793600731341445
zh,0.8454282851760586,native,-0.8454282851760583,0.12867831176234473,-0.1770188439291532,-0.7077073153790754,0.34581133429086824,0.27172936947012366,1.6128314723557329,-0.1872857126375006,NA,0.5098872569697916
fi,0.8527770663759779,nonnative,-0.8527770663759777,0.7957584795473402,-0.18375211076132453,-0.10977658565180458,-1.0143629545786759,0.22740939086409884,-0.4387870150011576,-0.20847803197467826,0.24816061216434598,-0.5752865835355021
hi,0.8527770663759779,nonnative,-0.8527770663759777,-1.1619039223945558,2.8422468981584603,1.0622342320625353,0.29795537971293995,-1.8740857749626834,2.3999831889123877,-0.049485889717354584,NA,0.14883396784123043
tr,0.8876837770755952,nonnative,-0.8876837770755949,-0.759644524735262,-0.9405936717435267,-1.326807859628856,-1.1184249662286239,-0.7798407056335334,-0.007693819508898886,-0.231560745994515,-1.2262310438176656,-0.870663488407529
ar,0.9924039091744463,nonnative,-0.992403909174446,-0.8400964042671205,0.04153700623636756,-0.9401793248572717,2.206267207210787,-0.6467724478152044,0.7078163051913152,-0.23653546884361776,-1.7356066993717154,0.8394206315518589
fa,0.9924039091744463,nonnative,-0.992403909174446,-2.3820907619610794,-1.270563563970495,-1.1153617204056188,0.38084117982067994,-0.46048224526726445,NaN,-0.22250675040914802,0.0666665817915261,0.39602131348729136
id,0.9924039091744463,nonnative,-0.992403909174446,-0.8535050508557638,0.5210486738497176,-1.4552961596388934,0.5827292064130956,-1.662090619596255,-0.31309102969485914,-0.2454899699720027,0.3278396889550471,-1.5581239429959672
ms,0.9924039091744463,native,-0.992403909174446,-1.0814520428626968,-0.736077186210257,-1.2679692424488544,0.021151168774405524,-1.0742533740873321,1.482262001065032,-0.22131281692536336,-1.87931576415943,-1.1412641619334887
