fips_country_code,country_name,lang,lang_clean,percent_clean,lang_info,n,percent
us,United States,English ,English ,79,English 79.2,1,79
us,United States, Spanish , Spanish ,12, Spanish 12.9,2,12
us,United States, other Indo-European ,NA,NA, other Indo-European 3.8,3,3
us,United States, Asian and Pacific island ,NA,NA, Asian and Pacific island 3.3,4,3
us,United States, other  ( est),NA,NA, other 0.9 (2011 est.),5,0
ca,Canada,English (official) ,English,58,English (official) 58.7,1,58
ca,Canada, French (official) ,French,22, French (official) 22,2,22
ca,Canada, Punjabi , Punjabi ,1, Punjabi 1.4,3,1
ca,Canada, Italian , Italian ,1, Italian 1.3,4,1
ca,Canada, Spanish , Spanish ,1, Spanish 1.3,5,1
ca,Canada, German , German ,1, German 1.3,6,1
ca,Canada, Cantonese , Cantonese ,1, Cantonese 1.2,7,1
ca,Canada, Tagalog , Tagalog ,1, Tagalog 1.2,8,1
ca,Canada, Arabic , Arabic ,1, Arabic 1.1,9,1
ca,Canada, other  ( est),NA,NA, other 10.5 (2011 est.),10,10
as,Australia,English ,English ,76,English 76.8,1,76
as,Australia, Mandarin , Chinese ,1, Mandarin 1.6,2,1
as,Australia, Italian , Italian ,1, Italian 1.4,3,1
as,Australia, Arabic , Arabic ,1, Arabic 1.3,4,1
as,Australia, Greek , Greek ,1, Greek 1.2,5,1
as,Australia, Cantonese , Cantonese ,1, Cantonese 1.2,6,1
as,Australia, Vietnamese , Vietnamese ,1, Vietnamese 1.1,7,1
as,Australia, other ,NA,NA, other 10.4,8,10
as,Australia, unspecified  ( est),NA,NA, unspecified 5 (2011 est.),9,5
in,India,Hindi ,Hindi ,41,Hindi 41,1,41
in,India, Bengali , Bengali ,8, Bengali 8.1,2,8
in,India, Telugu , Telugu ,7, Telugu 7.2,3,7
in,India, Marathi , Marathi ,7, Marathi 7,4,7
in,India, Tamil , Tamil ,5, Tamil 5.9,5,5
in,India, Urdu , Urdu ,5, Urdu 5,6,5
in,India, Gujarati , Gujarati ,4, Gujarati 4.5,7,4
in,India, Kannada , Kannada ,3, Kannada 3.7,8,3
in,India, Malayalam , Malayalam ,3, Malayalam 3.2,9,3
in,India, Oriya , Oriya ,3, Oriya 3.2,10,3
in,India, Punjabi , Punjabi ,2, Punjabi 2.8,11,2
in,India, Assamese , Assamese ,1, Assamese 1.3,12,1
in,India, Maithili , Maithili ,1, Maithili 1.2,13,1
in,India, other , other ,5, other 5.9,14,5
gm,Germany,German (official),German,100,German (official),1,NA
nl,Netherlands,Dutch (official),Dutch,100,Dutch (official),1,NA
nz,New Zealand,English (de facto official) ,English,89,English (de facto official) 89.8,1,89
nz,New Zealand, Maori (de jure official) , Maori,3, Maori (de jure official) 3.5,2,3
nz,New Zealand, Samoan , Samoan ,2, Samoan 2,3,2
nz,New Zealand, Hindi , Hindi ,1, Hindi 1.6,4,1
nz,New Zealand, French , French ,1, French 1.2,5,1
nz,New Zealand, Northern Chinese ,Chinese ,1, Northern Chinese 1.2,6,1
nz,New Zealand, Yue , Yue ,1, Yue 1,7,1
