language_code,test,bias_type,sYXab
ar,WEAT_6,gender-bias-career-family,0.2525681290127437
da,WEAT_6,gender-bias-career-family,0.4131697862235228
de,WEAT_6,gender-bias-career-family,0.7113822023423092
es,WEAT_6,gender-bias-career-family,0.32414508768698247
fa,WEAT_6,gender-bias-career-family,1.0678309915611877
fi,WEAT_6,gender-bias-career-family,0.4141397980048066
fr,WEAT_6,gender-bias-career-family,0.5111328162284675
he,WEAT_6,gender-bias-career-family,0.1552273982912411
id,WEAT_6,gender-bias-career-family,-0.39823966102702973
it,WEAT_6,gender-bias-career-family,0.7119374760007744
ja,WEAT_6,gender-bias-career-family,-0.3669242291446006
ko,WEAT_6,gender-bias-career-family,0.09586054232198749
ms,WEAT_6,gender-bias-career-family,0.17050718269309145
nl,WEAT_6,gender-bias-career-family,0.7111178624357966
pl,WEAT_6,gender-bias-career-family,-0.3515421621123929
pt,WEAT_6,gender-bias-career-family,0.4563646420866898
ro,WEAT_6,gender-bias-career-family,0.5515582171466181
ru,WEAT_6,gender-bias-career-family,-0.23453771142952698
sv,WEAT_6,gender-bias-career-family,0.7322079334622382
tr,WEAT_6,gender-bias-career-family,0.1800094132715008
zh,WEAT_6,gender-bias-career-family,0.5297190771561266
