wiki_language_code,language_name,es_behavioral_iat_weighted,es_behavioral_iat,es_hand_translation
ar,Arabic,1.016983238373305,1.016983238373305,0.56328376
da,Danish,1.1580336819688635,1.1580336819688635,0.91898549
de,German,1.1351087105822057,1.1263914977449059,0.850919918
el,Greek,1.066939170908174,1.0696365688476206,NA
en,English,1.0854746751135456,1.0666771021452655,0.631863669
es,Spanish,1.00675856501597,1.0019825745133888,0.658171834
fa,Persian,1.0001551085043703,1.0001551085043703,0.404804745
fi,Finnish,1.0427063288778553,1.0427063288778553,0.1893599
fr,French,1.0582860793202673,1.0582860793202673,0.124394608
he,Hebrew,1.0973154740007893,1.0973154740007893,0.428798097
hi,Hindi,0.865473078644486,0.865473078644486,NA
hr,Croatian,1.0950739128077334,1.0950739128077334,NA
hu,Hungarian,1.168057789410422,1.168057789410422,NA
id,Indonesian,0.9483963255106217,0.9483963255106217,0.175626267
it,Italian,1.138241060302592,1.138241060302592,0.509848315
ja,Japanese,1.0546671813815027,1.0546671813815027,0.064295678
ko,Korean,1.0462100825606075,1.0462100825606075,0.252784967
ms,Malay,0.9316727026759108,0.9316727026759108,NA
nl,Dutch,1.1928239222170607,1.1889136281385255,0.68326075
no,Norwegian,1.036192916616594,1.036192916616594,NA
pl,Polish,1.032822104644008,1.032822104644008,0.070637956
pt,Portuguese,1.0863341885517614,1.0392351268515865,0.538820057
ro,Romanian,1.1628195899429048,1.1628195899429048,NA
ru,Russian,1.0398483210427427,1.0398483210427427,0.211615022
sv,Swedish,1.0001870448003038,1.0001870448003038,0.821934025
th,Thai,0.994277363544489,0.994277363544489,NA
tl,Tagalog,0.9390454148718422,0.9390454148718422,NA
tr,Turkish,1.0237646906679112,1.0237646906679112,0.085980971
vi,Vietnamese,0.9381183665741428,0.9381183665741428,NA
zh,Chinese,1.0642185558767685,1.0653030715976077,0.535115517
zu,Zulu,1.02882730863355,1.02882730863355,NA
