word,maleness_embedding_sub,maleness_embedding_wiki,maleness_norm
abattoir,0.023301389468871753,0.01447259412505486,5.4545
abbey,-0.00809992242945276,-0.0068891502003132765,3.2813
abbreviate,-0.010875359431275072,0.0026369598170055963,3.9333
abdicate,0.03320428070856124,0.05909684876386667,5.1667
abdication,0.032158821358744816,0.055844992288579365,4.6154
abdomen,-0.03559202028732669,-0.026362673996334074,4.6176
abdominal,-0.024170043376248007,-0.03752502955102066,4.2424
abduct,-0.041613520301515466,-0.044525838873755386,5
abducted,-0.06433658973241824,-0.05425580309505584,4.5625
abduction,-0.04403291515634156,-0.051932674644362575,4.6857
aberration,8.534618701491192e-4,0.02446551914259562,4.32
abide,0.014614946369966159,0.012418151828423013,4.0606
ability,0.029524860217819415,0.007026194213310105,4.2059
able,0.04439882377871118,0.01120382596684516,3.6471
abode,0.011426656674947105,0.009401731206164443,3.5667
abortion,-0.08180623851182411,-0.10488426659501823,2.6176
abroad,1.1491456263826305e-4,0.024550490366269523,3.8788
abrupt,0.009424383206738274,0.016464505382462635,4.6
absorb,0.02254801530628718,-0.004202368801765388,3.7692
abstract,-0.026534854099697247,-0.014566889392634397,3.7647
absurd,-0.03108080274701938,0.024958956732658827,4.1071
absurdly,0.017022810138097783,0.018634178475291724,4
abundance,0.004481585275530137,0.0054561505618854755,3.5882
abundant,0.004481060147412286,0.011934881114319285,3.8824
abuse,-0.0032194229754548,-0.011750640921355665,5.0606
abuser,0.030848408819775908,-0.013878282622111437,5.5714
abyss,-0.004445192870669468,0.0300004613829222,4.3438
academic,-0.003115212405849249,-0.009068177243827719,4.303
accelerate,0.0506634141415267,0.0062927274135588795,4.8824
accent,-0.019445127580531185,0.00707981036017899,3.8529
accept,0.0117853013658544,0.00949616141487672,3.25
acceptance,-0.008217256009128648,0.006514678645599403,3.1471
access,0.01302343237795503,-0.03804037476013948,3.9412
accident,0.005263202543301038,-0.0036905343829075066,4.1212
accidental,9.117953229774434e-4,2.9920117912399236e-4,3.9394
accordion,0.027799009099783445,0.020795590185451684,4.1563
accountant,0.039186310622857934,0.025195775175652968,4.9643
accuse,0.0181767059049609,0.01030390250969837,4.1111
accused,0.019644287595677434,0.023917499268892972,4.6774
ace,0.10388773601643092,0.024342022892147375,4.4615
ache,-4.283429855317378e-5,-0.024234765609498388,3.9355
aches,2.7555590527311713e-4,-0.007672404982145359,3.8519
achieve,0.03458009702903145,0.008775802384944131,3.9615
achieved,0.03256000187607433,3.0221014184159123e-4,3.9394
achievement,0.02430516781935374,0.02440730483834133,3.9355
acorn,0.03709869571319918,-0.03343665866011605,3.68
acquire,0.043937687840218786,0.0020137121513725265,4.1613
acrobat,-0.01902647113786568,0.0023085887301068364,3.5313
activate,0.0244163936397373,-0.02294396575622247,4.1613
active,0.019981814660953473,-0.010723234694186706,4.2
activity,-0.007988388672151875,0.00665643103549321,4.0313
actor,0.05450314997627853,0.07480444219056559,5.75
actress,-0.15469107832659756,-0.18262064547919254,1.303
actual,0.0142000278167847,0.02875904420369524,4.1176
actually,0.0016456041800207988,-7.620596769010723e-4,3.0882
acute,-0.020539192900699277,-0.0025298462462081256,3.6061
adage,0.03801602276254562,0.037602697127228774,4.0588
adapt,0.025604483532407463,-2.4808653569274863e-4,3.8182
add,-0.019346694463764053,-0.024335219296357957,4.1176
addict,-0.013370054495663364,-0.03261708747968489,4.8857
addicted,-0.012653103074004135,-0.04418107801401133,5
addition,0.018892346276708438,5.477575707455717e-4,3.7879
address,-0.013529917485902654,0.01018894327899128,3.9411666666666667
adequate,0.006384867987712095,0.0034816587429003093,4.0556
adjective,-0.020493149377189213,-0.01818719972284563,3.7188
adjust,0.022648007794913633,-0.0183293375434586,3.8788
admiral,0.05261186093135137,0.025523154700887035,6.0313
admire,0.002879569529013276,0.013387185702117416,3.125
admired,-0.0019368232461723367,0.01707319247211303,3.303
adopt,-0.03009618313856896,-0.033794016951916556,2.6923
adorable,-0.07027360789548998,-0.06772762400326687,2.3448
adore,-0.05491123776411433,-0.07070678771415154,2.5714
adult,-0.029435637128862546,-0.08668984465907931,4.0968
adultery,-0.056680281726461834,-0.0608230968029681,4.3235
adults,-0.012344162180416063,-0.046575296889005385,4.3429
advanced,-0.002381103811483848,0.037226939062013006,4.0313
advantage,0.004140776989591866,0.030763095126935952,4.7407
adventure,0.01604659699624522,0.014143563933372572,4.8438
adverb,0.018936234428417437,-0.013581195281919367,4.0323
adverse,0.022531320348127187,-0.0023814519530502842,4.25
adversity,0.03960790544144677,0.03717969489323664,4.5357
advice,-0.0010234299445189277,0.012777049902475579,2.9063
advise,0.005832353160065973,0.015064721670483533,3.2
advisor,0.048700662285569074,0.0354936708800907,4.1765
advisors,0.055973291037820394,0.017937465801205338,4.0333
aeroplane,0.02203071118667474,0.011081723597394372,5.1471
afar,0.007423994914179777,-0.021275418451125128,3.7333
affair,-0.0711125310215962,-0.06078200827938429,4.2727
affect,-0.005917452739092138,-0.03113291811566772,3.6061
affection,-0.031373148032104725,-0.04963836084690176,1.7714
affectionate,-0.0561601676503547,-0.032987641131414,2.0909
afford,0.014565195347185644,-0.007756014076006429,4.4706
affordable,-0.012579531855335113,-0.02883190950281682,3.9394
afraid,0.00957965728140664,-0.009277107786116512,3.3529
after,0.04232286359068749,0.03955269838632425,4
afterlife,0.04116815963027237,-0.0195127672393611,3.8788
age,-0.012244677049204844,0.007521704157074094,3.9143
aged,0.017328998399944784,0.01803253991755338,4.4412
agent,0.030410891622595693,0.03269238652114878,4.8621
aggression,0.04745878352104374,0.025287644167010875,5.9667
aggressive,0.025450033226841695,0.024418159131541745,6.0741
agile,0.048726516129834835,0.030315115593579953,3.2813
agility,0.027386934617725844,0.024230594434025088,4.0857
agony,-0.043876236921550155,-0.009309614489181772,4.0625
agree,0.022800902140378415,0.008250842511866363,3.6364
agreement,0.03298463340414981,0.020052197065774324,3.4667
aid,0.049780192201463236,0.015173161437986027,3.7097
aim,0.07116988323876347,0.01650737512181913,4.4402
air,0.015800058004388134,-0.013034121889415218,3.4583
airplane,0.0210392932899838,0.011506848695427424,5.125
airport,0.01884119959434194,0.0025039071059511087,4.5
aisle,-0.02322221452781653,0.004855553732425161,3.3077
albatross,0.012512398711983369,-9.285379304968533e-5,4.6897
album,-9.264190898526092e-4,-0.029374947277771873,4.16
alcohol,0.0018862545509831519,-0.009154809103406908,4.5758
alcoholic,0.018283167648872528,-0.0246440384652461,5.2286
alert,-0.006578728505091086,-0.00796183635127444,4.32
algebra,-0.026433077737635147,-0.009704074853176578,4.6452
alien,-0.016548434233872644,-0.015239353337788447,4.8824
alimony,-0.0502015974155717,-0.0627742497625392,4.1538
alive,0.037464264190246566,-0.011757712625147965,3.4375
all,0.043096307731016026,0.01461527292431708,4
allergy,-0.028930580154130192,-0.03687821225850407,4
alley,0.04298260152336464,0.009668853242022435,4.4242
alligator,0.04149627388441418,-0.01344491558933339,5.1875
allow,0.049870996479260465,-0.005132127045185439,3.8788
allowed,0.04533627161700354,0.030921043895730027,3.9143
allure,-0.083082301339640785,-0.11998783052393783,2.8065
aloft,0.03525644225197268,-3.5011469484563795e-5,3.8889
alone,0.004174271189208767,-0.017772123761343794,3.8788
aloof,0.0015399382078510049,-0.009998757132064662,4.0625
aloud,-0.032085614837933124,-0.06673942252320439,3.9412
altar,0.02460019688290227,0.008892598359016096,4.24
alter,0.035901792205000393,-0.009360398032332629,3.4444
altitude,0.0247060829215405,-0.0011298444300964633,4.871
amateur,0.03840445271086612,0.03267119772725577,4.2857
amaze,0.023656856946095664,0.016406583998131302,3.2059
amazing,-0.027180926034434283,0.007209925246617538,3.3333
ambassador,0.0215844838673849,0.01064428885055474,5.3929
amber,-0.08082941988734638,-0.11864796870330727,2.8462
ambition,0.038979016435928215,0.02944569339804498,4.5
ambulance,0.017295801043003656,0.003131199773565435,4.5556
ammunition,0.06642853307187632,0.025913893725492104,5.7742000000000004
amount,-0.007938689439888458,-3.315709308145398e-4,4.1333
amphibian,0.01914087389019828,0.0014149151032587098,4
amplifier,0.02558880291653759,0.025789897446811205,4.5926
amplify,0.009949813928131851,0.001984921012195051,4.5
amputate,0.023657180772799047,-0.0031121015550280295,4.8438
amuse,0.0197910400754939,-0.0057180347816475074,3.8529
amusement,0.04188798624726364,0.03087608478836401,3.6286
amusing,0.04246773167750359,0.01466295928731215,4.0909
analogue,0.045277685670736784,-0.009737139088517241,4.3939
analyst,-0.015129317680904253,0.01463723724554894,4.5172
anchor,-0.008661123924905284,-0.07544959686814413,5.303
ancient,0.01941995582907144,-0.0021097591241448777,4.303
anecdote,0.020702787064253297,0.040143466222950064,4.1
angel,-0.0186911190773838,-0.0275466023939423,1.7576
anger,0.031930988494989654,0.02686069007895714,5
angle,0.02975737172821996,0.013889541845307218,4.2963
angry,0.009381459559346939,0.01653367568888714,5.4
anguish,-0.02335301496776554,-0.02200926543624432,3.8485
animal,0.01259640571207249,-0.029642349826960512,3.9697
animals,0.009417953949151625,-0.003806398962663937,3.7188
animosity,0.02490859543209989,0.048081780080315384,4.037
ankle,-0.006892822316269365,0.00950257236890753,3.6207
