word,language_code,female_target,male_target,male_score
athlete,da,0.20644558944459312,0.21105943903213523,0.0046138495875421015
athlete,de,NaN,NaN,NaN
athlete,en,0.24242962612823543,0.27053896947425515,0.028109343346019722
athlete,es,NaN,NaN,NaN
athlete,fa,NaN,NaN,NaN
athlete,fi,0.27204824051756293,0.2695390456313747,-0.0025091948861882263
athlete,fr,0.20510790088316985,0.1845697834821647,-0.02053811740100514
athlete,he,0.24055365178112964,0.22001254460176195,-0.02054110717936769
athlete,it,0.22505852410628754,0.27299019234247424,0.04793166823618669
athlete,ja,NaN,NaN,NaN
athlete,ko,0.16214054243313678,0.17884943463866704,0.016708892205530262
athlete,ms,0.20596883958007436,0.25205268082281673,0.04608384124274237
athlete,nl,0.24332639844492115,0.26612166179892016,0.02279526335399905
athlete,no,0.1787312503170968,0.19123229462614122,0.012501044309044418
athlete,pl,0.22441993777420582,0.22264139531645016,-0.0017785424577556885
athlete,pt,0.19474731183655788,0.2570264263019863,0.062279114465428415
athlete,tr,0.23208981556321695,0.25209861496976416,0.020008799406547206
author,da,0.2282522129095828,0.2056915950789796,-0.02256061783060319
author,de,NaN,NaN,NaN
author,en,0.2972324319517857,0.2982022262683692,9.697943165834499e-4
author,es,NaN,NaN,NaN
author,fa,NaN,NaN,NaN
author,fi,0.2253612262879691,0.21204316082942776,-0.013318065458541334
author,fr,0.17980323336705134,0.18872634381648118,0.008923110449429839
author,he,0.17707925908935443,0.13972423345891605,-0.037355025630438396
author,it,0.21156914055776618,0.1765633172398393,-0.035005823317926885
author,ja,NaN,NaN,NaN
author,ko,0.20041847697010762,0.21421560396300185,0.013797126992894232
author,ms,0.17303917278636038,0.19535928219686446,0.02232010941050408
author,nl,0.20926918023455365,0.17692757613693372,-0.032341604097619936
author,no,0.2377413753775287,0.25189388545515573,0.014152510077627023
author,pl,0.21914316914995718,0.18502030007415327,-0.034122869075803905
author,pt,0.1789617004709704,0.13353381427764838,-0.04542788619332203
author,tr,0.18653927081240526,0.19791227184722401,0.011373001034818753
baker,da,0.2148089103289355,0.1362516972287498,-0.07855721310018571
baker,de,NaN,NaN,NaN
baker,en,0.31653397286358803,0.31057114738931946,-0.005962825474268574
baker,es,NaN,NaN,NaN
baker,fa,NaN,NaN,NaN
baker,fi,0.196975991557499,0.20633193010341583,0.00935593854591682
baker,fr,0.23315595933723704,0.15466351183115734,-0.0784924475060797
baker,he,0.17782038958787935,0.17128309673036232,-0.00653729285751703
baker,it,0.2730541810320769,0.2532860043482789,-0.019768176683797975
baker,ja,NaN,NaN,NaN
baker,ko,NaN,NaN,NaN
baker,ms,NaN,NaN,NaN
baker,nl,0.19163997239456035,0.18599601591984,-0.005643956474720352
baker,no,0.18800071233423232,0.1710275127605577,-0.01697319957367463
baker,pl,0.271214382887037,0.22032729027013992,-0.05088709261689707
baker,pt,0.23250753262406207,0.20103516645759736,-0.031472366166464705
baker,tr,0.19322264177684745,0.1913335915806074,-0.0018890501962400552
cleaner,da,0.2737767129094253,0.17208815175501815,-0.10168856115440714
cleaner,de,NaN,NaN,NaN
cleaner,en,0.22348761023006972,0.2202727537215702,-0.0032148565084995084
cleaner,es,NaN,NaN,NaN
cleaner,fa,NaN,NaN,NaN
