word,language,word_form_type,translation_id,word_id,translation,translation_type
dancer,english,male_form,t1,w1,dancer,single
nurse,english,male_form,t1,w1,nurse,single
singer,english,male_form,t1,w1,singer,single
cleaner,english,male_form,t1,w1,cleaner,single
secretary,english,male_form,t1,w1,secretary,single
waiter,english,male_form,t1,w1,waiter,single
journalist,english,male_form,t1,w1,journalist,single
baker,english,male_form,t1,w1,baker,single
author,english,male_form,t1,w1,author,single
athlete,english,male_form,t1,w1,athlete,single
lawyer,english,male_form,t1,w1,lawyer,single
doctor/physician,english,male_form,t1,w1,doctor,single
professor,english,male_form,t1,w1,professor,single
governor,english,male_form,t1,w1,governor,single
judge,english,male_form,t1,w1,judge,single
sailor,english,male_form,t1,w1,sailor,single
postman/postwoman,english,male_form,t1,w1,postman,single
mechanic,english,male_form,t1,w1,mechanic,single
hunter,english,male_form,t1,w1,hunter,single
firefighter,english,male_form,t1,w1,firefighter,single
dancer,danish,male_form,t1,w1,danser,single
nurse,danish,male_form,t1,w1,sygeplejer,single
singer,danish,male_form,t1,w1,sanger,single
cleaner,danish,male_form,t1,w1,rengøringsdame,single
secretary,danish,male_form,t1,w1,sektratær,single
waiter,danish,male_form,t1,w1,tjener,single
journalist,danish,male_form,t1,w1,journalist,single
baker,danish,male_form,t1,w1,bager,single
author,danish,male_form,t1,w1,forfatter,single
athlete,danish,male_form,t1,w1,atlet,single
lawyer,danish,male_form,t1,w1,advokat,single
doctor/physician,danish,male_form,t1,w1,læge,single
professor,danish,male_form,t1,w1,professor,single
governor,danish,male_form,t1,w1,guvernør,single
judge,danish,male_form,t1,w1,dommer,single
sailor,danish,male_form,t1,w1,sejler,single
postman/postwoman,danish,male_form,t1,w1,postbud,single
mechanic,danish,male_form,t1,w1,mekaniker,single
hunter,danish,male_form,t1,w1,jæger,single
firefighter,danish,male_form,t1,w1,brandmand,single
dancer,spanish,male_form,t1,w1,el^bailarín(ina),single
nurse,spanish,male_form,t1,w1,el^enfermero,single
singer,spanish,male_form,t1,w1,el^cantante,single
cleaner,spanish,male_form,t1,w1,el^limpiador,single
secretary,spanish,male_form,t1,w1,el^secretario,single
waiter,spanish,male_form,t1,w1,el^camarero,single
journalist,spanish,male_form,t1,w1,el^periodista,single
baker,spanish,male_form,t1,w1,el^panadero,single
author,spanish,male_form,t1,w1,el^autor,single
athlete,spanish,male_form,t1,w1,el^atleta,single
lawyer,spanish,male_form,t1,w1,el^abogado,single
doctor/physician,spanish,male_form,t1,w1,el^doctor,single
professor,spanish,male_form,t1,w1,el^profesor,single
governor,spanish,male_form,t1,w1,el^gobernador,single
judge,spanish,male_form,t1,w1,el^juez,single
sailor,spanish,male_form,t1,w1,el^marinero,single
