country_code,per_women_stem_2012_2017
AL,14.348243333333333
DZ,26.76486
AD,1.95644
AO,9.86608
AG,1.79372
AR,11.48179
AM,8.353346666666667
AW,1.5204666666666666
AU,9.36934
AT,14.070693333333333
AZ,14.891617499999999
BH,12.198176666666667
BD,7.87596
BY,15.3961
BE,7.519704
BZ,5.860805
BJ,13.56324
BM,6.886315
BA,13.880646666666665
BR,8.6388475
VG,0
BN,18.72816
BG,13.55902
BF,12.473230000000001
BI,11.3703
CV,7.49251
KH,6.01601
CA,11.349274999999999
CL,6.652062
MO,2.13305
CO,14.126292
KM,0
CR,7.035376666666666
HR,14.6808725
CU,6.14935
CW,0
CY,12.358576
CZ,12.953016
KP,22.1555
CD,11.04341
DK,12.480726
DO,7.69016
EC,7.7399000000000004
EG,7.73353
SV,10.161470000000001
ER,10.92437
EE,16.07274
NA,0
FI,12.957786
FR,13.687458
GM,0
GE,15.617386666666667
GH,6.910183333333333
GR,19.4450475
GD,9.587025
GT,6.04763
GY,5.15988
HN,8.567815
HU,10.25751
IN,25.875145
ID,13.529744999999998
IR,32.81922
IE,12.278812
IT,15.902095999999998
KZ,15.08793
KE,11.19419
KI,0
KG,10.646247500000001
LA,6.1874075
LV,9.881748
LS,5.349175
LI,33.80282
LT,11.06272
LU,8.365142
MG,15.114880000000001
MY,21.699205
MV,0
MT,11.8701025
MR,23.106695000000002
MX,16.129925
MC,0
MN,11.91449
MA,16.787194999999997
MZ,4.579775
MM,47.33643
"NA",10.72047
NL,6.1556049999999995
NZ,11.63959
NE,6.949104999999999
NU,0
NO,9.210424
OM,38.055195
PS,12.2285975
PA,12.1211
PE,13.72022
PH,17.77721
PL,13.254754
PT,18.620314
PR,9.8674
QA,15.845196666666668
KR,15.241724999999999
MD,13.1157
RO,19.675815
RW,9.22185
SA,19.102373333333333
RS,17.810657499999998
SC,3.95671
SG,22.29334
SX,3.57143
SK,12.0438625
SI,13.429176
ZA,13.145153333333333
ES,13.012664000000001
SD,20.31223
SE,14.3675675
CH,10.8424
SY,19.24353
TH,14.537855
MK,15.0981975
TN,36.35086
TR,14.919405000000001
UA,14.000135
AE,18.175216666666667
GB,16.043052
US,9.207398
VN,16.40650666666667
ZW,17.88914
