language_code,language_name,family,n_participants,es_iat_sex_age_order_implicit_resid,es_iat_sex_age_order_explicit_resid,median_country_age,per_women_stem_2012_2017,lang_es_sub,lang_es_wiki,mean_prop_distinct_occs,subt_gender_diff_score_fm_abs,wiki_gender_diff_score_fm_abs,exclude_wiki_cc
ar,Arabic,Afro-Asiatic,581,-0.02548831199035993,0.3704220479014124,30.3,18.175216666666667,-0.24156041595844716,0.6401106941620707,0,0.04099030157486529,0.0550087878593237,NA
da,Danish,Indo-European,1036,0.0275685054556807,-0.0151305379441259,42.2,12.480726,1.204295326083782,0.8529126354993974,0.3625,0.06929068889149738,0.07086158578856948,NA
de,German,Indo-European,7495,0.01959944905089651,0.2684290183826774,44.5,12.456546666666666,0.9929869186996751,0.6739625933489081,0.8875,NA,0.09462212362208948,NA
en,English,Indo-European,610355,-0.00291748602592305,-0.02653318029264081,39.03333333333333,11.647911166666667,0.6024799683742811,0.6318636686962313,0.15000000000000002,0.04615010761272101,0.05107716476438463,NA
es,Spanish,Indo-European,3166,-0.0236428983821061,-0.10433662344867062,33.175,13.68766775,0.2671657841584817,0.222241753980418,0.85,0.04903513913295039,0.07107624187008149,NA
fa,Persian,Indo-European,863,-0.02031920810714479,0.04984486476214012,18.8,NaN,0.44180096053638807,0.49883581457930487,0,0.02410095839899974,0.03414672847274314,NA
fi,Finnish,Uralic,1145,-0.00123187405025686,-0.19517772426574545,42.5,12.957786,0.5106173615901288,0.1893599002507336,0.05000000000000004,0.0251657288872442,0.02516744107608684,NA
fr,French,Indo-European,2705,-0.00640596623327255,0.05082979535342962,41.4,13.687458,0.3365738053221108,0.33783060331684256,0.5,0.06130908378053795,0.05454937809034749,NA
he,Hebrew,Afro-Asiatic,758,0.02333960249819297,0.14392612489767995,29.9,NaN,0.7519501828522505,0.4704146082778281,0.85,0.06718636459049718,0.07753409565583565,NA
hi,Hindi,Indo-European,4341,-0.05954329716139774,0.03528864833809021,27.9,25.875145,NA,0.4200775457605744,0.05000000000000004,NA,0.04560773081876219,FALSE
hr,Croatian,Indo-European,603,0.00684392163441592,-0.33669347123245175,43,14.6808725,NA,0.0571556013810499,0.7125,NA,0.06878358256378483,NA
id,Indonesian,Austronesian,401,-0.0536609428247793,0.08529998258308912,30.2,13.529744999999998,0.5408289952796589,-0.12378950328769545,0,0.01873002103183635,0.01647180469188778,NA
it,Italian,Indo-European,1114,0.02312918217578112,0.24977244067426868,45.5,15.902095999999998,0.12446167471746548,0.6633727987251284,0.6,0.0512572502588021,0.07911636169341746,NA
ja,Japanese,Japonic,1240,0.01837221713385687,-0.05730510341655343,47.3,NaN,NA,0.06429567765517198,0.09999999999999998,NA,1.1254407384648462e-4,FALSE
ko,Korean,Koreanic,854,-0.00681160166212064,-0.1451239665484513,41.8,15.241724999999999,0.31419019539734994,0.2617978260892737,0.05263157894736847,0.02533725486915068,0.04580273280528376,NA
ms,Malay,Austronesian,887,-0.03734987682721718,-0.01332308004327602,28.5,21.699205,-0.2960500304763127,0.00902940628343985,0,0.03448014462579248,0.01336946938903609,NA
nl,Dutch,Indo-European,5058,0.03765461941024417,0.1550649092405259,42,6.837654499999999,0.557929645404257,0.8091716010577064,0.4625,0.05168177381556087,0.08189668237232954,NA
no,Norwegian,Indo-European,1357,-0.02489874767198652,-0.28215741330358574,39.2,9.210424,0.9063098306319188,0.5910439558154523,0.19166666666666665,0.06001097890690043,0.07474349798716036,NA
pl,Polish,Indo-European,670,-0.01842782150885679,-0.01737699711148976,40.7,13.254754,-0.09698227818876436,-0.07770125153581178,0.8,0.05956592433879518,0.07995702372367557,NA
pt,Portuguese,Indo-European,1431,0.03221032239677631,-0.14380917724491626,32,8.6388475,0.534820663051225,0.4009414037179108,0.9,0.04040832772809944,0.07697574523303422,NA
ro,Romanian,Indo-European,481,0.0079785772689145,0.04663752647595598,41.1,19.675815,0.6639642252268806,0.5857532252022704,0.95,0.0466287504463827,0.06200887629032683,NA
sv,Swedish,Indo-European,2169,-0.02060511444003361,-0.25519413020373233,41.2,14.3675675,0.3929363511887208,0.8219340249850059,0.32499999999999996,0.05220518236136919,0.06897204989449905,NA
tl,Filipino,Austronesian,961,-0.05475891963181269,-0.11953410677977584,23.5,17.77721,NA,-0.01629926316076026,0,NA,0.01432337092926311,FALSE
tr,Turkish,Turkic,681,-0.02918063525166718,-0.2134528589827861,30.9,14.919405000000001,-0.04842230350293412,0.09524758616481388,0.03749999999999998,0.01845308710391455,0.01641659409305993,NA
zh,Mandarin,Sino-Tibetan,6284,-0.00382692658676201,0.02887293823982623,37.56666666666667,22.29334,NA,0.535115517457758,0.05263157894736847,NA,0.00337635813320551,FALSE
