country_code,country_name,prop_male,log_age,education,overall_iat_D_score,order,explicit_dif,es_iat_sex_age_order_explicit_resid,es_iat_sex_age_order_implicit_resid,median_country_age,age_ci_lower,age_ci_upper,mean_age,per_women_stem_2012_2017,n_participants
AE,United Arab Emirates,0.36660929432013767,3.2280794781439375,1,0.34851267249437495,1.5025817555938037,1.9384885764499122,0.37042204790141237,-0.025488311990359933,30.3,26.128915662650602,27.76777108433735,26.91222030981067,18.175216666666667,581
AF,Afghanistan,0.2711471610660487,3.215420889575464,1,0.3634394131755461,1.5156431054461181,1.6132075471698113,0.049844864762140124,-0.020319208107144795,18.8,26.43893395133256,28.054895712630355,27.245654692931634,NA,863
AR,Argentina,0.4406779661016949,3.3513910772516593,1,0.36221579892217476,1.4915254237288136,1.3931297709923665,-0.18468091275752327,-0.011498493755402076,31.7,29.3370527306968,31.126224105461397,30.24482109227872,11.48179,531
AT,Austria,0.3706293706293706,3.3275559288338146,1,0.40785035660775065,1.5132867132867134,1.8276353276353277,0.25460600584569004,0.02681552081330119,44,28.836188811188812,30.386048951048952,29.643356643356643,14.070693333333333,715
AU,Australia,0.36847159636551674,3.426899475580185,1,0.38646539497223925,1.5070547388638547,1.5281763826606876,-0.05040634148897909,-6.658024779997891e-4,38.7,32.81900901233656,33.22643126246583,33.01728595700672,9.36934,13537
BE,Belgium,0.38287937743190664,3.364605344901887,1,0.4175844212813285,1.515953307392996,1.7379421221864952,0.1621379299387601,0.0351078423700635,41.4,30.304085603112842,31.523015564202336,30.89260700389105,7.519704,1285
BR,Brazil,0.48846960167714887,3.3712165357700417,1,0.4045774341776582,1.514325646401118,1.4363507779349363,-0.14380917724491626,0.03221032239677631,32,30.193466107617052,31.253266946191474,30.71069182389937,8.6388475,1431
CA,Canada,0.3013844023996308,3.3035319949552218,1,0.3763888450058014,1.5075219197046608,1.4654271593316075,-0.10379045636713327,-0.009377546053027843,42.2,29.158262574988463,29.485625288417168,29.316151361329027,11.349274999999999,21670
CH,Switzerland,0.4297520661157025,3.4524090988896634,1,0.3949276640153724,1.5082644628099173,1.863530507685142,0.28120959741304047,0.012061109952287794,42.4,32.95448806244261,33.85447658402204,33.40358126721763,10.8424,2178
CN,China,0.3289036544850498,3.23626561436172,1,0.38941714690805423,1.4980066445182725,1.705922165820643,0.13908561855172782,0.011589285507841628,37.4,26.560780730897008,27.211312292358805,26.893355481727575,NA,3010
CO,Colombia,0.3304157549234136,3.2148328952231373,1,0.325999039214537,1.4923413566739605,1.5200892857142858,-0.04592982048049982,-0.049774528887970244,30,25.356619256017506,27.076586433260395,26.201312910284464,14.126292,457
DE,Germany,0.3804867448935246,3.3520221791600795,1,0.40025097293192397,1.498696219035202,1.8445871153420412,0.26947145188930166,0.019921716387100556,47.1,29.77805845284659,30.328406127770535,30.043893959148196,NA,4602
DK,Denmark,0.39575289575289574,3.3589673401500124,1,0.4066142933794154,1.4961389961389961,1.5610948191593352,-0.015130537944125909,0.0275685054556807,42.2,29.897659266409267,31.185352316602316,30.52895752895753,12.480726,1036
ES,Spain,0.36640557006092256,3.354368814735584,1,0.37204432608152005,1.4865100087032201,1.3884444444444444,-0.18664395704266068,-0.00871723867680852,42.7,29.753698868581374,30.938250652741512,30.33420365535248,13.012664000000001,1149
FI,Finland,0.3502183406113537,3.2880839471365677,1,0.37919249207880307,1.5126637554585154,1.375,-0.19517772426574545,-0.0012318740502568653,42.5,27.556986899563316,28.555589519650653,28.041921397379912,12.957786,1145
FR,France,0.3630314232902033,3.356117892713585,1,0.37748442329937487,1.5160813308687615,1.625140712945591,0.05082979535342962,-0.006405966233272553,41.4,29.801072088724585,30.56496303142329,30.17818853974122,13.687458,2705
GB,UK,0.37161763466239567,3.427236733365211,1,0.3896100172970828,1.4988620079237966,1.5409162852376268,-0.03786222110033495,0.003509909731479227,40.5,32.79430055635168,33.09668717862261,32.944322683975386,16.043052,23726
HR,Croatia,0.21393034825870647,3.1724890317907484,1,0.39300466722253763,1.5107794361525704,1.2218487394957984,-0.33669347123245175,0.006843921634415922,43,23.895480928689885,24.73308457711443,24.296849087893865,14.6808725,603
ID,Indonesia,0.4014962593516209,3.190857404226154,1,0.31369041031696954,1.4937655860349128,1.6529562982005142,0.08529998258308912,-0.053660942824779304,30.2,24.987468827930172,26.882917705735657,25.91022443890274,13.529744999999998,401
IE,Ireland,0.3787339971550498,3.4202132740137707,1,0.3755907443164065,1.5028449502133712,1.5501443001443,-0.02858104783207869,-0.009714483725814158,36.8,31.83598862019915,32.56262446657183,32.185633001422474,12.278812,2812
IL,Israel,0.39841688654353563,3.391897475391579,1,0.40808291654568457,1.5382585751978892,1.7210884353741496,0.14392612489767995,0.023339602498192974,29.9,30.445877308707125,31.81929419525066,31.101583113456464,NA,758
IN,India,0.5703754895185441,3.3727728377799866,1,0.30468301743584986,1.5123243492282885,1.618824631233903,0.035288648338090214,-0.059543297161397744,27.9,30.101353374798435,30.619471319972355,30.35775167012209,25.875145,4341
IT,Italy,0.3608617594254937,3.3968645281782988,NaN,0.40980390527572086,1.5152603231597845,1.826047358834244,0.24977244067426868,0.02312918217578112,45.5,31.041225314183123,32.3818447037702,31.730700179533212,15.902095999999998,1114
JP,Japan,0.4282258064516129,3.322169984984382,1,0.39276920874797033,1.5064516129032257,1.518181818181818,-0.057305103416553434,0.01837221713385687,47.3,28.84804435483871,30.023407258064516,29.441129032258065,NA,1240
KR,Republic of Korea,0.36885245901639346,3.244591214873555,1,0.367275084214771,1.494145199063232,1.4243176178660049,-0.1451239665484513,-0.0068116016621206435,41.8,26.33814402810304,27.55389344262295,26.94145199063232,15.241724999999999,854
