country_name,es_behavioral_iat_simple,es_behavioral_explicit_simple,es_behavioral_iat_resid_simple,es_behavioral_explicit_resid_simple,participant_age,participant_education,participant_religosity,participant_sex,median_age,country_code,ggi
Afghanistan,0.3510946765667929,-0.8392857142857143,0.021778245122477453,0.049525771599672856,3.218719805376643,6.239488117001828,2.7132075471698114,0.2546583850931677,18.8,AF,NA
Argentina,0.3232735950490831,-0.578125,-0.01416770977395289,0.3201305919679334,3.23951797259774,7.126623376623376,2.2823529411764705,0.4338461538461538,31.7,AR,0.735
Australia,0.35921869140064433,-1.0942325874566656,0.020105016127936408,-0.19180590404366354,3.3163834443799955,6.997190547017022,2.3579545454545454,0.3770139634801289,38.7,AU,0.721
Austria,0.3639285913899241,-0.6617405582922824,0.025090532989545878,0.24056799384895372,3.3038854612955117,7.732838589981447,2.240875912408759,0.4057507987220447,44,AT,0.716
Belgium,0.3738002027932573,-0.5304247990815155,0.03488983833755707,0.36971602996923164,3.2612656314944695,7.719945355191257,2.2237762237762237,0.43673012318029114,41.4,BE,0.745
Brazil,0.36602596770817214,-0.7890995260663507,0.023305427601655267,0.11698828414856087,3.2867962083738815,7.688942891859052,2.352112676056338,0.5230414746543779,32,BR,0.687
Canada,0.3386830113993301,-0.7416283231083844,0.005333355499110286,0.15250195527114835,3.242347719650159,6.559801738380863,2.3829068083051665,0.3366862426590029,42.2,CA,0.731
China,0.44045042531661865,-1.6078028747433264,0.11187543746047897,-0.7216082076448941,3.1503877311214397,7.17208814270724,2.377906976744186,0.3389494549058474,37.4,CN,0.676
Denmark,0.3854045053314699,-1.046875,0.04344930589702868,-0.14082353681373866,3.3228523317388774,7.614441416893733,2.007142857142857,0.46387832699619774,42.2,DK,0.754
Finland,0.38857216098008546,-0.9095697980684812,0.049146753691836166,-0.006777133755139097,3.2979931177986574,7.121595330739299,1.8807339449541285,0.4375,42.5,FI,0.845
France,0.33589801696466176,-0.9775349119611415,-0.0061127601219723255,-0.07064736407038587,3.3455694787774646,9.114160948222084,2.191823899371069,0.43309859154929575,41.4,FR,0.755
Germany,0.389080075306573,-0.6961406936980948,0.04753360702335372,0.2089459137994149,3.3165904052425264,7.985334057577403,2.243412797992472,0.44295942720763726,47.1,DE,0.766
Hong Kong,0.4318447001302557,-0.7782101167315175,0.10053665937027668,0.1112390141582092,3.155116858546206,6.465665236051502,2.6526315789473682,0.4069097888675624,44.4,HK,NA
India,0.287542761698396,-1.0429208472686733,-0.05643039098493707,-0.13526402756605618,3.2884976290256382,8.823295454545455,2.284608770421324,0.564935064935065,27.9,IN,0.683
Ireland,0.3272548683445693,-1.0550747442958301,-0.013565771611239074,-0.15086260749407485,3.3285949011197977,7.464579901153212,2.125560538116592,0.40229885057471265,36.8,IE,0.797
Israel,0.3759501066544871,-0.5859106529209622,0.035860906830333474,0.31768842073501596,3.314629667199858,7.780684104627767,1.8745644599303135,0.41,29.9,IL,0.719
Italy,0.33718835056209245,-0.5755894590846047,-0.0043140992710676875,0.3300095151871185,3.3591662230960497,7.7254901960784315,2.4502923976608186,0.3669849931787176,45.5,IT,0.719
Japan,0.32191960700006034,-0.6979310344827586,-0.01972464319185799,0.20783091222597616,3.3134680721287855,7.088285229202038,2.1783783783783783,0.465954606141522,47.3,JP,0.66
Republic of Korea,0.373041909994607,-0.2764976958525346,0.04010639689328301,0.6151243528399044,3.1676773861968077,6.641203703703703,2.6823529411764704,0.4166666666666667,41.8,KR,0.649
Malaysia,0.28019428910939903,-1.005420054200542,-0.05146208868156685,-0.11400773720816237,3.1744869237841016,6.595041322314049,2.7091633466135456,0.4082687338501292,28.5,MY,0.666
Mexico,0.3173052225533366,-0.6274193548387097,-0.02223653341104053,0.27446082093448876,3.2621101102741217,7.125,2.546728971962617,0.4802527646129542,28.3,MX,0.7
Namibia,0.30259623841815586,-1.207837992949086,-0.02426732231268395,-0.32200137349528885,3.149408764202545,6.752486037324616,2.6582184122251213,0.3023099650819232,21.2,NA,NA
Netherlands,0.40155647829765106,-0.7590269859369061,0.06053951565676406,0.1460138553293934,3.350528078572047,8.139388865634157,2.322077922077922,0.3736588975212727,42.6,NL,0.756
New Zealand,0.37881749728076564,-1.0311438278595697,0.04462080163904943,-0.13547972192952826,3.2522584353899773,6.516928657799275,2.4791666666666665,0.35556780595369347,37.9,NZ,0.781
Norway,0.3724187035173371,0.01332346410066618,0.032197329627271155,0.9159095227539007,3.2899376362474175,7.240954580446497,2.3529411764705883,0.4422657952069717,39.2,NO,0.842
Philippines,0.28334975043279764,-0.7899628252788105,-0.04317382067916661,0.09428873064639583,3.1224494740309066,6.211350293542075,2.5911764705882354,0.3280141843971631,23.5,PH,0.786
Poland,0.37147876903706095,-0.5923694779116466,0.03917468706193284,0.30052269817896143,3.2265210909164397,7.3798076923076925,2.437956204379562,0.343811394891945,40.7,PL,0.727
Romania,0.46860435601899825,-0.9404761904761905,0.13658032100839815,-0.04932081465925887,3.2007339499672516,7.0476190476190474,2.321167883211679,0.34402332361516036,41.1,RO,0.69
Singapore,0.35980513894075045,-1.1925925925925926,0.029445313560073974,-0.304775078775177,3.1507177761500587,6.233218588640275,2.4980237154150196,0.3784,34.6,SG,0.712
South Africa,0.3328398983327487,-1.083657587548638,-0.006555649222139837,-0.1796505127010475,3.343322589922848,7.199556541019955,2.816326530612245,0.38269230769230766,27.1,ZA,0.764
