language_code,occupation,female_score,male_score,gender_diff_score
ar,athlete,0.16673295403684277,0.231296985686869,-0.06456403165002622
ar,author,0.16370429986718843,0.25885023384440614,-0.09514593397721771
ar,baker,0.22767864743317254,0.20366808418226917,0.024010563250903366
ar,cleaner,0.16932604034882798,0.20886158649762498,-0.03953554614879701
ar,dancer,0.25437495984549463,0.15418006723688088,0.10019489260861375
ar,doctor/physician,0.20594637138660013,0.2624575804237533,-0.05651120903715315
ar,firefighter,0.23168470265912172,0.25540589444715056,-0.02372119178802884
ar,governor,0.20479051614533975,0.26778888977095366,-0.06299837362561392
ar,hunter,0.2078709435898722,0.19157802392219267,0.01629291966767954
ar,journalist,0.19003884478507446,0.21314601384415013,-0.023107169059075672
ar,judge,0.17863346822081394,0.23958871948633256,-0.06095525126551862
ar,lawyer,0.26319518266087893,0.18416272163257758,0.07903246102830136
ar,mechanic,0.12809848838352947,0.16139029479472136,-0.03329180641119189
ar,nurse,0.26934890726742605,0.17042192413698393,0.09892698313044213
ar,postman/postwoman,0.20941165873560097,0.21057068738187454,-0.0011590286462735688
ar,professor,0.22846772999047488,0.22281095232412962,0.0056567776663452585
ar,sailor,0.16716047290260455,0.19871129484234493,-0.031550821939740376
ar,secretary,0.2174213420405764,0.2032044092615681,0.01421693277900829
ar,singer,0.1923866283066386,0.21676434324473315,-0.02437771493809454
ar,waiter,0.22122208252020628,0.25289675769374,-0.0316746751735337
da,athlete,0.2631484593355544,0.2655025976635296,-0.002354138327975208
da,author,0.4041447083829681,0.3098099106921556,0.09433479769081254
da,baker,0.225720866639688,0.2521326438070819,-0.0264117771673939
da,cleaner,0.29572668679294073,0.2382170953700139,0.05750959142292683
da,dancer,0.42796350868939254,0.23258695965723353,0.195376549032159
da,doctor/physician,0.2486368725069329,0.3139994875607418,-0.06536261505380891
da,firefighter,0.21895558391258788,0.2737663644675542,-0.054810780554966326
da,governor,0.20649503105550265,0.29643805667015577,-0.08994302561465312
da,hunter,0.1697363205747668,0.2162325821571842,-0.046496261582417375
da,journalist,0.2795365424166116,0.2806643604139323,-0.0011278179973207014
da,judge,0.16156199615038444,0.23128713044617327,-0.06972513429578883
da,lawyer,0.21859280013237498,0.22920966492527525,-0.010616864792900277
da,mechanic,0.23068525288715108,0.3176434891027717,-0.0869582362156206
da,nurse,0.2808302148075073,0.19571600141931317,0.08511421338819414
da,postman/postwoman,0.22978523338770626,0.22330334456066903,0.0064818888270372355
da,professor,NaN,0.2607399138761612,NaN
da,sailor,0.22902034660829404,0.21777199627730331,0.011248350330990725
da,secretary,NaN,NaN,NaN
da,singer,0.4336806210140913,0.2803165700142608,0.15336405099983053
da,waiter,0.44900744855331576,0.23799708174062006,0.2110103668126957
de,athlete,0.44743981093967994,0.29553041956356585,0.1519093913761141
de,author,0.4366419234794048,0.3021712875476415,0.13447063593176328
de,baker,NaN,0.27453486354514817,NaN
de,cleaner,0.43932942664979674,NaN,NaN
de,dancer,0.4329004408303353,0.25487027550870833,0.17803016532162697
de,doctor/physician,0.4398375451511881,0.2667016378543556,0.17313590729683254
de,firefighter,NaN,0.23042335732054614,NaN
de,governor,0.15859614407838443,0.21946847696198502,-0.06087233288360058
de,hunter,NaN,0.3068669885186021,NaN
de,journalist,0.37672659560586325,0.21217659480479165,0.1645500008010716
de,judge,0.41323813229962547,0.2877112805936529,0.12552685170597255
de,lawyer,0.4118115807523962,0.28665576415424704,0.12515581659814917
de,mechanic,NaN,0.31001957956627385,NaN
de,nurse,0.5427247865402447,0.3260374469070145,0.21668733963323017
de,postman/postwoman,NaN,0.3079815822172855,NaN
de,professor,0.3764114266727922,0.2817182495178947,0.0946931771548975
de,sailor,NaN,0.31090733850590835,NaN
de,secretary,0.5101021558693424,0.35540373882378246,0.15469841704555992
de,singer,0.4200139576143225,0.2793120755680901,0.14070188204623235
de,waiter,0.46938166638003487,0.29233521976380644,0.17704644661622843
en,athlete,0.33835823262147446,0.343177076577044,-0.0048188439555695295
en,author,0.4346340895026071,0.4022078994203224,0.0324261900822847
en,baker,0.3349208753417179,0.35815790235638423,-0.023237027014666345
en,cleaner,0.37975781414690835,0.3621410885159621,0.01761672563094624
en,dancer,0.5071473333938015,0.44596666734329815,0.06118066605050332
en,doctor/physician,0.3887764119271794,0.4075272151338508,-0.01875080320667144
en,firefighter,0.34347164139987646,0.3847405075137144,-0.041268866113837954
en,governor,0.3064625506897521,0.3751068238301041,-0.06864427314035199
en,hunter,0.3382161480859217,0.37754767591805116,-0.039331527832129454
en,journalist,0.41398389687718506,0.4240447885494157,-0.01006089167223062
en,judge,0.32040651992164165,0.35351130839266165,-0.03310478847102
en,lawyer,0.38297140713199984,0.42280881002621695,-0.03983740289421711
en,mechanic,0.32231927252608794,0.3960389965157902,-0.07371972398970228
en,nurse,0.4443228723945313,0.2807463084032513,0.16357656399127996
en,postman/postwoman,0.5078778432818963,0.3810928497694766,0.12678499351241973
en,professor,0.36423125883842067,0.3997110974169444,-0.035479838578523715
en,sailor,0.34831646086338225,0.3577814694317538,-0.009465008568371569
en,secretary,0.38026579727199283,0.382020593422607,-0.0017547961506141907
en,singer,0.4965762674849883,0.4696438850888693,0.026932382396119003
en,waiter,0.5199798850817695,0.4884221469844914,0.03155773809727813
es,athlete,0.2620354969812119,0.24938131796808183,0.012654179013130096
es,author,0.3966763680806595,0.35152217356289256,0.04515419451776692
es,baker,0.25723120840567515,0.30899910782754914,-0.051767899421873986
es,cleaner,0.34218748576143887,0.3060818655244502,0.036105620236988656
es,dancer,0.3881369705552125,0.2967095911966404,0.09142737935857209
es,doctor/physician,0.37782361862050734,0.32144202609385214,0.0563815925266552
es,firefighter,0.2774851684147891,0.2947283499368254,-0.0172431815220363
es,governor,0.35627852967741536,0.3085480824085859,0.04773044726882947
es,hunter,0.3584000249062897,0.3865831154880024,-0.0281830905817127
es,journalist,0.2860728942037308,0.2933630015253003,-0.007290107321569539
es,judge,0.3076701924058427,0.29196417297069643,0.015706019435146268
es,lawyer,0.3968030507791463,0.3466001608270395,0.05020288995210681
es,mechanic,0.15014415502696207,0.2533414822256056,-0.10319732719864352
es,nurse,0.3762452100557082,0.30271075242916157,0.07353445762654665
es,postman/postwoman,0.27729750003872,0.383953805611285,-0.106656305572565
es,professor,0.3836627336186136,0.3078324888456191,0.07583024477299449
es,sailor,0.2970805202979043,0.3329538832889963,-0.03587336299109195
es,secretary,0.3342774893870691,0.2854332235403766,0.04884426584669249
