"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"19","Craft workers","",".17 35 (.19)","",".52 141","(.21)",".39 31 (.17)","",".23 36","(.12)",".34 398","(.16)",".29 30 (.13)",".23 30 (.16)"
"20","Crane operators","",".12 37 (.17)","",".19 140","(.13)",".13 34 (.13)","",".16 35","(.13)",".14 399","(.14)",".15 31 (.1)",".09 30 (.11)"
"21","Criminals","",".29 36 (.14)","",".31 141","(.14)",".28 30 (.13)","",".34 35","(.14)",".31 404","(.16)",".22 31 (.12)",".24 31 (.14)"
"22","Cult members","",".41 35 (.14)","",".42 140","(.14)",".47 33 (.16)","",".52 31","(.11)",".45 408","(.15)",".52 30 (.16)",".42 31 (.13)"
"23","Curators","",".42 34 (.18)","",".44 141","(.14)",".43 33 (.13)","",".45 38","(.15)",".51 401","(.17)",".48 29 (.11)",".48 29 (.24)"
"24","Customers","","“Shoppers”","",".58 140","(.12)",".56 29 (.12)","",".56 36","(.1)",".54 394","(.12)",".52 31 (.07)","“Shoppers”"
"25","Customs inspectors","",".18 37 (.14)","",".4 141","(.14)",".26 31 (.16)","",".35 36","(.13)",".27 403","(.15)",".41 31 (.13)",".18 29 (.14)"
"26","Customs officers","",".25 31 (.2)","",".38 142","(.14)",".22 32 (.14)","",".36 36","(.12)",".27 401","(.16)",".35 28 (.13)",".21 31 (.13)"
"27","Cyclists","",".37 36 (.15)","",".41 139","(.12)",".33 31 (.13)","",".43 34","(.13)",".31 404","(.14)",".34 33 (.13)",".24 28 (.15)"
"28","Dance instructors","",".59 34 (.18)","",".7 142","(.15)",".65 35 (.18)","",".57 35","(.17)",".62 396","(.17)",".77 32 (.09)",".62 30 (.21)"
"29","Dancers","",".68 35 (.16)","",".65 142","(.14)",".68 34 (.11)","",".6 37","(.13)",".68 400","(.16)",".73 27 (.13)",".64 31 (.19)"
"30","Data processors","",".53 35 (.21)","",".38 139","(.17)",".33 32 (.14)","",".39 35","(.15)",".39 408","(.15)","N/A",".6 30 (.19)"
"31","Database administrators","",".34 36 (.24)","",".47 142","(.18)",".36 33 (.15)","",".38 38","(.14)",".31 392","(.17)","N/A",".26 32 (.2)"
"32","Deacons","",".29 38 (.24)","",".37 137","(.17)",".26 30 (.2)","",".39 38","(.23)",".16 407","(.19)",".54 30 (.18)",".23 31 (.22)"
"33","Dental hygienists","",".61 34 (.18)","",".57 141","(.19)",".68 32 (.17)","",".53 37","(.19)",".6 399","(.18)",".71 27 (.14)",".65 31 (.21)"
"34","Dental technicians","",".55 36 (.14)","",".5 140","(.19)",".57 31 (.2)","",".56 33","(.2)",".41 405","(.15)",".61 30 (.17)",".47 31 (.16)"
"35","Dentists","",".56 38 (.17)","",".38 139","(.15)",".39 31 (.15)","",".44 34","(.13)",".4 402","(.15)",".49 29 (.13)",".49 31 (.18)"
"36","Deputies","",".49 37 (.17)","",".41 142","(.14)",".3 30 (.1)","",".49 36","(.12)",".27 405","(.14)",".55 28 (.13)",".51 30 (.16)"
"37","Designers","",".61 36 (.18)","",".53 138","(.16)",".44 28 (.18)","",".52 36","(.13)",".54 412","(.16)",".65 32 (.12)",".59 29 (.21)"
"38","Detectives","",".19 36 (.13)","",".33 141","(.14)",".32 33 (.15)","",".32 32","(.12)",".3 396","(.15)",".29 30 (.11)",".22 30 (.14)"
"39","Dieticians","",".68 37 (.17)","",".65 141","(.15)",".75 35 (.16)","",".7 34","(.13)",".65 410","(.16)",".7 30 (.14)",".66 31 (.21)"
"40","Diplomats","",".34 32 (.16)","",".36 140","(.15)",".29 34 (.12)","",".33 32","(.17)",".35 399","(.17)",".36 30 (.15)",".3 29 (.16)"
"41","Doctors of Philosophy","","“Physicians”","",".37 138","(.15)","“Medical","",".44 37","(.2)",".47 402","(.11)",".34 32 (.14)","“Physicians”"
"42","","","","","","","doctors”","","","","","","",""
"43","Dog owners","",".52 35 (.14)","",".49 142","(.1)",".52 33 (.12)","",".5 36","(.12)",".52 391","(.1)",".53 29 (.11)",".5 29 (.16)"
"44","Door keepers","",".27 35 (.18)","",".29 141","(.15)",".18 32 (.13)","",".27 39","(.14)",".41 406","(.2)",".16 32 (.11)",".37 29 (.18)"
"45","Dressmakers","","“Tailors”","",".75 140","(.14)",".73 36 (.19)","","N/A","","“Tailors”","","“Tailors”","“Tailors”"
"46","Drivers","",".37 35 (.15)","",".38 138","(.13)",".37 35 (.16)","",".37 35","(.12)",".4 392","(.15)",".32 31 (.14)",".32 31 (.16)"
"47","Driving instructors","",".19 32 (.13)","",".35 141","(.14)",".24 36 (.13)","",".28 35","(.15)",".25 412","(.16)",".29 32 (.14)",".15 29 (.13)"
"48","Drug addicts","",".39 38 (.14)","",".43 143","(.11)",".39 34 (.14)","",".42 35","(.14)",".39 406","(.13)",".39 28 (.13)",".39 29 (.14)"
"49","Drug dealers","",".23 37 (.14)","",".24 140","(.16)",".24 30 (.17)","",".25 34","(.14)",".21 408","(.15)",".18 28 (.11)",".14 27 (.11)"
"50","Drummers","",".24 36 (.14)","",".26 139","(.13)",".25 34 (.15)","",".27 34","(.13)",".23 397","(.15)",".21 30 (.11)",".15 29 (.12)"
"51","Economists","",".39 33 (.14)","",".33 141","(.14)",".31 33 (.11)","",".41 35","(.16)",".38 398","(.15)",".39 31 (.12)",".51 30 (.2)"
