language_code,lang_es_sub,lang_es_wiki,lang_es_wiki_cc
ar,-0.24156041595844716,0.6401106941620707,0.31894589809932444
da,1.2042953260837819,0.8529126354993974,0.815565083329233
de,0.9929869186996753,0.6739625933489081,0.18521607693494097
el,-0.08042008103075425,0.348731324396917,-0.14696934245897922
en,0.6024799683742811,0.6318636686962313,0.38632053299094504
es,0.2671657841584817,0.222241753980418,0.0077799232358987044
fa,0.44180096053638807,0.49883581457930487,0.12026623393651643
fi,0.5106173615901288,0.1893599002507336,0.12317577658522129
fr,0.3365738053221108,0.33783060331684256,0.560871976452316
he,0.7519501828522505,0.47041460827782805,0.6044950043224546
hi,NA,0.4200775457605744,0.6399890931660399
hr,0.30202310357030165,-0.24120529373471453,-0.5107583951645539
hu,0.039650638966636606,0.16792375789351469,NA
id,0.5408289952796589,-0.12378950328769543,-0.0017982578521459113
it,0.12446167471746548,0.6633727987251284,0.38417605246442443
ja,0.40119091179756905,0.06429567765517198,-0.0854379054437144
ko,0.31419019539734994,0.2617978260892737,-0.061601764294857746
ms,-0.2960500304763127,0.00902940628343985,-0.04166335415580183
nl,0.557929645404257,0.8091716010577064,0.3928785963080656
no,0.90630983063191894,0.5910439558154523,0.4952520879164557
pl,-0.09698227818876436,-0.07770125153581178,-0.10174639840400274
pt,0.534820663051225,0.4009414037179108,0.19490158381136363
ro,0.6639642252268806,0.5857532252022704,1.0766041836144171
ru,-0.17500569542166958,-0.22134290452347866,-0.5321412097520899
sk,0.24883521635435182,-0.005637707978623876,-0.3692938852320338
sr,NA,0.3555164964968143,NA
sv,0.39293635118872083,0.8219340249850059,0.48015255257671635
tl,NA,-0.016299263160760268,0.08098838571407768
tr,-0.04842230350293412,0.09524758616481388,0.24608015956927798
ur,0.01847155773718096,0.4471526814829933,0.4839140654031093
zh,NA,0.535115517457758,0.21289281194597184
zu,NA,-0.7527469409998336,NA
