language_code,exclude_sub,exclude_wiki,exclude_wiki_cc
hi,TRUE,FALSE,FALSE
ja,TRUE,FALSE,FALSE
sr,TRUE,FALSE,TRUE
tl,TRUE,FALSE,FALSE
zh,TRUE,FALSE,FALSE
zu,TRUE,TRUE,TRUE
