occupation,wiki_lang_code,gender,human_mean_rating
actors,en,m,48.57
adolescents,en,m,50
apprentices,en,m,61.43
archivists,en,m,51.43
artists,en,m,52.86
assistant chefs,en,m,58.57
astrologers,en,m,47.14
athletes,en,m,52.86
aupairs,en,m,28.57
authors,en,m,52.86
auxiliary workers,en,m,61.43
bakers,en,m,75.71
bank clerks,en,m,50
bankers,en,m,61.43
bartenders,en,m,44.29
beauticians,en,m,28.57
birth attendants,en,m,21.43
bosses,en,m,55.71
boxers,en,m,52.86
bricklayers,en,m,91.43
butchers,en,m,64.29
campers,en,m,42.86
caretakers,en,m,78.57
carpenters,en,m,78.57
cashiers,en,m,48.57
chemists,en,m,68.57
chocolate lovers,en,m,34.29
cinema goers,en,m,58.57
cleaners,en,m,28.57
climbers,en,m,62.86
comedians,en,m,57.14
composers,en,m,62.86
computer specialists,en,m,61.43
concert goers,en,m,52.86
cooks,en,m,42.86
craftsmen,en,m,72.86
curators,en,m,57.14
customs officers,en,m,57.14
cyclists,en,m,58.57
dancers,en,m,30
deans,en,m,71.43
dentists,en,m,70
dieticians,en,m,41.43
doctors,en,m,55.71
dressmakers,en,m,35.71
drivers,en,m,62.86
electricians,en,m,82.86
engineers,en,m,80
factory managers,en,m,70
farmers,en,m,75.71
fishers,en,m,82.86
flight attendants,en,m,25.71
football coaches,en,m,78.57
fortune tellers,en,m,28.57
gardeners,en,m,44.29
golfers,en,m,75.71
governors,en,m,70
gynaeco-logists,en,m,62.86
hairdressers,en,m,62.86
heads,en,m,55.71
historians,en,m,60
homeless people,en,m,61.43
hunters,en,m,78.57
iceskaters,en,m,47.14
inventors,en,m,68.57
job seekers,en,m,60
joggers,en,m,38.57
judges,en,m,70
jugglers,en,m,61.43
lawyers,en,m,64.29
librarians,en,m,60
lorrydrivers,en,m,77.14
magicians,en,m,77.14
managers,en,m,68.57
mathema-ticians,en,m,57.14
mayors,en,m,74.29
mechanics,en,m,81.43
members of parliament,en,m,72.86
models,en,m,42.86
murderers,en,m,74.29
musicians,en,m,54.29
neighbours,en,m,51.43
nurses,en,m,32.86
office workers,en,m,42.86
paedia-tricians,en,m,67.14
painting artists,en,m,55.71
pedestrians,en,m,51.43
pharmacists,en,m,40
physicians,en,m,68.57
physicists,en,m,67.14
physics students,en,m,65.86
pilots,en,m,68.57
poets,en,m,57.14
police officers,en,m,62.86
politicians,en,m,67.14
postmen,en,m,70
presidents,en,m,85.71
prisoners,en,m,74.29
professors,en,m,61.43
proofreaders,en,m,65.71
psychology students,en,m,34.29
publishers,en,m,60
reception-class children,en,m,52.86
relatives,en,m,55.71
sales assistants,en,m,37.14
school-children,en,m,57.14
secretaries,en,m,31.43
shoemakers,en,m,57.14
singers,en,m,62.86
skiers,en,m,60
social workers,en,m,31.43
solarium users,en,m,44.29
spectators,en,m,58.57
spies,en,m,70
statisticians,en,m,64.29
surgeons,en,m,51.43
swimmers,en,m,54.29
technicians,en,m,72.86
tennis players,en,m,51.43
trade unionists,en,m,71.43
trainees,en,m,50
violonists,en,m,44.29
waiters,en,m,38.57
wine connoisseurs,en,m,57.14
workers,en,m,61.43
writers,en,m,44.29
actors,en,f,49.8
adolescents,en,f,51.37
apprentices,en,f,62.75
archivists,en,f,52.86
artists,en,f,50.78
assistant chefs,en,f,57
astrologers,en,f,62.55
athletes,en,f,56.08
aupairs,en,f,22.78
authors,en,f,47.84
