occupation,wiki_lang_code,human_mean_rating
cooks,fr,49.24
craftsmen,fr,60.33
curators,fr,60
customs officers,fr,79.08
cyclists,fr,71.36
dancers,fr,29
deans,fr,70.17
dentists,fr,69.83
dieticians,fr,36.75
doctors,fr,57.08
dressmakers,fr,39.83
drivers,fr,60.83
electricians,fr,79.33
engineers,fr,73.67
factory managers,fr,76.33
farmers,fr,68.17
fishers,fr,80.08
flight attendants,fr,26.17
football coaches,fr,85.83
fortune tellers,fr,28.33
gardeners,fr,62.58
golfers,fr,72.58
governors,fr,80.09
gynaecologists,fr,58.33
hairdressers,fr,38.17
heads,fr,73.67
historians,fr,61.08
homeless people,fr,67.17
hunters,fr,90.17
ice skaters,fr,45.17
inventors,fr,67.33
job seekers,fr,52.08
joggers,fr,43.33
judges,fr,67.5
jugglers,fr,63.67
lawyers,fr,67.71
librarians,fr,40
lorry drivers,fr,84.67
magicians,fr,75.75
managers,fr,71.92
mathematicians,fr,73.22
mayors,fr,75.25
mechanics,fr,85.08
members of parliament,fr,70
models,fr,35.5
murderers,fr,74.33
musicians,fr,59.08
neighbours,fr,50.08
nurses,fr,30.17
office workers,fr,42.5
paediatricians,fr,55.67
painting artists,fr,55.83
pedestrians,fr,52
pharmacists,fr,50.5
physicians,fr,64.83
physicists,fr,79
physics students,fr,67.17
pilots,fr,74.08
poets,fr,62.83
police officers,fr,70.34
politicians,fr,72
postmen,fr,74.08
presidents,fr,79.42
prisoners,fr,67.83
professors,fr,58.17
proofreaders,fr,57
psychology students,fr,33.33
publishers,fr,63.33
reception-classchildren,fr,52.08
relatives,fr,49.32
sales assistants,fr,37.33
schoolchildren,fr,53.08
secretaries,fr,20.33
shoemakers,fr,75.75
singers,fr,47.5
skiers,fr,55.42
social workers,fr,33.33
solarium users,fr,45.59
spectators,fr,50.92
spies,fr,73.67
statisticians,fr,73.56
surgeons,fr,74.67
swimmers,fr,49.75
technicians,fr,75
tennis players,fr,53.58
trade unionists,fr,62.92
trainees,fr,46.83
violonists,fr,49.5
waiters,fr,33.67
wine connoisseurs,fr,70
workers,fr,69.92
writers,fr,56
actors,de,48.82
adolescents,de,48.55
apprentices,de,51.05
archivists,de,58.29
artists,de,50
assistant chefs,de,52.89
astrologers,de,43.95
athletes,de,53.03
aupairs,de,17.11
authors,de,52.11
auxiliary workers,de,50.79
bakers,de,60.13
bank clerks,de,54.74
bankers,de,565.53
bartenders,de,55.66
beauticians,de,11.45
birth attendants,de,18.55
bosses,de,70.66
boxers,de,81.97
bricklayers,de,85.26
butchers,de,81.71
campers,de,57.63
caretakers,de,74.21
carpenters,de,76.4
cashiers,de,26.97
chemists,de,72.37
chocolate lovers,de,38
cinema goers,de,49.21
cleaners,de,23.95
climbers,de,61.71
comedians,de,65.26
composers,de,67.5
computer specialists,de,78.55
concert goers,de,47.11
cooks,de,58.55
craftsmen,de,75.79
curators,de,60.26
customs officers,de,76.18
cyclists,de,52.11
dancers,de,32.5
deans,de,75.87
dentists,de,66.05
dieticians,de,26.58
doctors,de,64.08
dressmakers,de,22.89
drivers,de,55.26
electricians,de,80.92
engineers,de,78.16
factory managers,de,81.97
farmers,de,62.76
fishers,de,78.55
flight attendants,de,25
football coaches,de,87.79
fortune tellers,de,24.08
gardeners,de,62.24
golfers,de,67.76
governors,de,79.87
gynaecologists,de,52.89
hairdressers,de,21.18
heads,de,72.24
historians,de,63.82
homeless people,de,68.13
hunters,de,88.29
ice skaters,de,36.71
inventors,de,71.49
job seekers,de,54.08
joggers,de,49.34
judges,de,72.89
jugglers,de,62.89
lawyers,de,63.95
librarians,de,32.89
lorry drivers,de,84.34
magicians,de,70.39
managers,de,75.66
mathematicians,de,80.13
mayors,de,76.45
mechanics,de,81.58
members of parliament,de,68.16
models,de,31.97
murderers,de,73.82
musicians,de,50
neighbours,de,49.61
nurses,de,23.82
office workers,de,45
