country_code,country_name,es_iat_sex_age_order_implicit_resid,es_iat_sex_age_order_explicit_resid,overall_iat_D_score
AE,United Arab Emirates,-0.025488311990359933,0.37042204790141237,0.34851267249437495
AF,Afghanistan,-0.020319208107144795,0.049844864762140124,0.3634394131755461
AR,Argentina,-0.011498493755402076,-0.18468091275752327,0.36221579892217476
AT,Austria,0.02681552081330119,0.25460600584569004,0.40785035660775065
AU,Australia,-6.658024779997891e-4,-0.05040634148897909,0.38646539497223925
BE,Belgium,0.0351078423700635,0.1621379299387601,0.4175844212813285
BR,Brazil,0.03221032239677631,-0.14380917724491626,0.4045774341776582
CA,Canada,-0.009377546053027843,-0.10379045636713327,0.3763888450058014
CH,Switzerland,0.012061109952287794,0.28120959741304047,0.3949276640153724
CN,China,0.011589285507841628,0.13908561855172782,0.38941714690805423
CO,Colombia,-0.049774528887970244,-0.04592982048049982,0.325999039214537
DE,Germany,0.019921716387100556,0.26947145188930166,0.40025097293192397
DK,Denmark,0.0275685054556807,-0.015130537944125909,0.4066142933794154
ES,Spain,-0.00871723867680852,-0.18664395704266068,0.37204432608152005
FI,Finland,-0.0012318740502568653,-0.19517772426574545,0.37919249207880307
FR,France,-0.006405966233272553,0.05082979535342962,0.37748442329937487
GB,UK,0.003509909731479227,-0.03786222110033495,0.3896100172970828
HR,Croatia,0.006843921634415922,-0.33669347123245175,0.39300466722253763
ID,Indonesia,-0.053660942824779304,0.08529998258308912,0.31369041031696954
IE,Ireland,-0.009714483725814158,-0.02858104783207869,0.3755907443164065
IL,Israel,0.023339602498192974,0.14392612489767995,0.40808291654568457
IN,India,-0.059543297161397744,0.035288648338090214,0.30468301743584986
IT,Italy,0.02312918217578112,0.24977244067426868,0.40980390527572086
JP,Japan,0.01837221713385687,-0.057305103416553434,0.39276920874797033
KR,Republic of Korea,-0.0068116016621206435,-0.1451239665484513,0.367275084214771
MX,Mexico,-0.024581332208243555,-9.180351399869968e-5,0.34784308621312165
MY,Malaysia,-0.03734987682721718,-0.013323080043276023,0.3398840066728922
NL,Netherlands,0.04020139645042484,0.14799188854229173,0.4243450539266697
NO,Norway,-0.02489874767198652,-0.28215741330358574,0.35447490748967103
NZ,New Zealand,-0.001794557100982362,0.05898834715316348,0.3841548949002252
PH,Philippines,-0.054758919631812696,-0.11953410677977583,0.3326103275671981
PL,Poland,-0.01842782150885679,-0.017376997111489767,0.3638731560381722
RO,Romania,0.007978577268914502,0.04663752647595598,0.3876891101898121
SE,Sweden,-0.02060511444003361,-0.25519413020373233,0.35729978777381466
SG,Singapore,-0.010433998796516089,0.23031316729195958,0.36368365768139
TR,Turkey,-0.02918063525166718,-0.2134528589827861,0.3498707650374456
TW,Taiwan,-0.012636066471611597,-0.2827799711242087,0.3611334648760154
US,United States of America,5.37563470806575e-4,0.0024526378795176494,0.3848196882123325
ZA,South Africa,-0.023579779074975743,0.19032982989638644,0.3634447970814168
