_,Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active Users,Files,Depth
14,Portuguese,Português,pt,981056.00,4488835.00,51295635.00,73.00,2004856.00,5863.00,45748.00,146.00
15,Chinese,__,zh,970219.00,5202734.00,47935908.00,81.00,2431349.00,7610.00,47108.00,175.00
16,Ukrainian,__________,uk,743739.00,2236119.00,21499492.00,40.00,376648.00,2529.00,89585.00,39.00
17,Persian,_____,fa,578195.00,3812258.00,26274261.00,34.00,684481.00,3984.00,46423.00,216.00
18,Catalan,Catalˆ,ca,560383.00,1390962.00,19434902.00,25.00,269868.00,1640.00,10153.00,31.00
19,Arabic,_______,ar,544852.00,3136649.00,28067855.00,32.00,1397626.00,4666.00,29592.00,202.00
20,Norwegian (BokmŒl),Norsk (BokmŒl),no,477373.00,1250113.00,17891238.00,44.00,404819.00,1451.00,1.00,38.00
21,Serbo-Croatian,Srpskohrvatski / ______________,sh,440415.00,4584133.00,40815571.00,10.00,111889.00,226.00,8790.00,788.00
22,Finnish,Suomi,fi,424221.00,1146658.00,17689580.00,37.00,359682.00,1688.00,50670.00,45.00
23,Hungarian,Magyar,hu,419273.00,1212717.00,19918112.00,31.00,360162.00,1648.00,24770.00,59.00
24,Indonesian,Bahasa Indonesia,id,412554.00,2237073.00,14271557.00,34.00,912736.00,2333.00,60319.00,125.00
25,Korean,___,ko,400421.00,1535389.00,21710605.00,24.00,473468.00,2081.00,13430.00,114.00
26,Czech,_e_tina,cs,392111.00,1049238.00,15482556.00,28.00,387371.00,2095.00,1.00,41.00
27,Romanian,Rom‰n_,ro,379899.00,1758485.00,11738456.00,19.00,414866.00,877.00,36226.00,88.00
28,Serbian,______ / Srpski,sr,357794.00,1751169.00,15890414.00,16.00,207949.00,792.00,28765.00,138.00
29,Malay,Bahasa Melayu,ms,304631.00,822376.00,4522094.00,13.00,201078.00,380.00,21626.00,16.00
30,Turkish,TŸrkçe,tr,300657.00,1529632.00,20241665.00,27.00,978261.00,819.00,30386.00,221.00
31,Basque,Euskara,eu,284968.00,700467.00,6144932.00,12.00,80016.00,389.00,0.00,19.00
32,Esperanto,Esperanto,eo,242324.00,532551.00,6289318.00,20.00,136327.00,342.00,4457.00,17.00
33,Bulgarian,_________,bg,235823.00,524095.00,8584431.00,27.00,220952.00,859.00,1171.00,24.00
34,Armenian,_______,hy,233764.00,779021.00,5495944.00,11.00,65028.00,643.00,6694.00,38.00
35,Danish,Dansk,da,232459.00,783885.00,9258058.00,27.00,306028.00,958.00,1.00,66.00
36,Min Nan,B‰n-l‰m-gœ,zh-min-nan,225218.00,707000.00,1892482.00,5.00,30639.00,75.00,362.00,12.00
37,Slovak,Sloven_ina,sk,223779.00,484523.00,6595189.00,8.00,147360.00,492.00,0.00,18.00
38,Minangkabau,Minangkabau,min,222038.00,316815.00,1541192.00,3.00,6114.00,43.00,106.00,1.00
39,Kazakh,_______,kk,219761.00,509616.00,2675257.00,16.00,70514.00,207.00,9488.00,9.00
40,Hebrew,_____,he,214760.00,888146.00,22778096.00,40.00,349792.00,2606.00,50120.00,252.00
41,Lithuanian,Lietuvi_,lt,183673.00,430967.00,5435346.00,13.00,113074.00,350.00,19699.00,23.00
42,Croatian,Hrvatski,hr,178348.00,471685.00,5131715.00,22.00,186376.00,470.00,15194.00,29.00
43,Chechen,_______,ce,164538.00,187240.00,2177477.00,3.00,15120.00,36.00,261.00,0.00
44,Estonian,Eesti,et,163190.00,413645.00,4907446.00,33.00,104265.00,680.00,2756.00,28.00
45,Slovenian,Sloven__ina,sl,158692.00,374157.00,5064828.00,26.00,159066.00,325.00,7612.00,25.00
46,Belarusian,__________,be,147043.00,481625.00,3037161.00,9.00,70505.00,241.00,2435.00,33.00
47,Galician,Galego,gl,142145.00,347055.00,4636345.00,12.00,79901.00,279.00,9655.00,28.00
48,Greek,________,el,138093.00,422962.00,6822299.00,21.00,229684.00,896.00,16270.00,69.00
49,Norwegian (Nynorsk),Nynorsk,nn,135346.00,320586.00,2988477.00,23.00,82391.00,168.00,16.00,17.00
50,Uzbek,OÔzbek,uz,129089.00,616858.00,2669330.00,8.00,34182.00,81.00,372.00,62.00
51,Simple English,Simple English,simple,128835.00,435551.00,5823479.00,17.00,649946.00,948.00,36.00,76.00
52,Azerbaijani,Az_rbaycanca,az,127877.00,330935.00,4327034.00,14.00,139319.00,665.00,19392.00,33.00
53,Latin,Latina,la,127378.00,246651.00,3394566.00,17.00,99037.00,145.00,0.00,12.00
54,Urdu,____,ur,124784.00,692302.00,5682791.00,10.00,69324.00,204.00,4662.00,170.00
55,Hindi,______,hi,121811.00,704048.00,3710895.00,8.00,307600.00,857.00,3090.00,120.00
56,VolapŸk,VolapŸk,vo,120626.00,249286.00,3313240.00,2.00,22998.00,38.00,0.00,15.00
57,Thai,___,th,119844.00,677989.00,7631409.00,15.00,301236.00,1081.00,33298.00,244.00
58,Georgian,_______,ka,118174.00,329960.00,3482655.00,3.00,93254.00,235.00,13553.00,34.00
59,Tamil,_____,ta,113554.00,321946.00,2517256.00,35.00,122723.00,285.00,7650.00,26.00
