language_code,test,test_name,lang_bias
ar,WEAT_6,gender-bias-career-family,0.56328376
fa,WEAT_6,gender-bias-career-family,0.404804745
de,WEAT_6,gender-bias-career-family,0.850919918
nl,WEAT_6,gender-bias-career-family,0.68326075
pt,WEAT_6,gender-bias-career-family,0.538820057
zh,WEAT_6,gender-bias-career-family,0.535115517
es,WEAT_6,gender-bias-career-family,0.658171834
da,WEAT_6,gender-bias-career-family,0.91898549
fi,WEAT_6,gender-bias-career-family,0.1893599
fr,WEAT_6,gender-bias-career-family,0.124394608
id,WEAT_6,gender-bias-career-family,0.175626267
it,WEAT_6,gender-bias-career-family,0.509848315
ja,WEAT_6,gender-bias-career-family,0.064295678
ko,WEAT_6,gender-bias-career-family,0.252784967
ms,WEAT_6,gender-bias-career-family,0.155817063
no,WEAT_6,gender-bias-career-family,0.591043956
pl,WEAT_6,gender-bias-career-family,-0.168089602
ru,WEAT_6,gender-bias-career-family,0.211615022
sv,WEAT_6,gender-bias-career-family,0.821934025
tr,WEAT_6,gender-bias-career-family,0.085980971
en,WEAT_6,gender-bias-career-family,0.631863669
he,WEAT_6,gender-bias-career-family,0.428798097
