Appendix D						
"Mean rating and standard deviation of each role name split by language, Study 2"						
						
	English		French		German	
	M	(SD)	M	(SD)	M	(SD)
Actors	51.96	-17.32	49.85	-6.85	49.49	-6.8
Adolescents	52.94	-10.64	47.88	-5.95	49.66	-7.25
Apprentices	65.1	-11.89	55.59	-11.11	51.19	-6.97
Archivists	58.82	-15.58	50.77	-17.88	56.44	-15.4
Artists	52.55	-13.54	50.3	-9.84	51.19	-9.48
Assistant chefs	58.63	-14.42	48.81	-20.12	48.81	-18.58
Astrologers	58.4	-21.13	41.64	-24.78	54.92	-26.22
Athletes	57.84	-10.64	53.79	-8.18	54.75	-9.16
Aupairs	19.39	-16.38	40.9	-40.55	55.69	-36.04
Authors	49.6	-10.29	56.47	-12.31	50.51	-9.9
Auxiliary workers	54.17	-19.33	44.03	-13.15	52.41	-12.33
Bakers	62.16	-18.47	69.12	-15.81	62.07	-13.48
Bank clerks	54.6	(14.60	57.35	-15.32	51.72	-14.16
Bankers	67.84	-14.04	70.59	-15.05	68.79	-12.29
Bartenders	56.6	-15.07	57.5	-21.4	55.76	-17.14
Beauticians	13.27	-10.88	12.79	-11.7	15.17	-10.96
Birth attendants	30.82	-18.01	16.76	-13.98	18.81	-14.63
Bosses	64.31	-12.37	77.35	-15.12	69.49	-11.81
Boxers	86.27	-15.62	86.03	-11.74	81.86	-12.66
Bricklayers	88.24	-11.26	93.24	-8.71	86.1	-8.51
Butchers	73.33	-22.15	83.68	-12.45	82.37	-10.72
Campers	55.2	-11.11	57.94	11.4	56.27	-10.15
Caretakers	68	-21.67	80.45	-13.53	75.52	-13.4
Carpenters	75.49	-18.15	89.85	-14.09	72.59	-20.74
Cashiers	33.67	-15.23	25.59	-17.4	34.07	-17.33
Chemists	67	-17.64	63.43	-14.72	70.69	-12.12
Chocolate lovers	29.22	-15.47	36.62	-14.21	41.69	-17.24
Cinema goers	46.6	(8.23	48.21	-9.03	47.12	-8.11
Cleaners	25.29	-13.32	21.49	-18.85	28.31	-16.83
Climbers	67.96	(11.90	64.85	-14.19	62.93	-13.25
Comedians	61.37	-16.85	49.71	-6.9	61.86	-12.66
Composers	65.1	-15.41	68.06	-16.63	71.02	-14.35
Computer specialists	70.59	-20.34	78.03	-10.99	71.9	-12.21
Concert goers	48.43	(9.67	51.79	-12.78	48.31	-10.2
Cooks	45.1	-18.91	65.88	-15.18	62.93	-12.98
Craftsmen	74.31	-18.25	66.82	-16.84	77.59	-12.33
Curators	57.06	-21.29	62.65	-16.17	58.64	-12.93
Customs officers	65.49	-13.46	80.29	-12.33	76.27	-10.15
Cyclists	56.47	-13.24	71.47	-14.69	56.61	-13.6
Dancers	33.53	-14.54	31.34	-14.13	38.47	-13.11
Deans	72.94	-14.04	65.74	-22.68	73.56	-13.36
Dentists	62.75	-12.82	68.36	-15.53	66.44	-13.99
Dieticians	34.71	-15.54	29.71	-14.86	30.68	-15.74
Doctors	60.82	-10.38	63.09	-13.85	65.86	-11.55
Dressmakers	22.94	(13.90	37.01	-21.18	28.47	-13.87
Drivers	63.92	-18.88	58.82	-13.66	54.92	-9.35
Electricians	79.22	-17.98	84.09	-12.28	78.31	-11.01
Engineers	77	-13.13	74.56	-13.09	78.62	-10.83
Factory managers	79.41	-14.06	86.18	-10.08	81.19	-9.84
Farmers	76.8	-14.49	69.71	-15.55	70.85	-16.01
Fishers	83.2	-9.99	82.79	-15.44	80	-11.99
Flight attendants	27.2	-13.56	49.12	-29.66	24.75	-12.91
Football coaches	84.71	-15.15	90.88	-13.24	89.31	-9.15
Fortune tellers	18.82	-12.91	24.78	-22.18	27.46	-15.71
Gardeners	64.31	-17.69	66.12	-17.32	67.36	-14.83
Golfers	77.45	-12.62	71.69	-14.42	72.54	-14.45
Governors	69.6	-14.42	83.88	13.70)	84.14	-11.85
Gynaecologists	49.22	-19.68	52.94	-18.69	53.56	-17.59
Hairdressers	34.6	-21.59	27.21	-13.03	29.15	-14.66
Heads	61.18	-15.83	70.44	15.30)	72.93	-13.11
Historians	62.16	-16.04	62.73	-16.32	65.86	-14.02
Homeless people	63.6	-11.91	64.56	-14.19	63.73	-13.88
Hunters	82.16	-13.16	88.24	-14.76	87.12	-11.75
Ice skaters	34.8	-12.66	41.19	-11.48	40.34	-12.59
Inventors	71.63	-12.31	69.85	-16.65	68.64	-14.56
Job seekers	56.86	-16.19	53.97	-12.71	54.92	-9.35
Joggers	48.82	-11.77	52.69	-10.53	50.85	-7.26
Judges	72.75	-14.43	66.57	-14.41	72.03	-11.71
Jugglers	67.25	-15.11	62.94	-13.72	64.48	-13.14
Lawyers	61.76	-13.96	63.82	-14.87	63.16	-10.55
