language_code,language_name,es_iat_sex_age_order_implicit_resid,wiki_gender_diff_score_fm_abs,subt_gender_diff_score_fm_abs,mean_prop_distinct_occs,n_participants
ro,Romanian,0.007978577268914502,0.062008876290326836,0.046628750446382705,0.95,481
pt,Portuguese,0.03221032239677631,0.07697574523303422,0.04040832772809944,0.9,1431
de,German,0.019599449050896514,0.09462212362208947,NA,0.8875,7495
es,Spanish,-0.0236428983821061,0.07107624187008149,0.04903513913295039,0.85,3166
he,Hebrew,0.023339602498192974,0.07753409565583565,0.06718636459049718,0.85,758
pl,Polish,-0.01842782150885679,0.07995702372367557,0.059565924338795186,0.8,670
hr,Croatian,0.006843921634415922,0.06878358256378483,NA,0.7125,603
it,Italian,0.02312918217578112,0.07911636169341746,0.0512572502588021,0.6,1114
fr,French,-0.006405966233272553,0.054549378090347496,0.061309083780537954,0.5,2705
nl,Dutch,0.03765461941024417,0.08189668237232954,0.051681773815560876,0.4625,5058
da,Danish,0.0275685054556807,0.07086158578856948,0.06929068889149738,0.36250000000000004,1036
sv,Swedish,-0.02060511444003361,0.06897204989449905,0.052205182361369194,0.32499999999999996,2169
no,Norwegian,-0.02489874767198652,0.07474349798716036,0.060010978906900436,0.19166666666666665,1357
en,English,-0.0029174860259230584,0.05107716476438463,0.046150107612721016,0.15000000000000002,610355
ja,Japanese,0.01837221713385687,1.1254407384648462e-4,NA,0.09999999999999998,1240
ko,Korean,-0.0068116016621206435,0.04580273280528376,0.025337254869150685,0.052631578947368474,854
zh,Mandarin,-0.003826926586762019,0.003376358133205513,NA,0.052631578947368474,6284
fi,Finnish,-0.0012318740502568653,0.025167441076086844,0.025165728887244207,0.050000000000000044,1145
hi,Hindi,-0.059543297161397744,0.04560773081876219,NA,0.050000000000000044,4341
tr,Turkish,-0.02918063525166718,0.01641659409305993,0.018453087103914554,0.03749999999999998,681
ar,Arabic,-0.025488311990359933,0.0550087878593237,0.040990301574865294,0,581
fa,Persian,-0.020319208107144795,0.034146728472743144,0.024100958398999745,0,863
id,Indonesian,-0.053660942824779304,0.01647180469188778,0.018730021031836352,0,401
ms,Malay,-0.03734987682721718,0.013369469389036093,0.03448014462579248,0,887
tl,Filipino,-0.054758919631812696,0.014323370929263113,NA,0,961
