"Gender Inequality Index (GII)"
"131"," India","0.687"," a","","","0.619","","0.591","","0.582","","0.573","","0.561","","0.544","","0.530",""
"113"," Indonesia","0.578"," a","0.564","","0.533","","0.486","","0.481","","0.476","","0.472","","0.472","","0.467",""
"69"," Iran (Islamic Republic of)","0.665"," a","0.601","","0.512","","0.529","","0.527","","0.517","","0.516","","0.514","","0.509",""
"121"," Iraq","0.658"," a","0.620","","","","0.536","","0.534","","0.532","","0.529","","0.528","","0.525",""
"8"," Ireland","0.202"," a","0.201","","0.192","","0.171","","0.155","","0.149","","0.140","","0.135","","0.127",""
"19"," Israel","0.244"," a","0.197","","0.173","","0.149","","0.141","","0.136","","0.124","","0.118","","0.103",""
"26"," Italy","0.198"," a","0.178","","0.175","","0.124","","0.120","","0.116","","0.090","","0.085","","0.085",""
"94"," Jamaica","0.480"," a","0.469","","0.466","","0.455","","0.443","","0.439","","0.435","","0.426","","0.422",""
"17"," Japan","0.159"," a","0.135","","0.148","","0.120","","0.119","","0.127","","0.127","","0.124","","0.116",""
"86"," Jordan","0.674"," a","0.632","","0.557","","0.488","","0.489","","0.487","","0.484","","0.480","","0.478",""
"56"," Kazakhstan","0.449"," a","0.405","","0.360","","0.267","","0.254","","0.226","","0.215","","0.203","","0.202",""
"146"," Kenya","0.708"," a","0.696","","0.654","","0.616","","0.613","","0.610","","0.573","","0.569","","0.565",""
"18"," Korea (Republic of)","0.277"," a","0.191","","0.107","","0.099","","0.093","","0.083","","0.076","","0.071","","0.067",""
"51"," Kuwait","0.585"," a","0.585","","0.374","","0.236","","0.234","","0.247","","0.243","","0.340","","0.335",""
"120"," Kyrgyzstan","0.510"," a","0.476","","0.677","","0.365","","0.372","","0.373","","0.378","","0.380","","0.394",""
"138"," Lao People's Democratic Republic","","","0.577","","0.542","","0.510","","0.501","","0.493","","0.484","","0.475","","0.468",""
"44"," Latvia","0.410"," a","0.276","","0.217","","0.208","","0.204","","0.188","","0.184","","0.195","","0.191",""
"76"," Lebanon","","","","","","","0.404","","0.398","","0.393","","0.387","","0.386","","0.381",""
"160"," Lesotho","0.577"," a","0.595","","0.585","","0.569","","0.563","","0.556","","0.553","","0.549","","0.549",""
"177"," Liberia","","","0.689","","0.676","","0.661","","0.668","","0.660","","0.654","","0.649","","0.649",""
"102"," Libya","","","","","0.268","","0.215","","","","0.166","","0.166","","0.169","","0.167",""
"37"," Lithuania","0.325"," a","0.281","","0.185","","0.168","","0.169","","0.141","","0.135","","0.128","","0.121",""
"20"," Luxembourg","0.200"," a","0.175","","0.156","","0.132","","0.112","","0.114","","0.088","","0.081","","0.075",""
"170"," Malawi","0.719"," a","0.692","","0.655","","0.616","","0.609","","0.607","","0.605","","0.616","","0.614",""
"59"," Malaysia","0.398"," a","0.340","","0.324","","0.308","","0.310","","0.303","","0.293","","0.287","","0.291",""
"105"," Maldives","0.649"," a","0.541","","0.420","","0.383","","0.369","","0.353","","0.335","","0.328","","0.312",""
"175"," Mali","0.726"," a","0.725","","0.723","","0.677","","0.681","","0.682","","","","0.686","","0.689",""
"33"," Malta","0.331"," a","0.321","","0.309","","0.277","","0.274","","0.263","","0.216","","0.213","","0.217",""
"157"," Mauritania","0.809"," a","0.756","","","","0.656","","0.652","","0.647","","","","0.630","","0.627",""
"64"," Mauritius","0.479"," a","0.452","","0.369","","0.382","","0.370","","0.369","","0.361","","0.355","","0.380",""
"77"," Mexico","0.508"," a","0.493","","0.431","","0.401","","0.393","","0.369","","0.364","","0.355","","0.345",""
"107"," Moldova (Republic of)","0.486"," a","0.425","","0.292","","0.286","","0.257","","0.255","","0.247","","0.250","","0.232",""
"92"," Mongolia","0.500"," a","0.450","","0.410","","0.406","","0.397","","0.300","","0.292","","0.283","","0.278",""
"48"," Montenegro","","","","","","","0.218","","0.203","","0.175","","0.174","","0.163","","0.156",""
"123"," Morocco","0.713"," a","0.696","","0.580","","0.563","","0.530","","0.527","","0.522","","0.517","","0.494",""
"181"," Mozambique","0.664"," a","0.645","","0.638","","0.617","","0.607","","0.596","","0.587","","","","0.574",""
"145"," Myanmar","","","","","","","0.459","","0.476","","0.446","","0.443","","0.443","","0.374",""
"125"," Namibia","0.555"," a","0.546","","0.525","","0.512","","0.510","","0.506","","0.501","","","","0.474",""
"144"," Nepal","0.710"," a","0.670","","0.653","","0.537","","0.528","","0.518","","","","0.506","","0.497",""
"7"," Netherlands","0.113"," a","0.096","","0.082","","0.054","","0.050","","0.049","","0.047","","0.044","","0.044",""
"13"," New Zealand","0.222"," a","0.190","","0.188","","0.186","","0.179","","0.175","","0.171","","0.165","","0.158",""
"124"," Nicaragua","0.629"," a","0.602","","0.541","","0.520","","0.477","","0.479","","0.474","","0.466","","0.462",""
"187"," Niger","0.831"," a","0.818","","0.730","","","","0.712","","0.707","","0.702","","0.698","","0.695",""
"1"," Norway","0.122"," a","0.109","","0.085","","0.075","","0.071","","0.067","","0.062","","0.057","","0.053",""
"52"," Oman","","","","","0.387","","0.323","","0.311","","0.302","","0.294","","0.284","","0.281",""
"147"," Pakistan","0.766"," a","","","0.595","","0.570","","0.569","","0.556","","0.555","","0.550","","0.546",""
"60"," Panama","0.517"," a","0.507","","0.472","","0.515","","0.517","","0.512","","0.507","","0.458","","0.457",""
"154"," Papua New Guinea","0.668"," a","0.663","","0.682","","0.667","","0.662","","0.605","","0.602","","0.597","","0.595",""
"110"," Paraguay","0.575"," a","0.557","","0.537","","0.501","","0.499","","0.491","","0.469","","0.468","","0.464",""
"87"," Peru","0.547"," a","","","0.456","","0.406","","0.412","","0.400","","0.394","","0.389","","0.385",""
"116"," Philippines","0.483"," a","0.479","","0.467","","0.449","","","","","","0.437","","0.436","","0.436",""
"36"," Poland","0.258"," a","0.205","","0.164","","0.170","","0.155","","0.152","","0.150","","0.146","","0.137",""
"41"," Portugal","0.243"," a","0.208","","0.182","","0.141","","0.128","","0.127","","0.110","","0.103","","0.091",""
"33"," Qatar","","","","","","","0.579","","0.554","","0.556","","0.552","","0.546","","0.542",""
"50"," Romania","0.474"," a","","","0.355","","0.358","","0.355","","0.343","","0.344","","0.342","","0.339",""
"49"," Russian Federation","0.467"," a","0.423","","0.359","","0.315","","0.308","","0.296","","0.290","","0.286","","0.271",""
"159"," Rwanda","0.583"," a","0.552","","0.484","","0.444","","0.433","","0.422","","0.405","","0.394","","0.383",""
"92"," Saint Lucia","","","","","","","","","","","","","0.370","","0.367","","0.354",""
"104"," Samoa","","","0.496","","0.493","","0.456","","0.491","","0.485","","0.478","","0.445","","0.439",""
"142"," Sao Tome and Principe","","","","","","","0.533","","0.531","","0.530","","0.529","","0.527","","0.524",""
"38"," Saudi Arabia","","","","","0.672","","0.633","","0.623","","0.619","","0.267","","0.262","","0.257",""
"162"," Senegal","0.628"," a","0.632","","0.629","","0.575","","0.567","","0.539","","0.532","","0.525","","0.521",""
"66"," Serbia","","","","","","","0.220","","0.217","","0.189","","0.190","","0.187","","0.185",""
"179"," Sierra Leone","","","0.695","","0.669","","0.665","","0.662","","0.660","","0.656","","0.653","","0.650",""
"5"," Singapore","0.252"," a","0.272","","0.167","","0.099","","0.102","","0.091","","0.082","","0.069","","0.068",""
"40"," Slovakia","0.248"," a","0.219","","0.189","","0.194","","0.192","","0.182","","0.180","","0.180","","0.180",""
"25"," Slovenia","0.247"," a","","","0.139","","0.124","","0.073","","0.067","","0.064","","0.057","","0.053",""
"119"," South Africa","0.424"," a","0.419","","0.426","","0.423","","0.419","","0.415","","0.406","","0.400","","0.394",""
"27"," Spain","0.157"," a","0.119","","0.118","","0.113","","0.106","","0.100","","0.095","","0.087","","0.081",""
"73"," Sri Lanka","0.471"," a","","","0.445","","0.409","","0.394","","0.391","","0.382","","0.385","","0.386",""
"165"," Sudan","0.720"," a","","","0.665","","0.622","","0.616","","0.609","","0.602","","0.595","","0.575",""
"97"," Suriname","","","","","0.492","","0.514","","0.498","","0.495","","0.496","","0.493","","0.448",""
"148"," Swaziland","0.652"," a","0.661","","0.619","","0.572","","0.565","","0.559","","0.576","","0.570","","0.566",""
"14"," Sweden","0.090"," a","0.062","","0.053","","0.051","","0.049","","0.049","","0.048","","0.047","","0.048",""
"2"," Switzerland","0.117"," a","0.094","","0.073","","0.062","","0.060","","0.056","","0.049","","0.045","","0.040",""
"149"," Syrian Arab Republic","0.569"," a","0.550","","0.540","","0.539","","0.542","","0.547","","0.551","","0.553","","0.554",""
"129"," Tajikistan","0.558"," a","0.410","","0.345","","0.330","","0.328","","0.323","","0.321","","0.324","","0.322",""
"151"," Tanzania (United Republic of)","0.652"," a","","","0.592","","","","0.558","","0.556","","0.553","","0.548","","0.544",""
"87"," Thailand","0.400"," a","0.397","","0.348","","0.319","","0.307","","0.309","","0.307","","0.369","","0.366",""
"82"," The former Yugoslav Republic of Macedonia","","","","","","","","","","","","","","","","","0.160",""
"166"," Togo","0.741"," a","0.665","","0.633","","0.598","","0.589","","0.586","","0.567","","0.557","","0.556",""
"101"," Tonga","0.684"," a","0.671","","0.476","","0.673","","0.472","","0.470","","0.465","","0.662","","0.659",""
"65"," Trinidad and Tobago","0.426"," a","","","0.353","","0.353","","0.349","","0.346","","0.343","","0.341","","0.324",""
"97"," Tunisia","0.532"," a","0.427","","0.336","","0.309","","0.301","","0.297","","0.299","","0.288","","0.289",""
"71"," Turkey","0.631"," a","0.589","","0.564","","0.426","","0.381","","0.365","","0.351","","0.340","","0.328",""
"111"," Turkmenistan","0.369"," a","","","","","","","","","","","","","","","",""
"163"," Uganda","0.650"," a","0.643","","0.592","","0.564","","0.552","","0.545","","0.537","","0.529","","0.522",""
"84"," Ukraine","0.482"," a","0.384","","0.370","","0.334","","0.329","","0.316","","0.308","","0.290","","0.284",""
"42"," United Arab Emirates","0.643"," a","0.609","","0.591","","0.231","","0.246","","0.247","","0.247","","0.247","","0.232",""
"16"," United Kingdom","0.237"," a","0.215","","0.206","","0.184","","0.174","","0.168","","0.159","","0.149","","0.131",""
"10"," United States","0.305"," a","","","0.264","","0.254","","0.248","","0.235","","0.227","","0.214","","0.203",""
"54"," Uruguay","0.440"," a","0.389","","0.373","","0.327","","0.326","","0.320","","0.320","","0.317","","0.284",""
"105"," Uzbekistan","","","","","","","","","","","","","0.279","","0.279","","0.287",""
"71"," Venezuela (Bolivarian Republic of)","0.547"," a","","","0.470","","0.469","","0.468","","0.466","","0.466","","0.463","","0.461",""
"115"," Viet Nam","0.383"," a","0.347","","0.317","","0.324","","0.328","","0.331","","0.333","","0.334","","0.337",""
"168"," Yemen","","","0.814","","0.791","","0.779","","0.772","","0.767","","0.762","","0.757","","0.767",""
"139"," Zambia","0.625"," a","0.626","","0.593","","0.553","","0.556","","0.550","","0.544","","0.541","","0.526",""
"154"," Zimbabwe","0.598"," a","0.631","","0.589","","0.581","","0.575","","0.569","","0.532","","0.535","","0.540",""
