country_name,language_name,exp_mean_diff,es_behavioral_iat,wps_index,normalized_n,es_hand_translation,prop_fem
Afghanistan,Persian,1.6032672112018669,1.0001551085043703,0.385,1,0.404804745,0.7296678121420389
Argentina,Spanish,1.3954372623574145,1.0113472859728498,0.715,0.15022547914317927,0.658171834,0.5572232645403377
Australia,English,1.5293418511365324,1.0738542404646825,0.827,0.022205633554889834,0.631863669,0.6313123899001761
Austria,German,1.8210227272727273,1.1036495607916357,0.841,0.09530772298285259,0.850919918,0.6290097629009763
Belgium,Dutch,1.732586068855084,1.1809791782073298,0.846,0.2535875761745626,0.68326075,0.6170542635658914
Brazil,Portuguese,1.4330985915492958,1.1164084518025152,0.677,0.8051511758118701,0.538820057,0.5118219749652295
Canada,English,1.4640247329960652,1.0564138967495755,0.854,0.03549576391356363,0.631863669,0.6985949122968133
China,Chinese,1.7759179265658747,1.1233090789766673,0.671,0.2994771034701315,0.535115517,0.6883597883597884
Colombia,Spanish,1.5331858407079646,0.9216734773074834,0.659,0.12993235625704622,0.658171834,0.665943600867679
Costa Rica,Spanish,1.6143250688705235,1.0485805676992292,0.73,0.1040022547914318,0.658171834,0.5636856368563685
Croatia,Croatian,1.2146422628951747,1.0950739128077334,0.804,1,NA,0.7865353037766831
Cyprus,Greek,1.525,1.1270312027814082,0.802,0.4765013054830287,NA,0.6602739726027397
Denmark,Danish,1.5559883154819865,1.1580336819688635,0.845,1,0.91898549,0.6040268456375839
Finland,Finnish,1.3734513274336284,1.0427063288778553,0.855,1,0.1893599,0.6486486486486487
France,French,1.625093353248693,1.0582860793202673,0.817,1,0.124394608,0.6373666789260758
Germany,German,1.8449834619625138,1.1396076014918712,0.845,0.61424963445434,0.850919918,0.6197792685565895
Greece,Greek,1.5050761421319796,1.0122419349138332,0.76,0.5234986945169713,NA,0.6807980049875312
Hong Kong,Chinese,1.5785714285714285,1.0893154047977112,NA,0.18032007605767708,0.535115517,0.6432337434094904
Hungary,Hungarian,1.7520661157024793,1.168057789410422,0.739,1,NA,0.6155913978494624
India,Hindi,1.6171947809878844,0.865473078644486,0.58,1,NA,0.4300779458963778
Indonesia,Indonesian,1.6470588235294117,0.9483963255106217,0.669,1,0.175626267,0.6004962779156328
Ireland,English,1.5541606886657102,1.0328402336234541,0.823,0.004609331451352647,0.631863669,0.6223479490806223
Israel,Hebrew,1.7181571815718157,1.0973154740007893,0.679,1,0.428798097,0.6018396846254928
Italy,Italian,1.828649138712602,1.138241060302592,0.79,1,0.509848315,0.6389633601429848
Japan,Japanese,1.5106557377049181,1.0546671813815027,0.798,1,0.064295678,0.5739408473221422
Malaysia,Malay,1.5536332179930796,0.9316727026759108,0.665,1,NA,0.6912751677852349
Mexico,Spanish,1.5753694581280788,0.9720157419387919,0.686,0.29058624577226605,0.658171834,0.5984481086323957
Netherlands,Dutch,1.7229495057440556,1.1968480780697215,0.854,0.7464124238254374,0.68326075,0.6447195154069002
New Zealand,English,1.6277949776401788,1.0763088485634351,0.826,0.004809808031450375,0.631863669,0.7078956286004744
Norway,Norwegian,1.2868852459016393,1.036192916616594,0.879,1,NA,0.640498899486427
Philippines,Tagalog,1.4451476793248945,0.9390454148718422,0.702,1,NA,0.7336787564766839
Poland,Polish,1.5526717557251908,1.032822104644008,0.799,1,0.070637956,0.6676602086438153
Portugal,Portuguese,1.4579710144927536,0.9620618019006578,0.822,0.1948488241881299,0.538820057,0.6522988505747126
Republic of Korea,Korean,1.4207920792079207,1.0462100825606075,0.8,1,0.252784967,0.6296728971962616
Romania,Romanian,1.60167714884696,1.1628195899429048,0.739,1,NA,0.711340206185567
Russian Federation,Russian,1.7225130890052356,1.0398483210427427,0.721,1,0.211615022,0.6361323155216285
Singapore,Chinese,1.8013620885357549,1.0199216257802912,0.846,0.4262398985897639,0.535115517,0.6033457249070632
South Africa,Zulu,1.7568345323741008,1.02882730863355,0.732,1,NA,0.6273115220483642
Spain,Spanish,1.3902654867256636,1.0562957996485898,0.86,0.32525366403607664,0.658171834,0.6334488734835355
Sweden,Swedish,1.324022346368715,1.0001870448003038,0.854,1,0.821934025,0.5728689275893676
Switzerland,German,1.861652739090065,1.1359173309512107,0.871,0.2904426425628074,0.850919918,0.5697940503432495
Taiwan,Chinese,1.2804878048780488,1.028666176835761,NA,0.09396292188242751,0.535115517,0.6644182124789207
Thailand,Thai,1.328729281767956,0.994277363544489,0.67,1,NA,0.6675531914893617
Turkey,Turkish,1.3462109955423478,1.0237646906679112,0.634,1,0.085980971,0.7027818448023426
UK,English,1.5419168050410865,1.0728593582948527,0.845,0.038853339157476796,0.631863669,0.628492323181475
United Arab Emirates,Arabic,1.9457092819614712,1.016983238373305,0.746,1,0.56328376,0.6329331046312179
United States of America,English,1.5664818528713669,1.0877860351755928,0.81,0.8940261238912667,0.631863669,0.7234407559264128
Vietnam,Vietnamese,1.580547112462006,0.9381183665741428,NA,1,NA,0.6646884272997032
