Country,CPI2016,Rank,Region,WB Code,World Bank CPIA,World Economic Forum EOS,Global Insight Country Risk Ratings,Bertelsmann Foundation Transformation Index,African Development Bank CPIA,IMD World Competitiveness Yearbook,Bertelsmann Foundation Sustainable Governance Index,World Justice Project Rule of Law Index,PRS International Country Risk Guide,Varities of Democracy Project,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,PERC Asia Risk Guide,Country (2),CPI2016 (2),Rank (2),Number of Sources,Std Error 2016,Lower CI,Upper CI,Min,Max,OECD,G20,BRICS,EU,Arab states,
New Zealand,90,1,AP,NZL,,90,83,,,95,99,79,93,,90,,,New Zealand,90,1,7,2.56,86,94,79,99,y,,,,,
Denmark,90,1,WE/EU,DNK,,85,83,,,98,99,85,93,,90,,,Denmark,90,1,7,2.46,86,94,83,99,y,,,y,,
Finland,89,3,WE/EU,FIN,,91,83,,,94,90,85,93,,90,,,Finland,89,3,7,1.46,87,92,83,94,y,,,y,,
Sweden,88,4,WE/EU,SWE,,86,83,,,86,90,85,93,,90,,,Sweden,88,4,7,1.33,85,90,83,93,y,,,y,,
Switzerland,86,5,WE/EU,CHE,,80,83,,,88,90,,85,,90,,,Switzerland,86,5,6,1.57,83,89,80,90,y,,,,,
Norway,85,6,WE/EU,NOR,,80,83,,,83,80,84,93,,90,,,Norway,85,6,7,1.85,82,88,80,93,y,,,,,
Singapore,84,7,AP,SGP,,88,83,73,,91,,85,76,,90,,89,Singapore,84,7,8,2.35,81,88,73,91,,,,,,
Netherlands,83,8,WE/EU,NLD,,82,83,,,89,71,82,85,,90,,,Netherlands,83,8,7,2.32,79,87,71,90,y,,,y,,
Canada,82,9,AME,CAN,,73,83,,,85,80,79,85,,90,,,Canada,82,9,7,2.03,79,85,73,90,y,y,,,,
Germany,81,10,WE/EU,DEU,,67,83,,,85,80,79,85,,90,,,Germany,81,10,7,2.73,77,86,67,90,y,y,,y,,
Luxembourg,81,10,WE/EU,LUX,,85,83,,,81,80,,85,,72,,,Luxembourg,81,10,6,1.96,78,84,72,85,y,,,y,,
United Kingdom,81,10,WE/EU,GBR,,80,71,,,80,80,80,85,,90,,,United Kingdom,81,10,7,2.12,77,84,71,90,y,y,,y,,
Australia,79,13,AP,AUS,,80,83,,,81,80,78,76,,72,,81,Australia,79,13,8,1.27,77,81,72,83,y,y,,,,
Iceland,78,14,WE/EU,ISL,,85,83,,,80,61,,85,,72,,,Iceland,78,14,6,3.81,71,84,61,85,y,,,,,
Hong Kong,77,15,AP,HKG,,82,83,,,87,,77,67,,72,,74,Hong Kong,77,15,7,2.62,73,82,67,87,,,,,,
Belgium,77,15,WE/EU,BEL,,73,83,,,79,80,74,76,,72,,,Belgium,77,15,7,1.55,74,79,72,83,y,,,y,,
Austria,75,17,WE/EU,AUT,,73,71,,,74,80,79,76,,72,,,Austria,75,17,7,1.36,73,77,71,80,y,,,y,,
The United States of America,74,18,AME,USA,,65,71,,,74,90,72,76,69,90,,64,The United States of America,74,18,9,3.15,69,80,64,90,y,y,,,,
Ireland,73,19,WE/EU,IRL,,83,71,,,83,71,,76,,54,,,Ireland,73,19,6,4.31,66,80,54,83,y,,,y,,
Japan,72,20,AP,JPN,,78,71,,,74,52,75,76,,72,,78,Japan,72,20,8,3.02,67,77,52,78,y,y,,,,
Uruguay,71,21,AME,URY,,68,59,77,,,,72,76,,72,,,Uruguay,71,21,6,2.68,66,75,59,77,,,,,,
