language,num_dif_trans
arabic,NA
danish,7
dutch,7
french,3
german,NA
hebrew,9
italian,7
polish,11
portuguese,10
romanian,7
russian,9
slovak,10
spanish,10
urdu,8
persian,0
chinese,0
indonesian,0
korean,0
turkish,0
japanese,0
finnish,0
malay,0
swedish,0
norwegian,0
tamil,0
english,0
