language_code,lang_es_wiki
ar,0.6221119583711029
da,0.977460254150137
de,0.7449423020549446
en,0.9354230598250186
es,0.11077764799709314
fa,0.3634362956787182
fi,0.3046551146524026
fr,0.477013118366223
he,0.36704795911952603
hi,0.21189082478176166
hr,-0.09053910535244962
id,0.07625432436658189
it,0.8476839418344092
ja,0.3041654496780606
ko,0.4860585845594177
ms,-0.10644409606248455
nl,1.0642296273609608
no,0.6031699200300452
pl,-0.07026710538201496
pt,0.6268242165077216
ro,0.9281623765440766
sr,0.4686621819910218
sv,1.0915452909566583
tl,-0.15718017326090042
tr,0.383968258942452
zh,-0.5262104859952054
