"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"17","Photographers","",".44 33","(.14)",".46 141","(.11)",".45 31","(.12)",".5 39","(.13)",".45 399","(.14)",".51 30 (.13)",".41 28","(.16)"
"18","Physicians","",".46 34","(.08)",".37 142","(.15)",".36 34","(.12)",".48 36","(.1)",".45 412","(.13)",".41 28 (.11)",".47 29","(.12)"
"19","Physicists","",".23 33","(.12)",".32 141","(.16)",".25 35","(.13)",".26 36","(.13)",".31 402","(.15)",".3 31 (.11)",".18 31","(.11)"
"20","Physics students","",".23 37","(.14)",".28 140","(.15)",".23 35","(.1)",".23 37","(.1)",".33 405","(.16)",".3 28 (.13)",".19 30","(.13)"
"21","Physiotherapists","",".59 41","(.22)",".51 141","(.17)",".51 30","(.17)",".58 34","(.15)",".49 406","(.15)",".6 31 (.11)",".54 30","(.21)"
"22","Piano players","",".45 36","(.13)",".51 141","(.12)",".49 32","(.14)",".49 37","(.11)",".42 399","(.15)",".47 27 (.1)",".45 30","(.17)"
"23","Pilots","",".14 35","(.13)",".24 141","(.14)",".24 33","(.15)",".23 35","(.13)",".2 405","(.15)",".19 29 (.12)",".1 28","(.08)"
"24","Playgroup leaders","",".71 40","(.21)",".77 139","(.14)",".79 34","(.13)",".8 37","(.17)",".32 399","(.16)","N/A",".84 31","(.16)"
"25","Plumbers","",".09 33","(.12)",".21 141","(.13)",".15 35","(.1)",".18 36","(.12)",".13 397","(.15)",".14 29 (.1)",".08 30","(.1)"
"26","Poets","",".34 38","(.17)",".45 141","(.14)",".39 31","(.15)",".38 36","(.15)",".42 401","(.16)",".49 29 (.1)",".34 29","(.19)"
"27","Police inspectors","",".4 34","(.2)",".34 144","(.14)",".31 35","(.15)",".33 35","(.12)",".35 409","(.15)",".39 33 (.13)",".31 30","(.17)"
"28","Police officers","",".29 36","(.14)",".36 140","(.13)",".28 35","(.11)",".35 33","(.11)",".34 386","(.14)",".34 28 (.16)",".2 30","(.09)"
"29","Police sergeants","",".23 37","(.16)",".3 141","(.13)",".25 32","(.1)",".29 34","(.13)",".26 387","(.14)",".29 29 (.13)",".16 30","(.12)"
"30","Political activists","",".39 37","(.17)",".46 141","(.13)",".4 34","(.14)",".46 37","(.13)",".4 396","(.16)",".56 29 (.14)",".29 30","(.17)"
"31","Politicians","",".23 33","(.13)",".29 139","(.13)",".31 35","(.13)",".33 34","(.14)",".25 405","(.13)",".42 28 (.11)",".2 30","(.12)"
"32","Porters","",".33 38","(.2)",".27 138","(.15)",".19 33","(.15)",".17 38","(.13)",".18 404","(.15)",".24 30 (.12)",".22 31","(.17)"
"33","Postal workers","",".73 35","(.16)",".34 141","(.15)",".53 32","(.08)",".49 36","(.13)",".62 409","(.15)",".43 31 (.16)",".72 29","(.16)"
"34","Postmen","",".69 38","(.15)",".25 139","(.15)",".37 36","(.13)",".45 37","(.17)",".46 392","(.14)",".4 30 (.12)",".63 30","(.28)"
"35","Presidents","",".12 36","(.13)",".16 141","(.16)",".15 36","(.08)",".17 33","(.12)",".24 408","(.16)",".13 27 (.1)",".1 29","(.1)"
"36","Priests","",".14 36","(.13)",".16 142","(.15)",".06 32","(.11)",".18 33","(.15)","N/A","",".36 28 (.17)",".07 29","(.07)"
"37","Primary school teachers","",".79 36","(.16)",".75 142","(.13)",".72 28","(.14)",".79 37","(.13)",".8 401","(.14)",".76 30 (.09)",".82 30","(.14)"
"38","Prison guards","",".24 38","(.17)",".26 140","(.14)",".19 34","(.14)","N/A","",".28 407","(.18)",".25 32 (.11)",".18 28","(.16)"
"39","Prisoners","",".29 34","(.12)",".3 138","(.14)",".31 34","(.14)",".32 33","(.12)",".32 400","(.14)",".21 29 (.12)",".25 30","(.12)"
"40","Private detectives","","N/A","",".31 142","(.15)",".28 32","(.16)",".3 36","(.11)",".27 404","(.15)",".26 28 (.12)",".13 30","(.12)"
"41","Probation officers","",".59 35","(.18)",".37 141","(.16)",".38 32","(.14)",".45 35","(.15)",".21 416","(.16)",".37 27 (.18)",".71 30","(.18)"
"42","Professional athletes","",".45 35","(.1)",".42 143","(.11)",".4 33","(.11)",".41 35","(.13)",".45 394","(.11)",".43 32 (.12)",".38 28","(.16)"
"43","Professors","",".48 39","(.19)",".38 142","(.13)",".46 33","(.1)",".38 31","(.13)",".59 396","(.15)",".37 30 (.15)",".51 32","(.2)"
"44","Projectionists","",".27 38","(.2)",".44 139","(.13)",".33 31","(.15)",".4 36","(.15)",".39 405","(.16)",".32 27 (.14)",".28 31","(.14)"
"45","Proofreaders","",".56 38","(.17)",".53 141","(.12)",".56 32","(.13)",".62 38","(.15)",".53 405","(.16)",".6 28 (.14)",".55 31","(.24)"
"46","Prostitutes","",".85 34","(.11)",".81 141","(.14)",".87 35","(.12)",".75 31","(.13)",".83 387","(.16)",".83 30 (.13)",".86 30","(.16)"
"47","Protestors","",".42 35","(.12)",".49 139","(.12)",".47 36","(.11)",".47 37","(.11)",".49 396","(.14)",".46 29 (.09)",".33 29","(.15)"
"48","Psychiatrists","",".42 34","(.18)",".55 141","(.18)",".48 33","(.13)",".51 37","(.16)",".53 387","(.17)",".49 28 (.21)",".47 28","(.21)"
"49","Psychology students","",".66 36","(.15)",".76 138","(.12)",".76 34","(.12)",".64 34","(.16)",".69 405","(.15)",".74 29 (.1)",".79 30","(.13)"
"50","Publishers","",".35 37","(.16)",".47 138","(.15)",".37 32","(.15)",".44 33","(.14)",".41 394","(.15)",".45 30 (.14)",".4 31","(.18)"
