target_words	restricted words	word_type1	word_type2
create	1	characteristic	creative
art	1	characteristic	creative
very imaginative	1	characteristic	creative
hers	1	person	female
her	1	person	female
woman	1	person	female
she	1	person	female
female	1	person	female
genius	1	characteristic	genius
brilliance	1	characteristic	genius
very smart	1	characteristic	genius
his	1	person	male
him	1	person	male
he	1	person	male
man	1	person	male
male	1	person	male
