country_name,language_code,lang_es_sub,lang_es_wiki,genderdif_fh,self_efficacy_diff_sg,gdp_2017,es_iat_sex_age_order_implicit_resid,per_women_stem
Australia,en,0.6024799736072142,0.6318636760358308,1.816303014755249,0.2,53793.5372560884,-6.658024779997891e-4,24.5
Austria,de,0.992986925106306,0.6739625897709844,1.702925205230713,0.22,47380.8296365373,0.02681552081330119,22
Belgium,nl,0.5579296515199147,0.8091716142918051,NA,0.22,43467.445895672,0.0351078423700635,18.7
Brazil,pt,0.5348206706205818,0.40094139264450024,-0.5548827052116394,0.06,9812.27853101845,0.03221032239677631,24.8
China,zh,NA,0.5351155194480434,0.3491724729537964,0.05,8826.99409574835,0.011589285507841628,NA
Canada,en,0.6024799736072142,0.6318636760358308,2.1852142810821533,0.21,44870.7761570967,-0.009377546053027843,NA
Taiwan,zh,NA,0.5351155194480434,NA,0.05,NA,-0.012636066471611597,NA
Colombia,es,0.2671657876925714,0.22224175277361607,0.0016936376923695207,0.03,6408.92001169297,-0.049774528887970244,29.7
Croatia,hr,0.3020231090760247,-0.24120530377207494,-0.02005704864859581,0.15,13386.512859434,0.006843921634415922,27.2
Denmark,da,1.2042953172398156,0.8529126320382712,NA,0.3,57218.8519619271,0.0275685054556807,29.3
Finland,fi,0.5106173735150114,0.18935989962689492,1.4168535470962524,0.22,45804.6542078846,-0.0012318740502568653,20
France,fr,0.3365737916402037,0.3378306029011467,0.3890745937824249,0.27,38484.1899236567,-0.006405966233272553,25.6
Germany,de,0.992986925106306,0.6739625897709844,0.7051438093185425,0.31,44665.5063657981,0.019921716387100556,26.9
Indonesia,id,0.5408289970801315,-0.12378950346358272,-0.22633343935012817,-0.01,3846.41570922305,-0.053660942824779304,35.5
Ireland,en,0.6024799736072142,0.6318636760358308,NA,0.2,68885.4503790221,-0.009714483725814158,23.9
Israel,he,0.7519501953937823,0.4704146073229067,0.31828492879867554,0.13,40543.5841665702,0.023339602498192974,NA
Italy,it,0.12446168054688916,0.6633728072961491,-0.23160511255264282,0.15,32110.0272619967,0.02312918217578112,32.1
Japan,ja,0.40119090688114456,0.0643881856540085,0.8132173418998718,0.21,38430.2912440159,0.01837221713385687,NA
South Korea,ko,0.31419020750652094,0.26179782290171394,-0.20565958321094513,-0.03,29742.8388613471,-0.0068116016621206435,26.9
Mexico,es,0.2671657876925714,0.22224175277361607,-0.9509764909744263,0.01,8910.33317708802,-0.024581332208243555,29.1
Netherlands,nl,0.5579296515199147,0.8091716142918051,1.7962400913238525,0.21,48482.7662104389,0.04020139645042484,20.2
New Zealand,en,0.6024799736072142,0.6318636760358308,NA,0.21,42583.0847344584,-0.001794557100982362,27
Norway,no,0.9063098524567017,0.5910439521647035,NA,0.18,75704.2486981247,-0.02489874767198652,20.3
Poland,pl,-0.09698227604102083,-0.07770125423896067,0.6163380146026611,-0.01,13863.5484202763,-0.01842782150885679,26.9
Romania,ro,0.6639642204315502,0.585753239505771,-0.3183911144733429,0,10819.2440243784,0.007978577268914502,32.6
Singapore,zh,NA,0.5351155194480434,NA,0.19,57714.2966313778,-0.010433998796516089,NA
Spain,es,0.2671657876925714,0.22224175277361607,0.27065685391426086,0.21,28208.3004052718,-0.00871723867680852,25
Sweden,sv,0.3929363517259634,0.8219340280695795,1.9244333505630493,0.3,53253.4766411192,-0.02060511444003361,23.4
Switzerland,de,0.992986925106306,0.6739625897709844,1.4478119611740112,0.2,80342.8463384363,0.012061109952287794,23
Turkey,tr,-0.0484223078192629,0.0952475823070029,-0.45748400688171387,-0.1,10546.1525631603,-0.02918063525166718,36.3
United Arab Emirates,ar,-0.24156040854373365,0.6401106934261812,-0.6597927212715149,0,40698.8493360368,-0.025488311990359933,37.4
United Kingdom,en,0.6024799736072142,0.6318636760358308,2.006613254547119,0.21,39953.573056328,0.003509909731479227,29.4
United States,en,0.6024799736072142,0.6318636760358308,2.101020336151123,0.19,59927.9302860566,5.37563470806575e-4,24.6
Afghanistan,fa,0.4418009470980321,0.49883581163000396,-1.0837068557739258,NA,550.068458763852,-0.020319208107144795,NA
Argentina,es,0.2671657876925714,0.22224175277361607,0.8144192099571228,NA,14398.3587709055,-0.011498493755402076,NA
India,hi,NA,0.42007754201856345,-0.0981539934873581,NA,1979.3643005306,-0.059543297161397744,NA
Philippines,tl,NA,-0.01629925562621509,-0.46737098693847656,NA,2988.95270335802,-0.054758919631812696,NA
Malaysia,ms,-0.2960500480216925,0.009029411441934046,NA,NA,9951.54415327241,-0.03734987682721718,NA
