test,original,AC_glove,AC_w2v
WEAT_1,1.35,1.5,1.54
WEAT_2,1.66,1.53,1.63
WEAT_3,1.17,1.41,0.58
WEAT_4,NA,1.5,1.24
WEAT_5,NA,1.28,0.72
WEAT_6,0.72,1.81,1.89
WEAT_7,0.82,1.06,0.97
WEAT_8,1.47,1.24,1.24
WEAT_9,1.01,1.38,1.3
WEAT_10,1.42,1.21,-0.08
