fips_country_code,country_name,lang,percent,lang_info,n
us,United States,English ,79,English 79.2,1
us,United States, Spanish ,12, Spanish 12.9,2
us,United States, other Indo-European ,3, other Indo-European 3.8,3
us,United States, Asian and Pacific island ,3, Asian and Pacific island 3.3,4
us,United States, other  ( est),0, other 0.9 (2011 est.),5
ca,Canada,English (official) ,58,English (official) 58.7,1
ca,Canada, French (official) ,22, French (official) 22,2
ca,Canada, Punjabi ,1, Punjabi 1.4,3
ca,Canada, Italian ,1, Italian 1.3,4
ca,Canada, Spanish ,1, Spanish 1.3,5
ca,Canada, German ,1, German 1.3,6
ca,Canada, Cantonese ,1, Cantonese 1.2,7
ca,Canada, Tagalog ,1, Tagalog 1.2,8
ca,Canada, Arabic ,1, Arabic 1.1,9
ca,Canada, other  ( est),10, other 10.5 (2011 est.),10
as,Australia,English ,76,English 76.8,1
as,Australia, Mandarin ,1, Mandarin 1.6,2
as,Australia, Italian ,1, Italian 1.4,3
as,Australia, Arabic ,1, Arabic 1.3,4
as,Australia, Greek ,1, Greek 1.2,5
as,Australia, Cantonese ,1, Cantonese 1.2,6
as,Australia, Vietnamese ,1, Vietnamese 1.1,7
as,Australia, other ,10, other 10.4,8
as,Australia, unspecified  ( est),5, unspecified 5 (2011 est.),9
in,India,Hindi ,41,Hindi 41,1
in,India, Bengali ,8, Bengali 8.1,2
in,India, Telugu ,7, Telugu 7.2,3
in,India, Marathi ,7, Marathi 7,4
in,India, Tamil ,5, Tamil 5.9,5
in,India, Urdu ,5, Urdu 5,6
in,India, Gujarati ,4, Gujarati 4.5,7
in,India, Kannada ,3, Kannada 3.7,8
in,India, Malayalam ,3, Malayalam 3.2,9
in,India, Oriya ,3, Oriya 3.2,10
in,India, Punjabi ,2, Punjabi 2.8,11
in,India, Assamese ,1, Assamese 1.3,12
in,India, Maithili ,1, Maithili 1.2,13
in,India, other ,5, other 5.9,14
gm,Germany,German (official),NA,German (official),1
nl,Netherlands,Dutch (official),NA,Dutch (official),1
nz,New Zealand,English (de facto official) ,89,English (de facto official) 89.8,1
nz,New Zealand, Maori (de jure official) ,3, Maori (de jure official) 3.5,2
nz,New Zealand, Samoan ,2, Samoan 2,3
nz,New Zealand, Hindi ,1, Hindi 1.6,4
nz,New Zealand, French ,1, French 1.2,5
nz,New Zealand, Northern Chinese ,1, Northern Chinese 1.2,6
nz,New Zealand, Yue ,1, Yue 1,7
nz,New Zealand, other or not stated ,20, other or not stated 20.5,8
ei,Ireland,English (official,NA,English (official,1
ei,Ireland, spoken by approximately  of the population as a first or second language in ; mainly spoken in areas along the western coast),38, spoken by approximately 38.7 of the population as a first or second language in 2011; mainly spoken in areas along the western coast),4
fr,France,French (official) ,100,French (official) 100,1
sn,Singapore,Mandarin (official) ,36,Mandarin (official) 36.3,1
sn,Singapore, English (official) ,29, English (official) 29.8,2
sn,Singapore, Malay (official) ,11, Malay (official) 11.9,3
sn,Singapore, Hokkien ,8, Hokkien 8.1,4
sn,Singapore, Cantonese ,4, Cantonese 4.1,5
sn,Singapore, Tamil (official) ,3, Tamil (official) 3.2,6
sn,Singapore, Teochew ,3, Teochew 3.2,7
sn,Singapore, other Indian languages ,1, other Indian languages 1.2,8
sn,Singapore, other Chinese dialects ,1, other Chinese dialects 1.1,9
sn,Singapore, other  ( est),1, other 1.1 (2010 est.),10
sw,Sweden,Swedish (official),NA,Swedish (official),1
sz,Switzerland,German (official) ,63,German (official) 63.5,1
sz,Switzerland, French (official) ,22, French (official) 22.5,2
sz,Switzerland, Italian (official) ,8, Italian (official) 8.1,3
sz,Switzerland, English ,4, English 4.4,4
sz,Switzerland, Portuguese ,3, Portuguese 3.4,5
sz,Switzerland, Albanian ,3, Albanian 3.1,6
sz,Switzerland, Serbo-Croatian ,2, Serbo-Croatian 2.5,7
sz,Switzerland, Spanish ,2, Spanish 2.2,8
sz,Switzerland, Romansch (official) ,0, Romansch (official) 0.5,9
sz,Switzerland, other ,6, other 6.6,10
