language_code,language_name,n_participants,es_iat_sex_age_order_implicit_resid,lang_es_wiki_native
ar,Arabic,581,-0.025488311990359933,0.6221119583711029
da,Danish,1036,0.0275685054556807,0.977460254150137
de,German,2498.3333333333335,0.019599449050896514,0.7449423020549446
en,English,101725.83333333333,-0.0029174860259230584,0.9354230598250186
es,Spanish,791.5,-0.0236428983821061,0.11077764799709314
fa,Persian,863,-0.020319208107144795,0.3634362956787182
fi,Finnish,1145,-0.0012318740502568653,0.3046551146524026
fr,French,2705,-0.006405966233272553,0.477013118366223
he,Hebrew,758,0.023339602498192974,0.36704795911952603
hi,Hindi,4341,-0.059543297161397744,0.21189082478176166
hr,Croatian,603,0.006843921634415922,0.18906153831928607
id,Indonesian,401,-0.053660942824779304,0.07625432436658189
it,Italian,1114,0.02312918217578112,0.8476839418344092
ja,Japanese,1240,0.01837221713385687,0.3041654496780606
ko,Korean,854,-0.0068116016621206435,0.4860585845594177
ms,Malay,887,-0.03734987682721718,-0.10644409606248455
nl,Dutch,2529,0.03765461941024417,1.0642296273609608
no,Norwegian,1357,-0.02489874767198652,0.6031699200300452
pl,Polish,670,-0.01842782150885679,-0.07026710538201496
pt,Portuguese,1431,0.03221032239677631,0.6268242165077216
ro,Romanian,481,0.007978577268914502,0.9281623765440766
sv,Swedish,2169,-0.02060511444003361,1.0915452909566583
tl,Filipino,961,-0.054758919631812696,-0.15718017326090042
tr,Turkish,681,-0.02918063525166718,0.383968258942452
zh,Mandarin,2094.6666666666665,-0.003826926586762019,NA
