language_code,lang_es_europarl
da,-0.4696411865647576
de,0.33901703072441897
en,0.7800322109282195
es,-0.331043564416293
fi,-1.2518500578750837
fr,0.08497178411944663
it,-0.19519762922709763
nl,0.605385343393233
pl,NaN
pt,-0.9156686986069991
ro,-0.218241582677621
sv,1.6669447230591967
