language_code,language_name,implicit_behavioral_es,explicit_behavioral_es,lang_es_wiki,lang_es_sub,n_participants
ar,Arabic,-0.025488311990359933,0.37042204790141237,0.6401106941620707,-0.24156041595844716,581
da,Danish,0.0275685054556807,-0.015130537944125909,0.8529126354993974,1.2042953260837819,1036
de,German,0.019599449050896514,0.2684290183826774,0.6739625933489081,0.9929869186996753,7495
en,English,-0.0029174860259230584,-0.02653318029264081,0.6318636686962313,0.6024799683742811,610355
es,Spanish,-0.0236428983821061,-0.10433662344867062,0.222241753980418,0.2671657841584817,3166
fa,Persian,-0.020319208107144795,0.049844864762140124,0.49883581457930487,0.44180096053638807,863
fi,Finnish,-0.0012318740502568653,-0.19517772426574545,0.1893599002507336,0.5106173615901288,1145
fr,French,-0.006405966233272553,0.05082979535342962,0.33783060331684256,0.3365738053221108,2705
he,Hebrew,0.023339602498192974,0.14392612489767995,0.47041460827782805,0.7519501828522505,758
hi,Hindi,-0.059543297161397744,0.035288648338090214,0.4200775457605744,NA,4341
hr,Croatian,0.006843921634415922,-0.33669347123245175,0.0571556013810499,NA,603
id,Indonesian,-0.053660942824779304,0.08529998258308912,-0.12378950328769543,0.5408289952796589,401
it,Italian,0.02312918217578112,0.24977244067426868,0.6633727987251284,0.12446167471746548,1114
ja,Japanese,0.01837221713385687,-0.057305103416553434,0.06429567765517198,NA,1240
ko,Korean,-0.0068116016621206435,-0.1451239665484513,0.2617978260892737,0.31419019539734994,854
ms,Malay,-0.03734987682721718,-0.013323080043276023,0.00902940628343985,-0.2960500304763127,887
nl,Dutch,0.03765461941024417,0.1550649092405259,0.8091716010577064,0.557929645404257,5058
no,Norwegian,-0.02489874767198652,-0.28215741330358574,0.5910439558154523,0.90630983063191894,1357
pl,Polish,-0.01842782150885679,-0.017376997111489767,-0.07770125153581178,-0.09698227818876436,670
pt,Portuguese,0.03221032239677631,-0.14380917724491626,0.4009414037179108,0.534820663051225,1431
ro,Romanian,0.007978577268914502,0.04663752647595598,0.5857532252022704,0.6639642252268806,481
sv,Swedish,-0.02060511444003361,-0.25519413020373233,0.8219340249850059,0.39293635118872083,2169
tl,Filipino,-0.054758919631812696,-0.11953410677977583,-0.016299263160760268,NA,961
tr,Turkish,-0.02918063525166718,-0.2134528589827861,0.09524758616481388,-0.04842230350293412,681
zh,Mandarin,-0.003826926586762019,0.02887293823982623,0.535115517457758,NA,6284
